Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,100.0,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,SGP
1,8.086244012,G$/GWp,262800,h,WINDOUT,24,0,325.407,GWp,IDN
2,8.137653711,G$/GWp,262800,h,WINDOUT,24,0,57.513,GWp,MYS
3,7.739954646,G$/GWp,262800,h,WINDOUT,24,0,1.542,GWp,BRN
4,7.461154681,G$/GWp,262800,h,WINDOUT,24,0,10.98,GWp,KHM
5,3.9381628227844376,G$/GWp,262800,h,WINDOUT,24,0,42.371,GWp,MMR
6,6.592215025000001,G$/GWp,262800,h,WINDOUT,24,0,58.86,GWp,PHL
7,6.901919325,G$/GWp,262800,h,WINDOUT,24,0,47.027,GWp,THA
8,6.146832142999999,G$/GWp,262800,h,WINDOUT,24,0,103.742,GWp,VNM
9,1.203931194,G$/GWp,262800,h,WINDOUT,24,0,13.3108,GWp,LAO
10,4.3699142499326165,G$/GWp,262800,h,WINDOUT,24,0,746.067,GWp,AUS
11,4.046210935754885,G$/GWp,262800,h,WINDOUT,24,0,41.734,GWp,SAU
12,100.0,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000.0,GWp,ARE
14,4.232794119999999,G$/GWp,219000,h,WINDOUT,24,0,23.601,GWp,MAR
15,4.497920009,G$/GWp,219000,h,WINDOUT,24,0,2.668,GWp,KEN
16,100.0,G$/GWp,219000,h,WINDOUT,24,0,0.0,GWp,ZAF
17,5.216291021,G$/GWp,262800,h,WINDOUT,24,0,17.302,GWp,KOR
18,3.820357422,G$/GWp,219000,h,WINDOUT,24,0,16.438,GWp,EGY
19,4.641037443,G$/GWp,219000,h,WINDOUT,24,0,21.959,GWp,NGA
20,100.0,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,BRA
21,5.379322466,G$/GWp,262800,h,WINDOUT,24,0,14.091,GWp,COL
22,4.7483426710000005,G$/GWp,262800,h,WINDOUT,24,0,57.295,GWp,PER
23,4.410171935999999,G$/GWp,262800,h,WINDOUT,24,0,139.324,GWp,CHL
24,4.332048122955484,G$/GWp,219000,h,PVOUT,24,0,52.966,GWp,FRA
25,100.0,G$/GWp,219000,h,PVOUT,24,0,0.0,GWp,DEU
26,4.1027808837017945,G$/GWp,219000,h,PVOUT,24,0,334.24,GWp,USA
27,4.739123252736162,G$/GWp,219000,h,PVOUT,24,0,1679.987,GWp,RUS
28,100.0,G$/GWp,219000,h,PVOUT,24,0,0.0,GWp,CHN
29,4.346442106905084,G$/GWp,219000,h,PVOUT,24,0,10.224,GWp,TUR
30,5.583984340393207,G$/GWp,219000,h,PVOUT,24,0,134.19,GWp,JPN
