region,group,scenario,2022,2030,2040,2050
CHL,0,high,32663000.0,32663000.0,32663000.0,32663000.0
CHL,1,high,46430000.0,46430000.0,46430000.0,46430000.0
CHL,2,high,78861000.0,78861000.0,78861000.0,78861000.0
CHL,3,high,65252000.0,65252000.0,65252000.0,65252000.0
CHL,4,high,64165500.0,64165500.0,64165500.0,64165500.0
CHL,5,high,91586000.0,91586000.0,91586000.0,91586000.0
CHL,6,high,124484500.0,124484500.0,124484500.0,124484500.0
CHL,7,high,134771000.0,134771000.0,134771000.0,134771000.0
CHL,8,high,155284500.0,155284500.0,155284500.0,155284500.0
CHL,9,high,225291500.0,225291500.0,225291500.0,225291500.0
