region,group,scenario,2022,2030,2040,2050
CHN,0,high,2479553070.0,2479553070.0,2479553070.0,2479553070.0
CHN,1,high,5695312606.666668,5695312606.666668,5695312606.666668,5695312606.666668
CHN,2,high,7149972339.999999,7149972339.999999,7149972339.999999,7149972339.999999
CHN,3,high,663811156.6666666,663811156.6666666,663811156.6666666,663811156.6666666
CHN,4,high,20936410.0,20936410.0,20936410.0,20936410.0
CHN,5,high,1523923023.3333335,1523923023.3333335,1523923023.3333335,1523923023.3333335
CHN,6,high,771061276.6666666,771061276.6666666,771061276.6666666,771061276.6666666
CHN,7,high,5254160.0,5254160.0,5254160.0,5254160.0
CHN,8,high,16594716.666666668,16594716.666666668,16594716.666666668,16594716.666666668
CHN,9,high,13573670.0,13573670.0,13573670.0,13573670.0
