region,group,scenario,2022,2030,2040,2050
CHN,0,high,521883500.0,521883500.0,521883500.0,521883500.0
CHN,1,high,742630000.0,742630000.0,742630000.0,742630000.0
CHN,2,high,1146085500.0,1146085500.0,1146085500.0,1146085500.0
CHN,3,high,1009449000.0,1009449000.0,1009449000.0,1009449000.0
CHN,4,high,1361433500.0,1361433500.0,1361433500.0,1361433500.0
CHN,5,high,1427328000.0,1427328000.0,1427328000.0,1427328000.0
CHN,6,high,2185820000.0,2185820000.0,2185820000.0,2185820000.0
CHN,7,high,1693044500.0,1693044500.0,1693044500.0,1693044500.0
CHN,8,high,2168582500.0,2168582500.0,2168582500.0,2168582500.0
CHN,9,high,2891588000.0,2891588000.0,2891588000.0,2891588000.0
