region,group,scenario,2022,2030,2040,2050
FRA,0,high,0.24388836328137858,0.0734816965028491,0.06904973793049902,0.06462606920456643
FRA,1,high,0.25897626672455704,0.0780275662883494,0.07332142914468859,0.06862409469029124
FRA,2,high,0.2718723865674548,0.08191306845667913,0.07697258200615187,0.0720413365882819
FRA,3,high,0.29846275293006475,0.08992454225013193,0.08450085356495471,0.07908730972781303
FRA,4,high,0.3238497791888971,0.09757345888380145,0.09168843515524423,0.08581441918817123
FRA,5,high,0.34495276145370607,0.10393162586325125,0.09766311707664395,0.09140633334889259
FRA,6,high,0.37812609746111814,0.1139264980075665,0.1070551607427432,0.10019667610947736
FRA,7,high,0.40556350945994574,0.12219318016572837,0.1148232480861496,0.10746710124486891
FRA,8,high,0.45840910711264843,0.13811515412127748,0.12978490767336753,0.12147024270316005
FRA,9,high,0.5406999777754882,0.16290876338432217,0.15308312074467367,0.14327585667673487
