region,group,scenario,2022,2030,2040,2050
IND,0,high,5571.616258592941,3420.2414630684057,3193.4207637973677,2966.2086096410976
IND,1,high,6223.168549913278,3820.209095206417,3566.8636786056445,3313.0810298593983
IND,2,high,6554.204583109604,4023.4217921974555,3756.599886720096,3489.317490913932
IND,3,high,6666.39449058995,4092.2916776118163,3820.902516945881,3549.044983626636
IND,4,high,7454.69028101868,4576.201879329036,4272.721168542121,3968.7167004121025
IND,5,high,7703.194850246906,4728.751084440818,4415.15374365854,4101.015185908681
IND,6,high,9176.346273569863,5633.072801080353,5259.503412608168,4885.289305366639
IND,7,high,10375.305715391132,6369.076611308654,5946.697540624041,5523.589513758751
IND,8,high,8839.790250317401,5426.471554341901,5066.603373740987,4706.114120381775
IND,9,high,8048.197507567317,4940.5374564143385,4612.89504498256,4284.687177122098
