region,group,scenario,2022,2030,2040,2050
JPN,0,high,0.2389924207627821,0.07853460595612906,0.06318622074290546,0.047543512003509994
JPN,1,high,0.2524892172014532,0.08296974907321265,0.0667545831050842,0.050228472059744525
JPN,2,high,0.2607656663551738,0.08568944901569965,0.0689427593724531,0.05187493205387489
JPN,3,high,0.2696035966535091,0.08859365564799362,0.0712793833246225,0.053633089253521345
JPN,4,high,0.27804517841241083,0.09136761933674158,0.07351121832062202,0.05531239959483747
JPN,5,high,0.28549689066196265,0.09381630487810518,0.07548134579834714,0.056794792089346645
JPN,6,high,0.2926165699855003,0.09615588204303394,0.07736368845975915,0.05821113223226545
JPN,7,high,0.300857891856847,0.09886403891118133,0.07954257756977352,0.0598506042459163
JPN,8,high,0.3148446842592184,0.10346019818018587,0.08324048794450713,0.06263304073637249
JPN,9,high,0.33366857430871677,0.10964586207228859,0.08821725862247194,0.06637773623618994
