region,group,scenario,2022,2030,2040,2050
RUS,0,high,4776565840.0,4776565840.0,4776565840.0,4776565840.0
RUS,1,high,3907762583.3333335,3907762583.3333335,3907762583.3333335,3907762583.3333335
RUS,2,high,4106193713.333333,4106193713.333333,4106193713.333333,4106193713.333333
RUS,3,high,2750161906.666667,2750161906.666667,2750161906.666667,2750161906.666667
RUS,4,high,1846437749.9999998,1846437749.9999998,1846437749.9999998,1846437749.9999998
RUS,5,high,984860499.9999999,984860499.9999999,984860499.9999999,984860499.9999999
RUS,6,high,3770224133.3333335,3770224133.3333335,3770224133.3333335,3770224133.3333335
RUS,7,high,3001822843.3333335,3001822843.3333335,3001822843.3333335,3001822843.3333335
RUS,8,high,956867463.3333334,956867463.3333334,956867463.3333334,956867463.3333334
RUS,9,high,763558630.0,763558630.0,763558630.0,763558630.0
