region,group,scenario,2022,2030,2040,2050
TUR,0,high,1645012.8074736432,1645012.8074736432,1645012.8074736432,1645012.8074736432
TUR,1,high,2481482.7214867272,2481482.7214867272,2481482.7214867272,2481482.7214867272
TUR,2,high,6682813.284182858,6682813.284182858,6682813.284182858,6682813.284182858
TUR,3,high,3993395.522024219,3993395.522024219,3993395.522024219,3993395.522024219
TUR,4,high,4232200.898182213,4232200.898182213,4232200.898182213,4232200.898182213
TUR,5,high,5009205.88110569,5009205.88110569,5009205.88110569,5009205.88110569
TUR,6,high,8654708.172566589,8654708.172566589,8654708.172566589,8654708.172566589
TUR,7,high,7321887.176699685,7321887.176699685,7321887.176699685,7321887.176699685
TUR,8,high,6743198.901167961,6743198.901167961,6743198.901167961,6743198.901167961
TUR,9,high,17215065.200626783,17215065.200626783,17215065.200626783,17215065.200626783
