region,group,scenario,2022,2030,2040,2050
USA,0,high,6716319.991717784,6716319.991717784,6716319.991717784,6716319.991717784
USA,1,high,26388658.962435074,26388658.962435074,26388658.962435074,26388658.962435074
USA,2,high,39863304.196710244,39863304.196710244,39863304.196710244,39863304.196710244
USA,3,high,7353888.115999213,7353888.115999213,7353888.115999213,7353888.115999213
USA,4,high,14696823.184808314,14696823.184808314,14696823.184808314,14696823.184808314
USA,5,high,49013869.16068193,49013869.16068193,49013869.16068193,49013869.16068193
USA,6,high,36165267.42432887,36165267.42432887,36165267.42432887,36165267.42432887
USA,7,high,65445529.994831264,65445529.994831264,65445529.994831264,65445529.994831264
USA,8,high,78232846.87554489,78232846.87554489,78232846.87554489,78232846.87554489
USA,9,high,128379793.02666418,128379793.02666418,128379793.02666418,128379793.02666418
