Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time
0,CO2_Budget,10,10,0,720,1,0
1,RE_PV_Openfield_Lim,10,10,0,720,1,0
2,RE_PV_Rooftop_Lim,10,10,0,720,1,0
3,RE_WIND_Onshore_Lim_0,10,10,0,720,1,0
4,RE_WIND_Onshore_Lim_1,10,10,0,720,1,0
5,RE_WIND_Onshore_Lim_2,10,10,0,720,1,0
6,RE_WIND_Onshore_Lim_3,10,10,0,720,1,0
7,RE_WIND_Onshore_Lim_4,10,10,0,720,1,0
8,RE_WIND_Onshore_Lim_5,10,10,0,720,1,0
9,RE_WIND_Onshore_Lim_6,10,10,0,720,1,0
10,RE_WIND_Onshore_Lim_7,10,10,0,720,1,0
11,RE_WIND_Onshore_Lim_8,10,10,0,720,1,0
12,RE_WIND_Onshore_Lim_9,10,10,0,720,1,0
13,RE_WIND_Offshore_Lim_0,10,10,0,720,1,0
14,RE_WIND_Offshore_Lim_1,10,10,0,720,1,0
15,RE_WIND_Offshore_Lim_2,10,10,0,720,1,0
16,RE_WIND_Offshore_Lim_3,10,10,0,720,1,0
17,RE_WIND_Offshore_Lim_4,10,10,0,720,1,0
18,RE_WIND_Offshore_Lim_5,10,10,0,720,1,0
19,RE_WIND_Offshore_Lim_6,10,10,0,720,1,0
20,RE_WIND_Offshore_Lim_7,10,10,0,720,1,0
21,RE_WIND_Offshore_Lim_8,10,10,0,720,1,0
22,RE_WIND_Offshore_Lim_9,10,10,0,720,1,0
23,HYDRO,10,10,0,720,1,0
24,PP_CO2,10,10,0,720,1,0
25,BESS,10,10,0,720,1,0
26,EL_to_HTH,10,10,0,720,1,0
27,EL_to_NH3,10,10,0,720,1,0
28,NH3_Storage,10,10,0,720,1,0
29,NH3_to_EL,10,10,0,720,1,0
30,NH3_to_HTH,10,10,0,720,1,0
31,FF_to_HTH,10,10,0,720,1,0
32,EL_Demand,10,10,0,720,1,0
33,HTH_Demand,10,10,0,720,1,0
34,RE_PV_Rooftop_Lim,1,1,0,720,1,0
35,RE_PV_Openfield_Lim,1,1,0,720,1,0
36,RE_WIND_Offshore_Lim,1,1,0,720,1,0
37,RE_WIND_Onshore_Lim,1,1,0,720,1,0
38,PP_CO2,1,1,0,720,1,0
39,BESS,1,1,0,720,1,0
40,EL_to_HTH,1,1,0,720,1,0
41,EL_to_NH3,1,1,0,720,1,0
42,NH3_Storage,1,1,0,720,1,0
43,NH3_to_EL,1,1,0,720,1,0
44,NH3_to_HTH,1,1,0,720,1,0
45,FF_to_HTH,1,1,0,720,1,0
46,EL_Demand,1,1,0,720,1,0
47,HTH_Demand,1,1,0,720,1,0
48,RE_PV_Openfield_Lim,5,5,0,720,1,0
49,RE_PV_Rooftop_Lim,5,5,0,720,1,0
50,RE_WIND_Onshore_Lim_0,5,5,0,720,1,0
51,RE_WIND_Onshore_Lim_1,5,5,0,720,1,0
52,RE_WIND_Onshore_Lim_2,5,5,0,720,1,0
53,RE_WIND_Onshore_Lim_3,5,5,0,720,1,0
54,RE_WIND_Onshore_Lim_4,5,5,0,720,1,0
55,RE_WIND_Onshore_Lim_5,5,5,0,720,1,0
56,RE_WIND_Onshore_Lim_6,5,5,0,720,1,0
57,RE_WIND_Onshore_Lim_7,5,5,0,720,1,0
58,RE_WIND_Onshore_Lim_8,5,5,0,720,1,0
59,RE_WIND_Onshore_Lim_9,5,5,0,720,1,0
60,RE_WIND_Offshore_Lim_0,5,5,0,720,1,0
61,RE_WIND_Offshore_Lim_1,5,5,0,720,1,0
62,RE_WIND_Offshore_Lim_2,5,5,0,720,1,0
63,RE_WIND_Offshore_Lim_3,5,5,0,720,1,0
64,RE_WIND_Offshore_Lim_4,5,5,0,720,1,0
65,RE_WIND_Offshore_Lim_5,5,5,0,720,1,0
66,RE_WIND_Offshore_Lim_6,5,5,0,720,1,0
67,RE_WIND_Offshore_Lim_7,5,5,0,720,1,0
68,RE_WIND_Offshore_Lim_8,5,5,0,720,1,0
69,RE_WIND_Offshore_Lim_9,5,5,0,720,1,0
70,HYDRO,5,5,0,720,1,0
71,PP_CO2,5,5,0,720,1,0
72,BESS,5,5,0,720,1,0
73,EL_to_HTH,5,5,0,720,1,0
74,EL_to_NH3,5,5,0,720,1,0
75,NH3_Storage,5,5,0,720,1,0
76,NH3_to_EL,5,5,0,720,1,0
77,NH3_to_HTH,5,5,0,720,1,0
78,FF_to_HTH,5,5,0,720,1,0
79,EL_Demand,5,5,0,720,1,0
80,HTH_Demand,5,5,0,720,1,0
