country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
ID,MM,AU,,87.0,1.1,60.1,RE_PV_Openfield_Lim_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_PV_Rooftop_Lim_[AU]
ID,MM,AU,,87.0,9.5,224.0,RE_WIND_Onshore_Lim_0_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[AU]
ID,MM,AU,,87.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[AU]
ID,MM,AU,,87.0,0.2,7.4,HYDRO_[AU]
ID,MM,AU,,87.0,0.0,0.0,PP_CO2_[AU]
ID,MM,AU,,87.0,0.2,9.7,BESS_[AU]
ID,MM,AU,,87.0,0.0,0.4,EL_to_HTH_[AU]
