country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
AU,MM,,,72.9,0.3,18.5,RE_PV_Openfield_Lim_[AU]
AU,MM,,,72.9,0.0,0.0,RE_PV_Rooftop_Lim_[AU]
AU,MM,,,72.9,2.7,63.7,RE_WIND_Onshore_Lim_0_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Onshore_Lim_1_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Onshore_Lim_2_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Onshore_Lim_3_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Onshore_Lim_4_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Onshore_Lim_5_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Onshore_Lim_6_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Onshore_Lim_7_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Onshore_Lim_8_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Onshore_Lim_9_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Offshore_Lim_0_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Offshore_Lim_1_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Offshore_Lim_2_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Offshore_Lim_3_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Offshore_Lim_4_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Offshore_Lim_5_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Offshore_Lim_6_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Offshore_Lim_7_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Offshore_Lim_8_[AU]
AU,MM,,,72.9,0.0,0.0,RE_WIND_Offshore_Lim_9_[AU]
AU,MM,,,72.9,0.0,7.4,HYDRO_[AU]
