country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
SG,AU,,,0.0,1.3,51.8,RE_PV_Openfield_Lim_[AU]
SG,AU,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[AU]
SG,AU,,,0.0,4.7,84.5,RE_WIND_Onshore_Lim_0_[AU]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[AU]
SG,AU,,,0.0,0.8,13.8,RE_WIND_Onshore_Lim_2_[AU]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[AU]
SG,AU,,,0.0,1.7,30.1,RE_WIND_Onshore_Lim_4_[AU]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[AU]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[AU]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[AU]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[AU]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[AU]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[AU]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[AU]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[AU]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[AU]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[AU]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[AU]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[AU]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[AU]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[AU]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[AU]
SG,AU,,,0.0,0.1,7.4,HYDRO_[AU]
SG,AU,,,0.0,0.0,0.0,PP_CO2_[AU]
SG,AU,,,0.0,0.3,15.5,BESS_[AU]
SG,AU,,,0.0,0.0,0.4,EL_to_HTH_[AU]
SG,AU,,,0.0,0.2,3.4,EL_to_NH3_[AU]
SG,AU,,,0.0,0.4,26.5,NH3_Storage_[AU]
SG,AU,,,0.0,0.3,4.1,NH3_to_EL_[AU]
SG,AU,,,0.0,0.0,0.1,NH3_to_HTH_[AU]
SG,AU,,,0.0,0.0,0.0,FF_to_HTH_[AU]
SG,AU,,,0.0,0.0,63.6,EL_Demand_[AU]
SG,AU,,,0.0,0.0,0.4,HTH_Demand_[AU]
SG,AU,,,0.0,0.0,0.4,RE_PV_Openfield_Lim_[SG]
SG,AU,,,0.0,0.1,2.8,RE_PV_Rooftop_Lim_[SG]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_0_[SG]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[SG]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[SG]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[SG]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[SG]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[SG]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[SG]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[SG]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[SG]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[SG]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[SG]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[SG]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[SG]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[SG]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[SG]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[SG]
SG,AU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[SG]
