country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
IN,,,,1736.6,6.7,609.1,RE_PV_Openfield_Lim_[IN]
IN,,,,1736.6,0.0,0.0,RE_PV_Rooftop_Lim_[IN]
IN,,,,1736.6,10.9,294.5,RE_WIND_Onshore_Lim_0_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Onshore_Lim_1_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Onshore_Lim_2_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Onshore_Lim_3_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Onshore_Lim_4_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Onshore_Lim_5_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Onshore_Lim_6_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Onshore_Lim_7_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Onshore_Lim_8_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Onshore_Lim_9_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Offshore_Lim_0_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Offshore_Lim_1_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Offshore_Lim_2_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Offshore_Lim_3_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Offshore_Lim_4_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Offshore_Lim_5_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Offshore_Lim_6_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Offshore_Lim_7_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Offshore_Lim_8_[IN]
IN,,,,1736.6,0.0,0.0,RE_WIND_Offshore_Lim_9_[IN]
IN,,,,1736.6,1.5,43.4,HYDRO_[IN]
IN,,,,1736.6,29.4,380.1,PP_CO2_[IN]
IN,,,,1736.6,0.3,17.5,BESS_[IN]
IN,,,,1736.6,0.1,6.2,EL_to_HTH_[IN]
IN,,,,1736.6,0.0,0.2,EL_to_NH3_[IN]
IN,,,,1736.6,0.0,2.1,NH3_Storage_[IN]
IN,,,,1736.6,0.1,0.7,NH3_to_EL_[IN]
IN,,,,1736.6,0.0,0.1,NH3_to_HTH_[IN]
IN,,,,1736.6,0.1,6.0,FF_to_HTH_[IN]
IN,,,,1736.6,0.0,497.9,EL_Demand_[IN]
IN,,,,1736.6,0.0,6.4,HTH_Demand_[IN]
IN,,,,2776.6,4.8,432.9,RE_PV_Openfield_Lim_[IN]
IN,,,,2776.6,0.0,0.0,RE_PV_Rooftop_Lim_[IN]
IN,,,,2776.6,0.0,0.0,RE_WIND_Onshore_Lim_0_[IN]
IN,,,,2776.6,0.0,0.0,RE_WIND_Onshore_Lim_1_[IN]
IN,,,,2776.6,0.0,0.0,RE_WIND_Onshore_Lim_2_[IN]
IN,,,,2776.6,0.0,0.0,RE_WIND_Onshore_Lim_3_[IN]
IN,,,,2776.6,0.0,0.0,RE_WIND_Onshore_Lim_4_[IN]
IN,,,,2776.6,0.0,0.0,RE_WIND_Onshore_Lim_5_[IN]
IN,,,,2776.6,0.0,0.0,RE_WIND_Onshore_Lim_6_[IN]
IN,,,,2776.6,0.0,0.0,RE_WIND_Onshore_Lim_7_[IN]
IN,,,,2776.6,0.0,0.0,RE_WIND_Onshore_Lim_8_[IN]
IN,,,,2776.6,0.0,0.0,RE_WIND_Onshore_Lim_9_[IN]
IN,,,,2776.6,0.0,0.0,RE_WIND_Offshore_Lim_0_[IN]
IN,,,,2776.6,0.0,0.0,RE_WIND_Offshore_Lim_1_[IN]
