Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,27,27,7
1,RE_PV_Openfield_Lim,27,27,27
2,RE_PV_Rooftop_Lim,27,27,27
3,RE_WIND_Onshore_Lim_0,27,27,27
4,RE_WIND_Onshore_Lim_1,27,27,27
5,RE_WIND_Onshore_Lim_2,27,27,27
6,RE_WIND_Onshore_Lim_3,27,27,27
7,RE_WIND_Onshore_Lim_4,27,27,27
8,RE_WIND_Onshore_Lim_5,27,27,27
9,RE_WIND_Onshore_Lim_6,27,27,27
10,RE_WIND_Onshore_Lim_7,27,27,27
11,RE_WIND_Onshore_Lim_8,27,27,27
12,RE_WIND_Onshore_Lim_9,27,27,27
13,RE_WIND_Offshore_Lim_0,27,27,27
14,RE_WIND_Offshore_Lim_1,27,27,27
15,RE_WIND_Offshore_Lim_2,27,27,27
16,RE_WIND_Offshore_Lim_3,27,27,27
17,RE_WIND_Offshore_Lim_4,27,27,27
18,RE_WIND_Offshore_Lim_5,27,27,27
19,RE_WIND_Offshore_Lim_6,27,27,27
20,RE_WIND_Offshore_Lim_7,27,27,27
21,RE_WIND_Offshore_Lim_8,27,27,27
22,RE_WIND_Offshore_Lim_9,27,27,27
23,HYDRO,27,27,27
24,PP_CO2,27,27,27
25,BESS,27,27,27
26,EL_to_HTH,27,27,27
27,EL_to_NH3,27,27,27
28,NH3_Storage,27,27,27
29,NH3_to_EL,27,27,27
30,NH3_to_HTH,27,27,27
31,FF_to_HTH,27,27,27
32,EL_Demand,27,27,27
33,HTH_Demand,27,27,27
