Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,0,0,330
1,RE_PV_Openfield_BAU,0,0,13
2,RE_WIND_Onshore_BAU_0,0,0,13
3,RE_WIND_Onshore_BAU_1,0,0,13
4,RE_WIND_Onshore_BAU_2,0,0,13
5,RE_WIND_Onshore_BAU_3,0,0,13
6,RE_WIND_Onshore_BAU_4,0,0,13
7,RE_WIND_Onshore_BAU_5,0,0,13
8,RE_WIND_Onshore_BAU_6,0,0,13
9,RE_WIND_Onshore_BAU_7,0,0,13
10,RE_WIND_Onshore_BAU_8,0,0,13
11,RE_WIND_Onshore_BAU_9,0,0,13
12,HYDRO,0,0,13
13,PP_CO2,0,0,13
14,FF_to_HTH,0,0,13
15,EL_Demand,0,0,13
16,HTH_Demand,0,0,13
