country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
SG,ID,BN,TH,114.8,0.0,0.4,RE_PV_Rooftop_Lim_[BN]
SG,ID,BN,TH,114.8,0.1,5.0,RE_PV_Openfield_Lim_[BN]
SG,ID,BN,TH,114.8,0.1,1.0,RE_WIND_Offshore_Lim_[BN]
SG,ID,BN,TH,114.8,0.0,0.3,RE_WIND_Onshore_Lim_[BN]
SG,ID,BN,TH,114.8,0.0,0.4,PP_CO2_[BN]
SG,ID,BN,TH,114.8,0.2,9.9,BESS_[BN]
SG,ID,BN,TH,114.8,0.0,0.1,EL_to_HTH_[BN]
SG,ID,BN,TH,114.8,0.0,0.0,EL_to_NH3_[BN]
SG,ID,BN,TH,114.8,0.0,0.0,NH3_Storage_[BN]
SG,ID,BN,TH,114.8,0.0,0.0,NH3_to_EL_[BN]
SG,ID,BN,TH,114.8,0.0,0.0,NH3_to_HTH_[BN]
SG,ID,BN,TH,114.8,0.0,0.1,FF_to_HTH_[BN]
SG,ID,BN,TH,114.8,0.0,1.5,EL_Demand_[BN]
SG,ID,BN,TH,114.8,0.0,0.1,HTH_Demand_[BN]
SG,ID,BN,TH,114.8,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
SG,ID,BN,TH,114.8,4.6,259.2,RE_PV_Openfield_Lim_[ID]
SG,ID,BN,TH,114.8,5.6,106.7,RE_WIND_Offshore_Lim_[ID]
SG,ID,BN,TH,114.8,24.8,515.1,RE_WIND_Onshore_Lim_[ID]
SG,ID,BN,TH,114.8,1.5,26.0,PP_CO2_[ID]
SG,ID,BN,TH,114.8,2.0,109.2,BESS_[ID]
SG,ID,BN,TH,114.8,1.3,116.6,EL_to_HTH_[ID]
SG,ID,BN,TH,114.8,0.0,0.4,EL_to_NH3_[ID]
SG,ID,BN,TH,114.8,0.0,1.5,NH3_Storage_[ID]
SG,ID,BN,TH,114.8,0.0,0.2,NH3_to_EL_[ID]
SG,ID,BN,TH,114.8,0.0,0.2,NH3_to_HTH_[ID]
SG,ID,BN,TH,114.8,5.9,116.1,FF_to_HTH_[ID]
SG,ID,BN,TH,114.8,0.0,138.0,EL_Demand_[ID]
SG,ID,BN,TH,114.8,0.0,117.7,HTH_Demand_[ID]
SG,ID,BN,TH,114.8,0.1,2.8,RE_PV_Rooftop_Lim_[SG]
SG,ID,BN,TH,114.8,0.0,0.4,RE_PV_Openfield_Lim_[SG]
SG,ID,BN,TH,114.8,0.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,BN,TH,114.8,0.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,ID,BN,TH,114.8,3.5,10.4,PP_CO2_[SG]
SG,ID,BN,TH,114.8,0.0,0.2,BESS_[SG]
SG,ID,BN,TH,114.8,0.0,0.0,EL_to_HTH_[SG]
SG,ID,BN,TH,114.8,0.0,0.0,EL_to_NH3_[SG]
SG,ID,BN,TH,114.8,0.0,0.0,NH3_Storage_[SG]
SG,ID,BN,TH,114.8,0.0,0.0,NH3_to_EL_[SG]
SG,ID,BN,TH,114.8,0.0,0.0,NH3_to_HTH_[SG]
SG,ID,BN,TH,114.8,0.7,4.9,FF_to_HTH_[SG]
SG,ID,BN,TH,114.8,0.0,10.7,EL_Demand_[SG]
SG,ID,BN,TH,114.8,0.0,4.9,HTH_Demand_[SG]
