country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
MY,BN,PH,,1.4647694613202944e-09,0.08541734946409761,RE_PV_Openfield_Lim_[BN]
MY,BN,PH,,1.4647694613202944e-09,8.106032877279296e-10,RE_PV_Rooftop_Lim_[BN]
MY,BN,PH,,1.4647694613202944e-09,3.4014221472582997e-10,RE_WIND_Onshore_Lim_0_[BN]
MY,BN,PH,,1.4647694613202944e-09,2.475855157920552e-10,RE_WIND_Onshore_Lim_1_[BN]
MY,BN,PH,,1.4647694613202944e-09,2.4235803658731437e-10,RE_WIND_Onshore_Lim_2_[BN]
MY,BN,PH,,1.4647694613202944e-09,2.5330786257075943e-10,RE_WIND_Onshore_Lim_3_[BN]
MY,BN,PH,,1.4647694613202944e-09,2.471686737663062e-10,RE_WIND_Onshore_Lim_4_[BN]
MY,BN,PH,,1.4647694613202944e-09,2.4169677310484666e-10,RE_WIND_Onshore_Lim_5_[BN]
MY,BN,PH,,1.4647694613202944e-09,2.2797685032443701e-10,RE_WIND_Onshore_Lim_6_[BN]
MY,BN,PH,,1.4647694613202944e-09,2.1630847823726667e-10,RE_WIND_Onshore_Lim_7_[BN]
MY,BN,PH,,1.4647694613202944e-09,2.1081281702650807e-10,RE_WIND_Onshore_Lim_8_[BN]
MY,BN,PH,,1.4647694613202944e-09,1.2884771158124963e-10,RE_WIND_Onshore_Lim_9_[BN]
MY,BN,PH,,1.4647694613202944e-09,6.215787826301608e-11,RE_WIND_Offshore_Lim_0_[BN]
MY,BN,PH,,1.4647694613202944e-09,5.7349742602737685e-11,RE_WIND_Offshore_Lim_1_[BN]
MY,BN,PH,,1.4647694613202944e-09,5.391491398377601e-11,RE_WIND_Offshore_Lim_2_[BN]
MY,BN,PH,,1.4647694613202944e-09,5.086794429706456e-11,RE_WIND_Offshore_Lim_3_[BN]
MY,BN,PH,,1.4647694613202944e-09,4.199969243380066e-11,RE_WIND_Offshore_Lim_4_[BN]
MY,BN,PH,,1.4647694613202944e-09,4.0206800581153585e-11,RE_WIND_Offshore_Lim_5_[BN]
MY,BN,PH,,1.4647694613202944e-09,3.79872305447952e-11,RE_WIND_Offshore_Lim_6_[BN]
MY,BN,PH,,1.4647694613202944e-09,3.5835990870751797e-11,RE_WIND_Offshore_Lim_7_[BN]
MY,BN,PH,,1.4647694613202944e-09,3.35300814421824e-11,RE_WIND_Offshore_Lim_8_[BN]
MY,BN,PH,,1.4647694613202944e-09,2.7012780499075427e-11,RE_WIND_Offshore_Lim_9_[BN]
MY,BN,PH,,1.4647694613202944e-09,0.0,HYDRO_[BN]
MY,BN,PH,,1.4647694613202944e-09,0.0,PP_CO2_[BN]
MY,BN,PH,,1.4647694613202944e-09,0.17539986944309666,BESS_[BN]
MY,BN,PH,,1.4647694613202944e-09,0.0013561266777910922,EL_to_HTH_[BN]
MY,BN,PH,,1.4647694613202944e-09,5.809906422703069e-07,EL_to_NH3_[BN]
MY,BN,PH,,1.4647694613202944e-09,0.1554584653985812,NH3_Storage_[BN]
MY,BN,PH,,1.4647694613202944e-09,0.02035245090231457,NH3_to_EL_[BN]
MY,BN,PH,,1.4647694613202944e-09,0.00030089075166813404,NH3_to_HTH_[BN]
MY,BN,PH,,1.4647694613202944e-09,5.072129874732843e-11,FF_to_HTH_[BN]
MY,BN,PH,,1.4647694613202944e-09,0.0,EL_Demand_[BN]
MY,BN,PH,,1.4647694613202944e-09,0.0,HTH_Demand_[BN]
MY,BN,PH,,1.4647694613202944e-09,2.8660935963346317,RE_PV_Openfield_Lim_[MY]
MY,BN,PH,,1.4647694613202944e-09,3.630835253465977e-10,RE_PV_Rooftop_Lim_[MY]
MY,BN,PH,,1.4647694613202944e-09,1.9326155072886693,RE_WIND_Onshore_Lim_0_[MY]
MY,BN,PH,,1.4647694613202944e-09,4.2379323836605706e-10,RE_WIND_Onshore_Lim_1_[MY]
MY,BN,PH,,1.4647694613202944e-09,3.2187670378505163e-10,RE_WIND_Onshore_Lim_2_[MY]
MY,BN,PH,,1.4647694613202944e-09,5.251452161448064e-10,RE_WIND_Onshore_Lim_3_[MY]
MY,BN,PH,,1.4647694613202944e-09,5.990162893757539e-10,RE_WIND_Onshore_Lim_4_[MY]
MY,BN,PH,,1.4647694613202944e-09,4.29997362917643e-10,RE_WIND_Onshore_Lim_5_[MY]
MY,BN,PH,,1.4647694613202944e-09,2.966981271703089e-10,RE_WIND_Onshore_Lim_6_[MY]
MY,BN,PH,,1.4647694613202944e-09,1.9799219154479127e-10,RE_WIND_Onshore_Lim_7_[MY]
MY,BN,PH,,1.4647694613202944e-09,1.3631460174115856e-10,RE_WIND_Onshore_Lim_8_[MY]
MY,BN,PH,,1.4647694613202944e-09,1.0209527304436955e-10,RE_WIND_Onshore_Lim_9_[MY]
MY,BN,PH,,1.4647694613202944e-09,9.238650738364923e-11,RE_WIND_Offshore_Lim_0_[MY]
MY,BN,PH,,1.4647694613202944e-09,6.22274956604614e-11,RE_WIND_Offshore_Lim_1_[MY]
MY,BN,PH,,1.4647694613202944e-09,5.1203980494781824e-11,RE_WIND_Offshore_Lim_2_[MY]
MY,BN,PH,,1.4647694613202944e-09,5.0366099603702234e-11,RE_WIND_Offshore_Lim_3_[MY]
MY,BN,PH,,1.4647694613202944e-09,4.763126898181387e-11,RE_WIND_Offshore_Lim_4_[MY]
MY,BN,PH,,1.4647694613202944e-09,4.4029936531877674e-11,RE_WIND_Offshore_Lim_5_[MY]
MY,BN,PH,,1.4647694613202944e-09,3.7324283630251654e-11,RE_WIND_Offshore_Lim_6_[MY]
MY,BN,PH,,1.4647694613202944e-09,3.4592914437793083e-11,RE_WIND_Offshore_Lim_7_[MY]
MY,BN,PH,,1.4647694613202944e-09,3.155093593068331e-11,RE_WIND_Offshore_Lim_8_[MY]
MY,BN,PH,,1.4647694613202944e-09,2.491685633243185e-11,RE_WIND_Offshore_Lim_9_[MY]
MY,BN,PH,,1.4647694613202944e-09,0.1620509036043529,HYDRO_[MY]
MY,BN,PH,,1.4647694613202944e-09,0.0,PP_CO2_[MY]
MY,BN,PH,,1.4647694613202944e-09,4.6448199913611905,BESS_[MY]
MY,BN,PH,,1.4647694613202944e-09,0.13892728619592923,EL_to_HTH_[MY]
MY,BN,PH,,1.4647694613202944e-09,1.217869551878096e-06,EL_to_NH3_[MY]
MY,BN,PH,,1.4647694613202944e-09,1.721640291376199,NH3_Storage_[MY]
MY,BN,PH,,1.4647694613202944e-09,0.005807739123022049,NH3_to_EL_[MY]
MY,BN,PH,,1.4647694613202944e-09,0.032000780862860824,NH3_to_HTH_[MY]
MY,BN,PH,,1.4647694613202944e-09,5.0766722013505285e-11,FF_to_HTH_[MY]
MY,BN,PH,,1.4647694613202944e-09,0.0,EL_Demand_[MY]
MY,BN,PH,,1.4647694613202944e-09,0.0,HTH_Demand_[MY]
MY,BN,PH,,1.4647694613202944e-09,1.6497236610733617,RE_PV_Openfield_Lim_[PH]
MY,BN,PH,,1.4647694613202944e-09,3.1813301980627443e-10,RE_PV_Rooftop_Lim_[PH]
MY,BN,PH,,1.4647694613202944e-09,3.735582184144459,RE_WIND_Onshore_Lim_0_[PH]
MY,BN,PH,,1.4647694613202944e-09,5.354219018913077e-10,RE_WIND_Onshore_Lim_1_[PH]
MY,BN,PH,,1.4647694613202944e-09,5.958203756536175e-10,RE_WIND_Onshore_Lim_2_[PH]
MY,BN,PH,,1.4647694613202944e-09,8.371676143241983e-10,RE_WIND_Onshore_Lim_3_[PH]
MY,BN,PH,,1.4647694613202944e-09,6.422058782724029e-10,RE_WIND_Onshore_Lim_4_[PH]
MY,BN,PH,,1.4647694613202944e-09,5.038081182641324e-10,RE_WIND_Onshore_Lim_5_[PH]
MY,BN,PH,,1.4647694613202944e-09,3.6869601752586425e-10,RE_WIND_Onshore_Lim_6_[PH]
MY,BN,PH,,1.4647694613202944e-09,2.769550784340621e-10,RE_WIND_Onshore_Lim_7_[PH]
MY,BN,PH,,1.4647694613202944e-09,2.2393596778098657e-10,RE_WIND_Onshore_Lim_8_[PH]
MY,BN,PH,,1.4647694613202944e-09,1.6159519221928194e-10,RE_WIND_Onshore_Lim_9_[PH]
MY,BN,PH,,1.4647694613202944e-09,7.672986412218184e-11,RE_WIND_Offshore_Lim_0_[PH]
MY,BN,PH,,1.4647694613202944e-09,6.814692918903357e-11,RE_WIND_Offshore_Lim_1_[PH]
MY,BN,PH,,1.4647694613202944e-09,6.415211366027304e-11,RE_WIND_Offshore_Lim_2_[PH]
MY,BN,PH,,1.4647694613202944e-09,6.278614965320416e-11,RE_WIND_Offshore_Lim_3_[PH]
MY,BN,PH,,1.4647694613202944e-09,6.251421637985641e-11,RE_WIND_Offshore_Lim_4_[PH]
MY,BN,PH,,1.4647694613202944e-09,5.893425987532425e-11,RE_WIND_Offshore_Lim_5_[PH]
MY,BN,PH,,1.4647694613202944e-09,5.4792744234318987e-11,RE_WIND_Offshore_Lim_6_[PH]
MY,BN,PH,,1.4647694613202944e-09,5.7814631559363644e-11,RE_WIND_Offshore_Lim_7_[PH]
MY,BN,PH,,1.4647694613202944e-09,6.058494424049237e-11,RE_WIND_Offshore_Lim_8_[PH]
MY,BN,PH,,1.4647694613202944e-09,0.0,RE_WIND_Offshore_Lim_9_[PH]
MY,BN,PH,,1.4647694613202944e-09,0.04474645313761009,HYDRO_[PH]
MY,BN,PH,,1.4647694613202944e-09,0.0,PP_CO2_[PH]
