Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,3,3,1337
1,RE_PV_Rooftop_Lim,3,3,3
2,RE_PV_Openfield_Lim,3,3,3
3,RE_WIND_Offshore_Lim,3,3,3
4,RE_WIND_Onshore_Lim,3,3,3
5,PP_CO2,3,3,3
6,BESS,3,3,3
7,EL_to_HTH,3,3,3
8,EL_to_NH3,3,3,3
9,NH3_Storage,3,3,3
10,NH3_to_EL,3,3,3
11,NH3_to_HTH,3,3,3
12,FF_to_HTH,3,3,3
13,EL_Demand,3,3,3
14,HTH_Demand,3,3,3
1,RE_PV_Rooftop_Lim,2,2,2
2,RE_PV_Openfield_Lim,2,2,2
3,RE_WIND_Offshore_Lim,2,2,2
4,RE_WIND_Onshore_Lim,2,2,2
5,PP_CO2,2,2,2
6,BESS,2,2,2
7,EL_to_HTH,2,2,2
8,EL_to_NH3,2,2,2
9,NH3_Storage,2,2,2
10,NH3_to_EL,2,2,2
11,NH3_to_HTH,2,2,2
12,FF_to_HTH,2,2,2
13,EL_Demand,2,2,2
14,HTH_Demand,2,2,2
1,RE_PV_Rooftop_Lim,7,7,7
2,RE_PV_Openfield_Lim,7,7,7
3,RE_WIND_Offshore_Lim,7,7,7
4,RE_WIND_Onshore_Lim,7,7,7
5,PP_CO2,7,7,7
6,BESS,7,7,7
7,EL_to_HTH,7,7,7
8,EL_to_NH3,7,7,7
9,NH3_Storage,7,7,7
10,NH3_to_EL,7,7,7
11,NH3_to_HTH,7,7,7
12,FF_to_HTH,7,7,7
13,EL_Demand,7,7,7
14,HTH_Demand,7,7,7
15,EL_Transport,3,2,0
16,NH3_Transport,3,2,0
17,EL_Transport,3,7,0
18,NH3_Transport,3,7,0
19,EL_Transport,2,7,0
20,NH3_Transport,2,7,0
