Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,3,3,1281
1,RE_PV_Rooftop_Lim,3,3,3
2,RE_PV_Openfield_Lim,3,3,3
3,RE_WIND_Offshore_Lim,3,3,3
4,RE_WIND_Onshore_Lim,3,3,3
5,PP_CO2,3,3,3
6,BESS,3,3,3
7,EL_to_HTH,3,3,3
8,EL_to_NH3,3,3,3
9,NH3_Storage,3,3,3
10,NH3_to_EL,3,3,3
11,NH3_to_HTH,3,3,3
12,FF_to_HTH,3,3,3
13,EL_Demand,3,3,3
14,HTH_Demand,3,3,3
1,RE_PV_Rooftop_Lim,6,6,6
2,RE_PV_Openfield_Lim,6,6,6
3,RE_WIND_Offshore_Lim,6,6,6
4,RE_WIND_Onshore_Lim,6,6,6
5,PP_CO2,6,6,6
6,BESS,6,6,6
7,EL_to_HTH,6,6,6
8,EL_to_NH3,6,6,6
9,NH3_Storage,6,6,6
10,NH3_to_EL,6,6,6
11,NH3_to_HTH,6,6,6
12,FF_to_HTH,6,6,6
13,EL_Demand,6,6,6
14,HTH_Demand,6,6,6
