country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
BN,PH,,,8.859881231789811e-11,0.08541734999734027,RE_PV_Openfield_Lim_[BN]
BN,PH,,,8.859881231789811e-11,0.008295009650475527,RE_PV_Rooftop_Lim_[BN]
BN,PH,,,8.859881231789811e-11,1.1917777870625474e-10,RE_WIND_Onshore_Lim_0_[BN]
BN,PH,,,8.859881231789811e-11,4.738475410632781e-11,RE_WIND_Onshore_Lim_1_[BN]
BN,PH,,,8.859881231789811e-11,5.86079156593928e-11,RE_WIND_Onshore_Lim_2_[BN]
BN,PH,,,8.859881231789811e-11,4.899340785856526e-09,RE_WIND_Onshore_Lim_3_[BN]
BN,PH,,,8.859881231789811e-11,0.024178855042182482,RE_WIND_Onshore_Lim_4_[BN]
BN,PH,,,8.859881231789811e-11,4.836439571465229e-10,RE_WIND_Onshore_Lim_5_[BN]
BN,PH,,,8.859881231789811e-11,1.539111382058567e-10,RE_WIND_Onshore_Lim_6_[BN]
BN,PH,,,8.859881231789811e-11,8.355118685447108e-11,RE_WIND_Onshore_Lim_7_[BN]
BN,PH,,,8.859881231789811e-11,4.729829901132562e-11,RE_WIND_Onshore_Lim_8_[BN]
BN,PH,,,8.859881231789811e-11,2.627245336398607e-11,RE_WIND_Onshore_Lim_9_[BN]
BN,PH,,,8.859881231789811e-11,0.35547287833261365,RE_WIND_Offshore_Lim_0_[BN]
BN,PH,,,8.859881231789811e-11,2.2483936559659314e-10,RE_WIND_Offshore_Lim_1_[BN]
BN,PH,,,8.859881231789811e-11,1.3295645511411076e-10,RE_WIND_Offshore_Lim_2_[BN]
BN,PH,,,8.859881231789811e-11,1.0240628270105663e-10,RE_WIND_Offshore_Lim_3_[BN]
BN,PH,,,8.859881231789811e-11,7.017666019310416e-11,RE_WIND_Offshore_Lim_4_[BN]
BN,PH,,,8.859881231789811e-11,6.340716150476354e-11,RE_WIND_Offshore_Lim_5_[BN]
BN,PH,,,8.859881231789811e-11,5.84961216882127e-11,RE_WIND_Offshore_Lim_6_[BN]
