country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
BN,TH,,,4.451144708603565e-08,0.08541734363517145,RE_PV_Openfield_Lim_[BN]
BN,TH,,,4.451144708603565e-08,2.223393419873041e-11,RE_PV_Rooftop_Lim_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Onshore_Lim_0_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Onshore_Lim_1_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Onshore_Lim_2_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Onshore_Lim_3_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Onshore_Lim_4_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Onshore_Lim_5_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Onshore_Lim_6_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Onshore_Lim_7_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Onshore_Lim_8_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Onshore_Lim_9_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Offshore_Lim_0_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Offshore_Lim_1_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Offshore_Lim_2_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Offshore_Lim_3_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Offshore_Lim_4_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Offshore_Lim_5_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Offshore_Lim_6_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Offshore_Lim_7_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Offshore_Lim_8_[BN]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Offshore_Lim_9_[BN]
BN,TH,,,4.451144708603565e-08,0.0,HYDRO_[BN]
BN,TH,,,4.451144708603565e-08,0.0,PP_CO2_[BN]
BN,TH,,,4.451144708603565e-08,0.0008875901745850216,BESS_[BN]
BN,TH,,,4.451144708603565e-08,0.0013785116177729283,EL_to_HTH_[BN]
BN,TH,,,4.451144708603565e-08,0.00022506856131283647,EL_to_NH3_[BN]
BN,TH,,,4.451144708603565e-08,0.4700987202972621,NH3_Storage_[BN]
BN,TH,,,4.451144708603565e-08,0.077521930624848,NH3_to_EL_[BN]
BN,TH,,,4.451144708603565e-08,0.0002877358008520713,NH3_to_HTH_[BN]
BN,TH,,,4.451144708603565e-08,2.1236900850976756e-09,FF_to_HTH_[BN]
BN,TH,,,4.451144708603565e-08,0.0,EL_Demand_[BN]
BN,TH,,,4.451144708603565e-08,0.0,HTH_Demand_[BN]
BN,TH,,,4.451144708603565e-08,3.5116570121559287,RE_PV_Openfield_Lim_[TH]
BN,TH,,,4.451144708603565e-08,1.764984433699246e-10,RE_PV_Rooftop_Lim_[TH]
BN,TH,,,4.451144708603565e-08,2.8278253105799505e-10,RE_WIND_Onshore_Lim_0_[TH]
BN,TH,,,4.451144708603565e-08,1.1163907901443334e-09,RE_WIND_Onshore_Lim_1_[TH]
BN,TH,,,4.451144708603565e-08,10.390151585620174,RE_WIND_Onshore_Lim_2_[TH]
BN,TH,,,4.451144708603565e-08,2.0901666898328563e-10,RE_WIND_Onshore_Lim_3_[TH]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Onshore_Lim_4_[TH]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Onshore_Lim_5_[TH]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Onshore_Lim_6_[TH]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Onshore_Lim_7_[TH]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Onshore_Lim_8_[TH]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Onshore_Lim_9_[TH]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Offshore_Lim_0_[TH]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Offshore_Lim_1_[TH]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Offshore_Lim_2_[TH]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Offshore_Lim_3_[TH]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Offshore_Lim_4_[TH]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Offshore_Lim_5_[TH]
BN,TH,,,4.451144708603565e-08,0.0,RE_WIND_Offshore_Lim_6_[TH]
