country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
BR,CO,PE,CL,0.0,5.7,315.4,RE_PV_Openfield_Lim_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,PE,CL,0.0,17.7,503.3,RE_WIND_Onshore_Lim_0_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[BR]
BR,CO,PE,CL,0.0,1.5,99.8,HYDRO_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,PP_CO2_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,BESS_[BR]
BR,CO,PE,CL,0.0,1.5,133.4,EL_to_HTH_[BR]
BR,CO,PE,CL,0.0,0.7,12.1,EL_to_NH3_[BR]
BR,CO,PE,CL,0.0,4.7,284.6,NH3_Storage_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,NH3_to_EL_[BR]
BR,CO,PE,CL,0.0,0.2,24.5,NH3_to_HTH_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,FF_to_HTH_[BR]
BR,CO,PE,CL,0.0,0.0,206.6,EL_Demand_[BR]
BR,CO,PE,CL,0.0,0.0,137.1,HTH_Demand_[BR]
BR,CO,PE,CL,0.0,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,CO,PE,CL,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,CO,PE,CL,0.0,1.8,48.4,RE_WIND_Onshore_Lim_0_[CL]
