country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
BR,CO,PE,US,0.0,5.7,315.4,RE_PV_Openfield_Lim_[BR]
BR,CO,PE,US,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,PE,US,0.0,17.7,503.3,RE_WIND_Onshore_Lim_0_[BR]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[BR]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[BR]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[BR]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[BR]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[BR]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[BR]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[BR]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[BR]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[BR]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[BR]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[BR]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[BR]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[BR]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[BR]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[BR]
BR,CO,PE,US,0.0,1.5,99.8,HYDRO_[BR]
BR,CO,PE,US,0.0,0.0,0.0,PP_CO2_[BR]
BR,CO,PE,US,0.0,0.0,0.0,BESS_[BR]
BR,CO,PE,US,0.0,1.5,133.4,EL_to_HTH_[BR]
BR,CO,PE,US,0.0,0.7,12.1,EL_to_NH3_[BR]
BR,CO,PE,US,0.0,4.7,284.6,NH3_Storage_[BR]
BR,CO,PE,US,0.0,0.0,0.0,NH3_to_EL_[BR]
BR,CO,PE,US,0.0,0.2,24.5,NH3_to_HTH_[BR]
BR,CO,PE,US,0.0,0.0,0.0,FF_to_HTH_[BR]
BR,CO,PE,US,0.0,0.0,206.6,EL_Demand_[BR]
BR,CO,PE,US,0.0,0.0,137.1,HTH_Demand_[BR]
BR,CO,PE,US,0.0,1.0,43.4,RE_PV_Openfield_Lim_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,PE,US,0.0,3.0,63.2,RE_WIND_Onshore_Lim_0_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[CO]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[CO]
BR,CO,PE,US,0.0,0.1,10.6,HYDRO_[CO]
BR,CO,PE,US,0.0,0.0,0.0,PP_CO2_[CO]
BR,CO,PE,US,0.0,0.3,16.5,BESS_[CO]
BR,CO,PE,US,0.0,0.1,12.6,EL_to_HTH_[CO]
BR,CO,PE,US,0.0,0.2,3.8,EL_to_NH3_[CO]
BR,CO,PE,US,0.0,1.0,62.5,NH3_Storage_[CO]
BR,CO,PE,US,0.0,0.0,0.0,NH3_to_EL_[CO]
BR,CO,PE,US,0.0,0.0,2.4,NH3_to_HTH_[CO]
BR,CO,PE,US,0.0,0.0,0.0,FF_to_HTH_[CO]
BR,CO,PE,US,0.0,0.0,33.0,EL_Demand_[CO]
BR,CO,PE,US,0.0,0.0,12.9,HTH_Demand_[CO]
BR,CO,PE,US,0.0,0.2,6.4,RE_PV_Openfield_Lim_[PE]
BR,CO,PE,US,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,CO,PE,US,0.0,2.0,43.0,RE_WIND_Onshore_Lim_0_[PE]
BR,CO,PE,US,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[PE]
