country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
BR,CO,PE,US,1.1169360265742505e-05,4.034535763402494,RE_PV_Openfield_Lim_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,PE,US,1.1169360265742505e-05,11.238708820144726,RE_WIND_Onshore_Lim_0_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_1_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_2_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_3_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_4_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_5_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_6_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_7_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_8_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_9_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_0_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_1_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_2_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_3_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_4_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_5_[BR]
BR,CO,PE,US,1.1169360265742505e-05,2.494906291463722,HYDRO_[BR]
BR,CO,PE,US,1.1169360265742505e-05,2.5072273624924745e-06,PP_CO2_[BR]
BR,CO,PE,US,1.1169360265742505e-05,1.1304376774488042e-05,BESS_[BR]
BR,CO,PE,US,1.1169360265742505e-05,1.5291272769179198,EL_to_HTH_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.02886937806399368,EL_to_NH3_[BR]
BR,CO,PE,US,1.1169360265742505e-05,1.9695015328310543,NH3_Storage_[BR]
BR,CO,PE,US,1.1169360265742505e-05,4.0967550001311205e-07,NH3_to_EL_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.15533649625898638,NH3_to_HTH_[BR]
BR,CO,PE,US,1.1169360265742505e-05,2.7117598486696334e-06,FF_to_HTH_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,EL_Demand_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,HTH_Demand_[BR]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_PV_Openfield_Lim_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,PE,US,1.1169360265742505e-05,2.2345880225250214,RE_WIND_Onshore_Lim_0_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_1_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_2_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_3_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_4_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_5_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_6_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_7_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_8_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_9_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_0_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_1_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_2_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_3_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_4_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_5_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_6_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_7_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_8_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_9_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.2520753345966931,HYDRO_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,PP_CO2_[CO]
BR,CO,PE,US,1.1169360265742505e-05,6.717831063495164e-06,BESS_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.1423669113578394,EL_to_HTH_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.007057663240309464,EL_to_NH3_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.22970041876476427,NH3_Storage_[CO]
BR,CO,PE,US,1.1169360265742505e-05,3.4877928731467103e-07,NH3_to_EL_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.015786726079710055,NH3_to_HTH_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,FF_to_HTH_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,EL_Demand_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.0,HTH_Demand_[CO]
BR,CO,PE,US,1.1169360265742505e-05,0.10780476906044217,RE_PV_Openfield_Lim_[PE]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_PV_Rooftop_Lim_[PE]
BR,CO,PE,US,1.1169360265742505e-05,1.677477682657622,RE_WIND_Onshore_Lim_0_[PE]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_1_[PE]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_2_[PE]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_3_[PE]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_4_[PE]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_5_[PE]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_6_[PE]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_7_[PE]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_8_[PE]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Onshore_Lim_9_[PE]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_0_[PE]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_1_[PE]
BR,CO,PE,US,1.1169360265742505e-05,0.0,RE_WIND_Offshore_Lim_2_[PE]
