country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
BR,CO,PE,,1.0188681411835072e-05,5.722684499624189,RE_PV_Openfield_Lim_[BR]
BR,CO,PE,,1.0188681411835072e-05,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,PE,,1.0188681411835072e-05,1.5060082504399523,HYDRO_[BR]
BR,CO,PE,,1.0188681411835072e-05,1.7218961628919557e-05,PP_CO2_[BR]
BR,CO,PE,,1.0188681411835072e-05,1.3608927633909227e-05,BESS_[BR]
BR,CO,PE,,1.0188681411835072e-05,1.4952518794707346,EL_to_HTH_[BR]
BR,CO,PE,,1.0188681411835072e-05,0.6939431506610517,EL_to_NH3_[BR]
BR,CO,PE,,1.0188681411835072e-05,4.7438134395333655,NH3_Storage_[BR]
BR,CO,PE,,1.0188681411835072e-05,2.3867976113995874e-07,NH3_to_EL_[BR]
BR,CO,PE,,1.0188681411835072e-05,0.23317218360183217,NH3_to_HTH_[BR]
BR,CO,PE,,1.0188681411835072e-05,4.186930947954832e-08,FF_to_HTH_[BR]
BR,CO,PE,,1.0188681411835072e-05,0.0,EL_Demand_[BR]
BR,CO,PE,,1.0188681411835072e-05,0.0,HTH_Demand_[BR]
BR,CO,PE,,1.0188681411835072e-05,1.0207159711756695,RE_PV_Openfield_Lim_[CO]
BR,CO,PE,,1.0188681411835072e-05,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,PE,,1.0188681411835072e-05,0.10460017478304459,HYDRO_[CO]
BR,CO,PE,,1.0188681411835072e-05,9.978652583960686e-07,PP_CO2_[CO]
BR,CO,PE,,1.0188681411835072e-05,0.29584545880750907,BESS_[CO]
BR,CO,PE,,1.0188681411835072e-05,0.1411800393570957,EL_to_HTH_[CO]
BR,CO,PE,,1.0188681411835072e-05,0.21710812932828308,EL_to_NH3_[CO]
BR,CO,PE,,1.0188681411835072e-05,1.0410496070638577,NH3_Storage_[CO]
BR,CO,PE,,1.0188681411835072e-05,1.8781257984660969e-06,NH3_to_EL_[CO]
BR,CO,PE,,1.0188681411835072e-05,0.026442125231283642,NH3_to_HTH_[CO]
BR,CO,PE,,1.0188681411835072e-05,0.0,FF_to_HTH_[CO]
BR,CO,PE,,1.0188681411835072e-05,0.0,EL_Demand_[CO]
BR,CO,PE,,1.0188681411835072e-05,0.0,HTH_Demand_[CO]
BR,CO,PE,,1.0188681411835072e-05,0.150805374973543,RE_PV_Openfield_Lim_[PE]
BR,CO,PE,,1.0188681411835072e-05,0.0,RE_PV_Rooftop_Lim_[PE]
BR,CO,PE,,1.0188681411835072e-05,0.14075361237777623,HYDRO_[PE]
BR,CO,PE,,1.0188681411835072e-05,7.86884106037781e-07,PP_CO2_[PE]
BR,CO,PE,,1.0188681411835072e-05,0.37345411184387606,BESS_[PE]
BR,CO,PE,,1.0188681411835072e-05,0.06334255493409828,EL_to_HTH_[PE]
BR,CO,PE,,1.0188681411835072e-05,0.14974121457984602,EL_to_NH3_[PE]
BR,CO,PE,,1.0188681411835072e-05,0.30706282025984155,NH3_Storage_[PE]
BR,CO,PE,,1.0188681411835072e-05,0.040665428156924956,NH3_to_EL_[PE]
BR,CO,PE,,1.0188681411835072e-05,0.010362402016860804,NH3_to_HTH_[PE]
BR,CO,PE,,1.0188681411835072e-05,0.0,FF_to_HTH_[PE]
BR,CO,PE,,1.0188681411835072e-05,0.0,EL_Demand_[PE]
BR,CO,PE,,1.0188681411835072e-05,0.0,HTH_Demand_[PE]
BR,CO,PE,,1.0188681411835072e-05,17.67800277985018,RE_WIND_Onshore_Lim_[BR]
BR,CO,PE,,1.0188681411835072e-05,2.956774230841619,RE_WIND_Onshore_Lim_[CO]
BR,CO,PE,,1.0188681411835072e-05,2.026090795575928,RE_WIND_Onshore_Lim_[PE]
BR,CO,PE,,1.0188681411835072e-05,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,PE,,1.0188681411835072e-05,0.0,RE_WIND_Offshore_Lim_[CO]
BR,CO,PE,,1.0188681411835072e-05,0.6003179191395952,RE_WIND_Offshore_Lim_[PE]
BR,CO,PE,,30.726214725486706,3.0637216478254325,RE_PV_Openfield_Lim_[BR]
BR,CO,PE,,30.726214725486706,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,PE,,30.726214725486706,2.681899471365558,HYDRO_[BR]
BR,CO,PE,,30.726214725486706,4.0921163693741915e-07,PP_CO2_[BR]
BR,CO,PE,,30.726214725486706,0.36229587288272896,BESS_[BR]
BR,CO,PE,,30.726214725486706,1.4829202049363528,EL_to_HTH_[BR]
BR,CO,PE,,30.726214725486706,0.0007133213203765599,EL_to_NH3_[BR]
BR,CO,PE,,30.726214725486706,0.010589682808138302,NH3_Storage_[BR]
BR,CO,PE,,30.726214725486706,3.6025294729765496e-07,NH3_to_EL_[BR]
BR,CO,PE,,30.726214725486706,0.003692568076437356,NH3_to_HTH_[BR]
BR,CO,PE,,30.726214725486706,3.2300452727772235,FF_to_HTH_[BR]
