Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,20,20,2127
1,RE_PV_Openfield_Lim,20,20,20
2,RE_PV_Rooftop_Lim,20,20,20
3,RE_WIND_Onshore_Lim_0,20,20,20
4,RE_WIND_Onshore_Lim_1,20,20,20
5,RE_WIND_Onshore_Lim_2,20,20,20
6,RE_WIND_Onshore_Lim_3,20,20,20
7,RE_WIND_Onshore_Lim_4,20,20,20
8,RE_WIND_Onshore_Lim_5,20,20,20
9,RE_WIND_Onshore_Lim_6,20,20,20
10,RE_WIND_Onshore_Lim_7,20,20,20
11,RE_WIND_Onshore_Lim_8,20,20,20
12,RE_WIND_Onshore_Lim_9,20,20,20
13,RE_WIND_Offshore_Lim_0,20,20,20
14,RE_WIND_Offshore_Lim_1,20,20,20
15,RE_WIND_Offshore_Lim_2,20,20,20
16,RE_WIND_Offshore_Lim_3,20,20,20
17,RE_WIND_Offshore_Lim_4,20,20,20
18,RE_WIND_Offshore_Lim_5,20,20,20
19,HYDRO,20,20,20
20,PP_CO2,20,20,20
21,BESS,20,20,20
22,EL_to_HTH,20,20,20
23,EL_to_NH3,20,20,20
24,NH3_Storage,20,20,20
25,NH3_to_EL,20,20,20
26,NH3_to_HTH,20,20,20
27,FF_to_HTH,20,20,20
28,EL_Demand,20,20,20
29,HTH_Demand,20,20,20
30,RE_PV_Openfield_Lim,22,22,22
31,RE_PV_Rooftop_Lim,22,22,22
32,RE_WIND_Onshore_Lim_0,22,22,22
33,RE_WIND_Onshore_Lim_1,22,22,22
34,RE_WIND_Onshore_Lim_2,22,22,22
35,RE_WIND_Onshore_Lim_3,22,22,22
36,RE_WIND_Onshore_Lim_4,22,22,22
37,RE_WIND_Onshore_Lim_5,22,22,22
38,RE_WIND_Onshore_Lim_6,22,22,22
39,RE_WIND_Onshore_Lim_7,22,22,22
40,RE_WIND_Onshore_Lim_8,22,22,22
41,RE_WIND_Onshore_Lim_9,22,22,22
42,RE_WIND_Offshore_Lim_0,22,22,22
43,RE_WIND_Offshore_Lim_1,22,22,22
44,RE_WIND_Offshore_Lim_2,22,22,22
45,RE_WIND_Offshore_Lim_3,22,22,22
46,RE_WIND_Offshore_Lim_4,22,22,22
47,RE_WIND_Offshore_Lim_5,22,22,22
48,RE_WIND_Offshore_Lim_6,22,22,22
49,RE_WIND_Offshore_Lim_7,22,22,22
50,RE_WIND_Offshore_Lim_8,22,22,22
51,RE_WIND_Offshore_Lim_9,22,22,22
52,HYDRO,22,22,22
53,PP_CO2,22,22,22
54,BESS,22,22,22
55,EL_to_HTH,22,22,22
56,EL_to_NH3,22,22,22
57,NH3_Storage,22,22,22
58,NH3_to_EL,22,22,22
59,NH3_to_HTH,22,22,22
60,FF_to_HTH,22,22,22
61,EL_Demand,22,22,22
62,HTH_Demand,22,22,22
63,RE_PV_Openfield_Lim,26,26,26
64,RE_PV_Rooftop_Lim,26,26,26
65,RE_WIND_Onshore_Lim_0,26,26,26
66,RE_WIND_Onshore_Lim_1,26,26,26
67,RE_WIND_Onshore_Lim_2,26,26,26
68,RE_WIND_Onshore_Lim_3,26,26,26
69,RE_WIND_Onshore_Lim_4,26,26,26
70,RE_WIND_Onshore_Lim_5,26,26,26
71,RE_WIND_Onshore_Lim_6,26,26,26
72,RE_WIND_Onshore_Lim_7,26,26,26
73,RE_WIND_Onshore_Lim_8,26,26,26
74,RE_WIND_Onshore_Lim_9,26,26,26
75,RE_WIND_Offshore_Lim_0,26,26,26
76,RE_WIND_Offshore_Lim_1,26,26,26
77,RE_WIND_Offshore_Lim_2,26,26,26
78,RE_WIND_Offshore_Lim_3,26,26,26
79,RE_WIND_Offshore_Lim_4,26,26,26
80,RE_WIND_Offshore_Lim_5,26,26,26
81,RE_WIND_Offshore_Lim_6,26,26,26
82,RE_WIND_Offshore_Lim_7,26,26,26
83,RE_WIND_Offshore_Lim_8,26,26,26
84,RE_WIND_Offshore_Lim_9,26,26,26
85,HYDRO,26,26,26
86,PP_CO2,26,26,26
87,BESS,26,26,26
88,EL_to_HTH,26,26,26
89,EL_to_NH3,26,26,26
90,NH3_Storage,26,26,26
91,NH3_to_EL,26,26,26
92,NH3_to_HTH,26,26,26
93,FF_to_HTH,26,26,26
94,EL_Demand,26,26,26
95,HTH_Demand,26,26,26
96,EL_Transport,20,22,0
97,NH3_Transport,20,22,0
98,EL_Transport,20,26,0
99,NH3_Transport,20,26,0
100,EL_Transport,22,26,0
101,NH3_Transport,22,26,0
