country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
BR,PE,US,,9.022875848784857e-06,4.038347953902233,RE_PV_Openfield_Lim_[BR]
BR,PE,US,,9.022875848784857e-06,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,US,,9.022875848784857e-06,11.308402235026172,RE_WIND_Onshore_Lim_0_[BR]
BR,PE,US,,9.022875848784857e-06,0.0,RE_WIND_Onshore_Lim_1_[BR]
BR,PE,US,,9.022875848784857e-06,0.0,RE_WIND_Onshore_Lim_2_[BR]
BR,PE,US,,9.022875848784857e-06,0.0,RE_WIND_Onshore_Lim_3_[BR]
BR,PE,US,,9.022875848784857e-06,0.0,RE_WIND_Onshore_Lim_4_[BR]
BR,PE,US,,9.022875848784857e-06,0.0,RE_WIND_Onshore_Lim_5_[BR]
BR,PE,US,,9.022875848784857e-06,0.0,RE_WIND_Onshore_Lim_6_[BR]
BR,PE,US,,9.022875848784857e-06,0.0,RE_WIND_Onshore_Lim_7_[BR]
BR,PE,US,,9.022875848784857e-06,0.0,RE_WIND_Onshore_Lim_8_[BR]
BR,PE,US,,9.022875848784857e-06,0.0,RE_WIND_Onshore_Lim_9_[BR]
BR,PE,US,,9.022875848784857e-06,0.0,RE_WIND_Offshore_Lim_0_[BR]
BR,PE,US,,9.022875848784857e-06,0.0,RE_WIND_Offshore_Lim_1_[BR]
BR,PE,US,,9.022875848784857e-06,0.0,RE_WIND_Offshore_Lim_2_[BR]
BR,PE,US,,9.022875848784857e-06,0.0,RE_WIND_Offshore_Lim_3_[BR]
BR,PE,US,,9.022875848784857e-06,0.0,RE_WIND_Offshore_Lim_4_[BR]
BR,PE,US,,9.022875848784857e-06,0.0,RE_WIND_Offshore_Lim_5_[BR]
BR,PE,US,,9.022875848784857e-06,2.2376386313366683,HYDRO_[BR]
BR,PE,US,,9.022875848784857e-06,3.266427162609588e-06,PP_CO2_[BR]
BR,PE,US,,9.022875848784857e-06,1.2827877706884993e-05,BESS_[BR]
BR,PE,US,,9.022875848784857e-06,1.5275876690016823,EL_to_HTH_[BR]
BR,PE,US,,9.022875848784857e-06,0.030015378115755494,EL_to_NH3_[BR]
BR,PE,US,,9.022875848784857e-06,1.9921741951392076,NH3_Storage_[BR]
BR,PE,US,,9.022875848784857e-06,4.6026766482981205e-07,NH3_to_EL_[BR]
BR,PE,US,,9.022875848784857e-06,0.1588125937132671,NH3_to_HTH_[BR]
BR,PE,US,,9.022875848784857e-06,2.020209070224736e-06,FF_to_HTH_[BR]
BR,PE,US,,9.022875848784857e-06,0.0,EL_Demand_[BR]
BR,PE,US,,9.022875848784857e-06,0.0,HTH_Demand_[BR]
BR,PE,US,,9.022875848784857e-06,0.08782548362222498,RE_PV_Openfield_Lim_[PE]
