country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
IN,KR,CN,JP,1.3870154189802484e-05,22.600557787710198,RE_PV_Openfield_Lim_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,2.5021465274809457e-09,RE_PV_Rooftop_Lim_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,61.096848007317476,RE_WIND_Onshore_Lim_0_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,2.2955308020643237e-08,RE_WIND_Onshore_Lim_1_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,72.33511892679418,RE_WIND_Onshore_Lim_2_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,8.487779256085473e-08,RE_WIND_Onshore_Lim_3_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,1.644722642504604e-09,RE_WIND_Onshore_Lim_4_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,23.493594911787966,RE_WIND_Onshore_Lim_5_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Onshore_Lim_6_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Onshore_Lim_7_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Onshore_Lim_8_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Onshore_Lim_9_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Offshore_Lim_0_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Offshore_Lim_1_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Offshore_Lim_2_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Offshore_Lim_3_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Offshore_Lim_4_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Offshore_Lim_5_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Offshore_Lim_6_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Offshore_Lim_7_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Offshore_Lim_8_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Offshore_Lim_9_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,1.8064497007198559,HYDRO_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,7.731620513127964e-07,PP_CO2_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,7.995309595601577,BESS_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.14009589960110277,EL_to_HTH_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.6287859374778313,EL_to_NH3_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,2.7753003050417266,NH3_Storage_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,1.6856296468118015,NH3_to_EL_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.02626170611143249,NH3_to_HTH_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,8.726859024402634e-07,FF_to_HTH_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,EL_Demand_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,HTH_Demand_[CN]
IN,KR,CN,JP,1.3870154189802484e-05,12.30204569614207,RE_PV_Openfield_Lim_[IN]
IN,KR,CN,JP,1.3870154189802484e-05,1.852927451946253e-08,RE_PV_Rooftop_Lim_[IN]
IN,KR,CN,JP,1.3870154189802484e-05,67.37657072977953,RE_WIND_Onshore_Lim_0_[IN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Onshore_Lim_1_[IN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Onshore_Lim_2_[IN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Onshore_Lim_3_[IN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Onshore_Lim_4_[IN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Onshore_Lim_5_[IN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Onshore_Lim_6_[IN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Onshore_Lim_7_[IN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Onshore_Lim_8_[IN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Onshore_Lim_9_[IN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Offshore_Lim_0_[IN]
IN,KR,CN,JP,1.3870154189802484e-05,0.0,RE_WIND_Offshore_Lim_1_[IN]
