country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
IN,KR,CN,JP,0.0,22.6,RE_PV_Openfield_Lim_[CN]
IN,KR,CN,JP,0.0,0.0,RE_PV_Rooftop_Lim_[CN]
IN,KR,CN,JP,0.0,61.1,RE_WIND_Onshore_Lim_0_[CN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_1_[CN]
IN,KR,CN,JP,0.0,72.3,RE_WIND_Onshore_Lim_2_[CN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_3_[CN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_4_[CN]
IN,KR,CN,JP,0.0,23.5,RE_WIND_Onshore_Lim_5_[CN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_6_[CN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_7_[CN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_8_[CN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_9_[CN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_0_[CN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_1_[CN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_2_[CN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_3_[CN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_4_[CN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_5_[CN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_6_[CN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_7_[CN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_8_[CN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_9_[CN]
IN,KR,CN,JP,0.0,1.8,HYDRO_[CN]
IN,KR,CN,JP,0.0,0.0,PP_CO2_[CN]
IN,KR,CN,JP,0.0,8.0,BESS_[CN]
IN,KR,CN,JP,0.0,0.1,EL_to_HTH_[CN]
IN,KR,CN,JP,0.0,0.6,EL_to_NH3_[CN]
IN,KR,CN,JP,0.0,2.8,NH3_Storage_[CN]
IN,KR,CN,JP,0.0,1.7,NH3_to_EL_[CN]
IN,KR,CN,JP,0.0,0.0,NH3_to_HTH_[CN]
IN,KR,CN,JP,0.0,0.0,FF_to_HTH_[CN]
IN,KR,CN,JP,0.0,0.0,EL_Demand_[CN]
IN,KR,CN,JP,0.0,0.0,HTH_Demand_[CN]
IN,KR,CN,JP,0.0,12.3,RE_PV_Openfield_Lim_[IN]
IN,KR,CN,JP,0.0,0.0,RE_PV_Rooftop_Lim_[IN]
IN,KR,CN,JP,0.0,67.4,RE_WIND_Onshore_Lim_0_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_1_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_2_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_3_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_4_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_5_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_6_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_7_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_8_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_9_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_0_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_1_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_2_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_3_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_4_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_5_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_6_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_7_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_8_[IN]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_9_[IN]
IN,KR,CN,JP,0.0,0.4,HYDRO_[IN]
IN,KR,CN,JP,0.0,0.0,PP_CO2_[IN]
IN,KR,CN,JP,0.0,17.0,BESS_[IN]
IN,KR,CN,JP,0.0,0.1,EL_to_HTH_[IN]
IN,KR,CN,JP,0.0,3.2,EL_to_NH3_[IN]
IN,KR,CN,JP,0.0,15.2,NH3_Storage_[IN]
IN,KR,CN,JP,0.0,3.7,NH3_to_EL_[IN]
IN,KR,CN,JP,0.0,0.0,NH3_to_HTH_[IN]
IN,KR,CN,JP,0.0,0.0,FF_to_HTH_[IN]
IN,KR,CN,JP,0.0,0.0,EL_Demand_[IN]
IN,KR,CN,JP,0.0,0.0,HTH_Demand_[IN]
IN,KR,CN,JP,0.0,10.1,RE_PV_Openfield_Lim_[JP]
IN,KR,CN,JP,0.0,4.3,RE_PV_Rooftop_Lim_[JP]
IN,KR,CN,JP,0.0,18.1,RE_WIND_Onshore_Lim_0_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_1_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_2_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_3_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_4_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_5_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_6_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_7_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_8_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_9_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_0_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_1_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_2_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_3_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_4_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_5_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_6_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_7_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_8_[JP]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_9_[JP]
IN,KR,CN,JP,0.0,0.6,HYDRO_[JP]
IN,KR,CN,JP,0.0,0.0,PP_CO2_[JP]
IN,KR,CN,JP,0.0,8.1,BESS_[JP]
IN,KR,CN,JP,0.0,0.0,EL_to_HTH_[JP]
IN,KR,CN,JP,0.0,2.2,EL_to_NH3_[JP]
IN,KR,CN,JP,0.0,8.2,NH3_Storage_[JP]
IN,KR,CN,JP,0.0,1.4,NH3_to_EL_[JP]
IN,KR,CN,JP,0.0,0.0,NH3_to_HTH_[JP]
IN,KR,CN,JP,0.0,0.0,FF_to_HTH_[JP]
IN,KR,CN,JP,0.0,0.0,EL_Demand_[JP]
IN,KR,CN,JP,0.0,0.0,HTH_Demand_[JP]
IN,KR,CN,JP,0.0,3.1,RE_PV_Openfield_Lim_[KR]
IN,KR,CN,JP,0.0,1.3,RE_PV_Rooftop_Lim_[KR]
IN,KR,CN,JP,0.0,8.4,RE_WIND_Onshore_Lim_0_[KR]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_1_[KR]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_2_[KR]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_3_[KR]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_4_[KR]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_5_[KR]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_6_[KR]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_7_[KR]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_8_[KR]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Onshore_Lim_9_[KR]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_0_[KR]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_1_[KR]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_2_[KR]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_3_[KR]
IN,KR,CN,JP,0.0,0.0,RE_WIND_Offshore_Lim_4_[KR]
