country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
CN,IN,JP,,0.0,19.0,1122.4,RE_PV_Openfield_Lim_[CN]
CN,IN,JP,,0.0,1.7,101.2,RE_PV_Rooftop_Lim_[CN]
CN,IN,JP,,0.0,72.5,1950.4,RE_WIND_Onshore_Lim_0_[CN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[CN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[CN]
CN,IN,JP,,0.0,40.7,996.0,RE_WIND_Onshore_Lim_3_[CN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[CN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[CN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[CN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[CN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[CN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[CN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[CN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[CN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[CN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[CN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[CN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[CN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[CN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[CN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[CN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[CN]
CN,IN,JP,,0.0,5.2,323.9,HYDRO_[CN]
CN,IN,JP,,0.0,0.0,0.0,PP_CO2_[CN]
CN,IN,JP,,0.0,6.2,343.6,BESS_[CN]
CN,IN,JP,,0.0,0.1,12.5,EL_to_HTH_[CN]
CN,IN,JP,,0.0,0.8,14.2,EL_to_NH3_[CN]
CN,IN,JP,,0.0,2.3,136.4,NH3_Storage_[CN]
CN,IN,JP,,0.0,1.6,19.7,NH3_to_EL_[CN]
CN,IN,JP,,0.0,0.0,2.4,NH3_to_HTH_[CN]
CN,IN,JP,,0.0,0.0,0.0,FF_to_HTH_[CN]
CN,IN,JP,,0.0,0.0,1594.8,EL_Demand_[CN]
CN,IN,JP,,0.0,0.0,12.6,HTH_Demand_[CN]
CN,IN,JP,,0.0,3.7,330.6,RE_PV_Openfield_Lim_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[IN]
CN,IN,JP,,0.0,34.6,933.0,RE_WIND_Onshore_Lim_0_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[IN]
CN,IN,JP,,0.0,1.0,43.4,HYDRO_[IN]
CN,IN,JP,,0.0,0.0,0.0,PP_CO2_[IN]
CN,IN,JP,,0.0,4.0,222.8,BESS_[IN]
CN,IN,JP,,0.0,0.1,6.3,EL_to_HTH_[IN]
CN,IN,JP,,0.0,0.2,3.1,EL_to_NH3_[IN]
CN,IN,JP,,0.0,3.4,206.1,NH3_Storage_[IN]
CN,IN,JP,,0.0,1.4,18.1,NH3_to_EL_[IN]
CN,IN,JP,,0.0,0.0,1.2,NH3_to_HTH_[IN]
CN,IN,JP,,0.0,0.0,0.0,FF_to_HTH_[IN]
CN,IN,JP,,0.0,0.0,497.9,EL_Demand_[IN]
CN,IN,JP,,0.0,0.0,6.4,HTH_Demand_[IN]
CN,IN,JP,,0.0,0.0,0.0,RE_PV_Openfield_Lim_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[JP]
CN,IN,JP,,0.0,18.1,328.4,RE_WIND_Onshore_Lim_0_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[JP]
CN,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[JP]
CN,IN,JP,,0.0,0.8,34.7,HYDRO_[JP]
CN,IN,JP,,0.0,0.0,0.0,PP_CO2_[JP]
CN,IN,JP,,0.0,2.0,113.4,BESS_[JP]
CN,IN,JP,,0.0,0.0,2.6,EL_to_HTH_[JP]
CN,IN,JP,,0.0,0.8,14.8,EL_to_NH3_[JP]
CN,IN,JP,,0.0,1.7,102.9,NH3_Storage_[JP]
CN,IN,JP,,0.0,0.9,11.9,NH3_to_EL_[JP]
CN,IN,JP,,0.0,0.0,0.5,NH3_to_HTH_[JP]
CN,IN,JP,,0.0,0.0,0.0,FF_to_HTH_[JP]
CN,IN,JP,,0.0,0.0,251.1,EL_Demand_[JP]
CN,IN,JP,,0.0,0.0,2.7,HTH_Demand_[JP]
CN,IN,JP,,0.0,36.9,233.1,EL_Transport_[CN-IN]
CN,IN,JP,,0.0,0.0,137.8,NH3_Transport_[CN-IN]
CN,IN,JP,,0.0,7.3,92.9,EL_Transport_[CN-JP]
CN,IN,JP,,0.0,0.0,84.0,NH3_Transport_[CN-JP]
CN,IN,JP,,0.0,0.1,0.4,EL_Transport_[IN-JP]
CN,IN,JP,,0.0,0.0,99.0,NH3_Transport_[IN-JP]
CN,IN,JP,,174.0,12.8,755.7,RE_PV_Openfield_Lim_[CN]
CN,IN,JP,,174.0,0.0,0.0,RE_PV_Rooftop_Lim_[CN]
CN,IN,JP,,174.0,80.6,2167.9,RE_WIND_Onshore_Lim_0_[CN]
CN,IN,JP,,174.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[CN]
CN,IN,JP,,174.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[CN]
CN,IN,JP,,174.0,24.9,608.0,RE_WIND_Onshore_Lim_3_[CN]
CN,IN,JP,,174.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[CN]
CN,IN,JP,,174.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[CN]
CN,IN,JP,,174.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[CN]
CN,IN,JP,,174.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[CN]
CN,IN,JP,,174.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[CN]
CN,IN,JP,,174.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[CN]
CN,IN,JP,,174.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[CN]
