country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,CN,JP,,4.450328626528047e-06,27.13537795015774,RE_PV_Openfield_Lim_[CN]
KR,CN,JP,,4.450328626528047e-06,0.0,RE_PV_Rooftop_Lim_[CN]
KR,CN,JP,,4.450328626528047e-06,2.384292774826602,HYDRO_[CN]
KR,CN,JP,,4.450328626528047e-06,3.6129029732510717e-07,PP_CO2_[CN]
KR,CN,JP,,4.450328626528047e-06,5.27575280659914,BESS_[CN]
KR,CN,JP,,4.450328626528047e-06,0.1400950509138186,EL_to_HTH_[CN]
KR,CN,JP,,4.450328626528047e-06,2.759401177721643,EL_to_NH3_[CN]
KR,CN,JP,,4.450328626528047e-06,5.835929462232171,NH3_Storage_[CN]
KR,CN,JP,,4.450328626528047e-06,3.0194793944833043,NH3_to_EL_[CN]
KR,CN,JP,,4.450328626528047e-06,0.02799501690010482,NH3_to_HTH_[CN]
KR,CN,JP,,4.450328626528047e-06,4.1612620627704887e-07,FF_to_HTH_[CN]
KR,CN,JP,,4.450328626528047e-06,0.0,EL_Demand_[CN]
KR,CN,JP,,4.450328626528047e-06,0.0,HTH_Demand_[CN]
KR,CN,JP,,4.450328626528047e-06,0.0,RE_PV_Openfield_Lim_[JP]
KR,CN,JP,,4.450328626528047e-06,0.0,RE_PV_Rooftop_Lim_[JP]
KR,CN,JP,,4.450328626528047e-06,0.5440666037009806,HYDRO_[JP]
KR,CN,JP,,4.450328626528047e-06,2.817032123976941e-07,PP_CO2_[JP]
KR,CN,JP,,4.450328626528047e-06,1.4150234976902893,BESS_[JP]
KR,CN,JP,,4.450328626528047e-06,0.02925372931170927,EL_to_HTH_[JP]
KR,CN,JP,,4.450328626528047e-06,0.3172834970502063,EL_to_NH3_[JP]
KR,CN,JP,,4.450328626528047e-06,2.6195385591370046,NH3_Storage_[JP]
KR,CN,JP,,4.450328626528047e-06,0.776877647914011,NH3_to_EL_[JP]
KR,CN,JP,,4.450328626528047e-06,0.0067121658614013495,NH3_to_HTH_[JP]
KR,CN,JP,,4.450328626528047e-06,2.0555989355877057e-07,FF_to_HTH_[JP]
KR,CN,JP,,4.450328626528047e-06,0.0,EL_Demand_[JP]
KR,CN,JP,,4.450328626528047e-06,0.0,HTH_Demand_[JP]
KR,CN,JP,,4.450328626528047e-06,0.022204799263204726,RE_PV_Openfield_Lim_[KR]
KR,CN,JP,,4.450328626528047e-06,0.0,RE_PV_Rooftop_Lim_[KR]
KR,CN,JP,,4.450328626528047e-06,0.08106563943818425,HYDRO_[KR]
KR,CN,JP,,4.450328626528047e-06,3.585660409425273e-07,PP_CO2_[KR]
KR,CN,JP,,4.450328626528047e-06,0.744450887471033,BESS_[KR]
KR,CN,JP,,4.450328626528047e-06,0.26334979327989705,EL_to_HTH_[KR]
KR,CN,JP,,4.450328626528047e-06,0.3192883073724095,EL_to_NH3_[KR]
KR,CN,JP,,4.450328626528047e-06,4.229471652956638,NH3_Storage_[KR]
KR,CN,JP,,4.450328626528047e-06,1.0883760766052606,NH3_to_EL_[KR]
KR,CN,JP,,4.450328626528047e-06,0.051463704372499516,NH3_to_HTH_[KR]
KR,CN,JP,,4.450328626528047e-06,3.559178813129689e-07,FF_to_HTH_[KR]
KR,CN,JP,,4.450328626528047e-06,0.0,EL_Demand_[KR]
KR,CN,JP,,4.450328626528047e-06,0.0,HTH_Demand_[KR]
KR,CN,JP,,4.450328626528047e-06,5.693694928693441,EL_Transport_[CN-JP]
KR,CN,JP,,4.450328626528047e-06,0.021978183586081276,NH3_Transport_[CN-JP]
KR,CN,JP,,4.450328626528047e-06,3.2065379429070497,EL_Transport_[CN-KR]
KR,CN,JP,,4.450328626528047e-06,0.03656617610941761,NH3_Transport_[CN-KR]
KR,CN,JP,,4.450328626528047e-06,0.8386558753973593,EL_Transport_[JP-KR]
KR,CN,JP,,4.450328626528047e-06,0.006770467850108894,NH3_Transport_[JP-KR]
KR,CN,JP,,4.450328626528047e-06,134.67365552936528,RE_WIND_Onshore_Lim_[CN]
KR,CN,JP,,4.450328626528047e-06,18.09615639683402,RE_WIND_Onshore_Lim_[JP]
KR,CN,JP,,4.450328626528047e-06,8.42503521803612,RE_WIND_Onshore_Lim_[KR]
KR,CN,JP,,4.450328626528047e-06,0.0,RE_WIND_Offshore_Lim_[CN]
KR,CN,JP,,4.450328626528047e-06,0.0,RE_WIND_Offshore_Lim_[JP]
KR,CN,JP,,4.450328626528047e-06,0.0,RE_WIND_Offshore_Lim_[KR]
KR,CN,JP,,7933.333333323116,0.8511972549921235,RE_PV_Openfield_Lim_[CN]
KR,CN,JP,,7933.333333323116,0.0,RE_PV_Rooftop_Lim_[CN]
KR,CN,JP,,7933.333333323116,7.547307862485069,HYDRO_[CN]
KR,CN,JP,,7933.333333323116,64.68120941809154,PP_CO2_[CN]
KR,CN,JP,,7933.333333323116,6.338867451510127e-07,BESS_[CN]
KR,CN,JP,,7933.333333323116,0.14008702965640493,EL_to_HTH_[CN]
KR,CN,JP,,7933.333333323116,0.002363858690798213,EL_to_NH3_[CN]
KR,CN,JP,,7933.333333323116,0.03756973894994653,NH3_Storage_[CN]
KR,CN,JP,,7933.333333323116,3.57646304045507e-08,NH3_to_EL_[CN]
KR,CN,JP,,7933.333333323116,0.019633004746376533,NH3_to_HTH_[CN]
KR,CN,JP,,7933.333333323116,2.1564993958891077e-05,FF_to_HTH_[CN]
KR,CN,JP,,7933.333333323116,0.0,EL_Demand_[CN]
KR,CN,JP,,7933.333333323116,0.0,HTH_Demand_[CN]
KR,CN,JP,,7933.333333323116,0.0,RE_PV_Openfield_Lim_[JP]
KR,CN,JP,,7933.333333323116,0.0,RE_PV_Rooftop_Lim_[JP]
KR,CN,JP,,7933.333333323116,0.7563297356689083,HYDRO_[JP]
KR,CN,JP,,7933.333333323116,17.336906716018675,PP_CO2_[JP]
KR,CN,JP,,7933.333333323116,0.041115202789433015,BESS_[JP]
KR,CN,JP,,7933.333333323116,0.028915959732214853,EL_to_HTH_[JP]
KR,CN,JP,,7933.333333323116,2.9572466819465764e-07,EL_to_NH3_[JP]
KR,CN,JP,,7933.333333323116,0.0001287490119396532,NH3_Storage_[JP]
KR,CN,JP,,7933.333333323116,1.2021445078068217e-07,NH3_to_EL_[JP]
KR,CN,JP,,7933.333333323116,5.038561622456253e-05,NH3_to_HTH_[JP]
KR,CN,JP,,7933.333333323116,0.02947786173299633,FF_to_HTH_[JP]
KR,CN,JP,,7933.333333323116,0.0,EL_Demand_[JP]
KR,CN,JP,,7933.333333323116,0.0,HTH_Demand_[JP]
KR,CN,JP,,7933.333333323116,0.8314161633521473,RE_PV_Openfield_Lim_[KR]
KR,CN,JP,,7933.333333323116,0.0,RE_PV_Rooftop_Lim_[KR]
KR,CN,JP,,7933.333333323116,0.131464163187934,HYDRO_[KR]
KR,CN,JP,,7933.333333323116,2.8259355257951444e-07,PP_CO2_[KR]
KR,CN,JP,,7933.333333323116,0.23740813714045514,BESS_[KR]
KR,CN,JP,,7933.333333323116,0.2623259593642183,EL_to_HTH_[KR]
KR,CN,JP,,7933.333333323116,1.0821904951324695e-07,EL_to_NH3_[KR]
KR,CN,JP,,7933.333333323116,0.00019612908768880028,NH3_Storage_[KR]
KR,CN,JP,,7933.333333323116,5.4990760426412164e-08,NH3_to_EL_[KR]
KR,CN,JP,,7933.333333323116,5.140343605389379e-05,NH3_to_HTH_[KR]
