country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SA,CN,,,0.0,22.6,RE_PV_Openfield_Lim_[CN]
SA,CN,,,0.0,0.0,RE_PV_Rooftop_Lim_[CN]
SA,CN,,,0.0,61.1,RE_WIND_Onshore_Lim_0_[CN]
SA,CN,,,0.0,0.0,RE_WIND_Onshore_Lim_1_[CN]
SA,CN,,,0.0,72.3,RE_WIND_Onshore_Lim_2_[CN]
SA,CN,,,0.0,0.0,RE_WIND_Onshore_Lim_3_[CN]
SA,CN,,,0.0,0.0,RE_WIND_Onshore_Lim_4_[CN]
SA,CN,,,0.0,23.5,RE_WIND_Onshore_Lim_5_[CN]
SA,CN,,,0.0,0.0,RE_WIND_Onshore_Lim_6_[CN]
SA,CN,,,0.0,0.0,RE_WIND_Onshore_Lim_7_[CN]
SA,CN,,,0.0,0.0,RE_WIND_Onshore_Lim_8_[CN]
SA,CN,,,0.0,0.0,RE_WIND_Onshore_Lim_9_[CN]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_0_[CN]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_1_[CN]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_2_[CN]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_3_[CN]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_4_[CN]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_5_[CN]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_6_[CN]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_7_[CN]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_8_[CN]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_9_[CN]
SA,CN,,,0.0,1.8,HYDRO_[CN]
SA,CN,,,0.0,0.0,PP_CO2_[CN]
SA,CN,,,0.0,8.0,BESS_[CN]
SA,CN,,,0.0,0.1,EL_to_HTH_[CN]
SA,CN,,,0.0,0.6,EL_to_NH3_[CN]
SA,CN,,,0.0,2.8,NH3_Storage_[CN]
SA,CN,,,0.0,1.7,NH3_to_EL_[CN]
SA,CN,,,0.0,0.0,NH3_to_HTH_[CN]
SA,CN,,,0.0,0.0,FF_to_HTH_[CN]
SA,CN,,,0.0,0.0,EL_Demand_[CN]
SA,CN,,,0.0,0.0,HTH_Demand_[CN]
SA,CN,,,0.0,1.2,RE_PV_Openfield_Lim_[SA]
SA,CN,,,0.0,0.5,RE_PV_Rooftop_Lim_[SA]
SA,CN,,,0.0,11.1,RE_WIND_Onshore_Lim_0_[SA]
SA,CN,,,0.0,0.0,RE_WIND_Onshore_Lim_1_[SA]
SA,CN,,,0.0,0.0,RE_WIND_Onshore_Lim_2_[SA]
SA,CN,,,0.0,0.0,RE_WIND_Onshore_Lim_3_[SA]
SA,CN,,,0.0,0.0,RE_WIND_Onshore_Lim_4_[SA]
SA,CN,,,0.0,1.4,RE_WIND_Onshore_Lim_5_[SA]
SA,CN,,,0.0,0.6,RE_WIND_Onshore_Lim_6_[SA]
SA,CN,,,0.0,0.0,RE_WIND_Onshore_Lim_7_[SA]
SA,CN,,,0.0,0.0,RE_WIND_Onshore_Lim_8_[SA]
SA,CN,,,0.0,0.0,RE_WIND_Onshore_Lim_9_[SA]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_0_[SA]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_1_[SA]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_2_[SA]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_3_[SA]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_4_[SA]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_5_[SA]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_6_[SA]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_7_[SA]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_8_[SA]
SA,CN,,,0.0,0.0,RE_WIND_Offshore_Lim_9_[SA]
SA,CN,,,0.0,0.0,HYDRO_[SA]
SA,CN,,,0.0,0.0,PP_CO2_[SA]
SA,CN,,,0.0,1.3,BESS_[SA]
SA,CN,,,0.0,0.0,EL_to_HTH_[SA]
SA,CN,,,0.0,0.4,EL_to_NH3_[SA]
SA,CN,,,0.0,0.7,NH3_Storage_[SA]
SA,CN,,,0.0,0.4,NH3_to_EL_[SA]
SA,CN,,,0.0,0.0,NH3_to_HTH_[SA]
