country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
SA,CN,,,0.0,24.7,1460.3,RE_PV_Openfield_Lim_[CN]
SA,CN,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[CN]
SA,CN,,,0.0,112.5,3027.4,RE_WIND_Onshore_Lim_0_[CN]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[CN]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[CN]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[CN]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[CN]
SA,CN,,,0.0,25.9,595.5,RE_WIND_Onshore_Lim_5_[CN]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[CN]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[CN]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[CN]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[CN]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[CN]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[CN]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[CN]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[CN]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[CN]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[CN]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[CN]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[CN]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[CN]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[CN]
SA,CN,,,0.0,1.9,323.9,HYDRO_[CN]
SA,CN,,,0.0,0.0,0.0,PP_CO2_[CN]
SA,CN,,,0.0,8.9,494.7,BESS_[CN]
SA,CN,,,0.0,0.1,12.4,EL_to_HTH_[CN]
SA,CN,,,0.0,0.3,4.4,EL_to_NH3_[CN]
SA,CN,,,0.0,5.3,316.7,NH3_Storage_[CN]
SA,CN,,,0.0,3.5,44.6,NH3_to_EL_[CN]
SA,CN,,,0.0,0.0,2.4,NH3_to_HTH_[CN]
SA,CN,,,0.0,0.0,0.0,FF_to_HTH_[CN]
SA,CN,,,0.0,0.0,1594.8,EL_Demand_[CN]
SA,CN,,,0.0,0.0,12.6,HTH_Demand_[CN]
SA,CN,,,0.0,1.2,109.4,RE_PV_Openfield_Lim_[SA]
SA,CN,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[SA]
SA,CN,,,0.0,8.4,177.8,RE_WIND_Onshore_Lim_0_[SA]
SA,CN,,,0.0,0.0,0.4,RE_WIND_Onshore_Lim_1_[SA]
SA,CN,,,0.0,0.7,15.0,RE_WIND_Onshore_Lim_2_[SA]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[SA]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[SA]
SA,CN,,,0.0,0.7,14.3,RE_WIND_Onshore_Lim_5_[SA]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[SA]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[SA]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[SA]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[SA]
SA,CN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[SA]
