country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
CO,PE,,,4.4307787905478615e-07,0.658100536203458,RE_PV_Openfield_Lim_[CO]
CO,PE,,,4.4307787905478615e-07,0.0,RE_PV_Rooftop_Lim_[CO]
CO,PE,,,4.4307787905478615e-07,0.2035170460567833,HYDRO_[CO]
CO,PE,,,4.4307787905478615e-07,1.189286154824288e-07,PP_CO2_[CO]
CO,PE,,,4.4307787905478615e-07,0.10296461563279387,BESS_[CO]
CO,PE,,,4.4307787905478615e-07,0.14236622662617632,EL_to_HTH_[CO]
CO,PE,,,4.4307787905478615e-07,0.2262374301156549,EL_to_NH3_[CO]
CO,PE,,,4.4307787905478615e-07,0.696090798501484,NH3_Storage_[CO]
CO,PE,,,4.4307787905478615e-07,0.030551170319754125,NH3_to_EL_[CO]
CO,PE,,,4.4307787905478615e-07,0.02411502756310842,NH3_to_HTH_[CO]
CO,PE,,,4.4307787905478615e-07,8.674389436951281e-08,FF_to_HTH_[CO]
CO,PE,,,4.4307787905478615e-07,0.0,EL_Demand_[CO]
CO,PE,,,4.4307787905478615e-07,0.0,HTH_Demand_[CO]
CO,PE,,,4.4307787905478615e-07,3.235558156408108e-08,RE_PV_Openfield_Lim_[PE]
CO,PE,,,4.4307787905478615e-07,0.0,RE_PV_Rooftop_Lim_[PE]
CO,PE,,,4.4307787905478615e-07,0.14375570032969437,HYDRO_[PE]
CO,PE,,,4.4307787905478615e-07,7.539762954299239e-08,PP_CO2_[PE]
CO,PE,,,4.4307787905478615e-07,0.08618179059489026,BESS_[PE]
CO,PE,,,4.4307787905478615e-07,0.06281886171969348,EL_to_HTH_[PE]
CO,PE,,,4.4307787905478615e-07,0.05145370335560344,EL_to_NH3_[PE]
CO,PE,,,4.4307787905478615e-07,0.3930864074296819,NH3_Storage_[PE]
CO,PE,,,4.4307787905478615e-07,0.05477253411788665,NH3_to_EL_[PE]
CO,PE,,,4.4307787905478615e-07,0.012492489337224088,NH3_to_HTH_[PE]
