country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
FR,DE,MA,,23.5,2.1,79.2,RE_PV_Openfield_Lim_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_PV_Rooftop_Lim_[DE]
FR,DE,MA,,23.5,8.1,126.7,RE_WIND_Onshore_Lim_0_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_1_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_2_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_3_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_4_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_5_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_6_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_7_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_8_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_9_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_0_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_1_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_2_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_3_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_4_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_5_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_6_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_7_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_8_[DE]
FR,DE,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_9_[DE]
FR,DE,MA,,23.5,0.3,6.5,HYDRO_[DE]
FR,DE,MA,,23.5,0.1,1.4,PP_CO2_[DE]
FR,DE,MA,,23.5,1.1,61.0,BESS_[DE]
FR,DE,MA,,23.5,0.0,2.6,EL_to_HTH_[DE]
FR,DE,MA,,23.5,0.0,0.7,EL_to_NH3_[DE]
FR,DE,MA,,23.5,0.2,11.7,NH3_Storage_[DE]
FR,DE,MA,,23.5,0.2,2.9,NH3_to_EL_[DE]
