country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
EG,NG,MA,,1.1388914813653817e-05,1.6718559512578461,RE_PV_Openfield_Lim_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_PV_Rooftop_Lim_[EG]
EG,NG,MA,,1.1388914813653817e-05,10.214874679101257,RE_WIND_Onshore_Lim_0_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Onshore_Lim_1_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Onshore_Lim_2_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Onshore_Lim_3_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Onshore_Lim_4_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Onshore_Lim_5_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Onshore_Lim_6_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Onshore_Lim_7_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Onshore_Lim_8_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Onshore_Lim_9_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Offshore_Lim_0_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Offshore_Lim_1_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Offshore_Lim_2_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Offshore_Lim_3_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Offshore_Lim_4_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Offshore_Lim_5_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Offshore_Lim_6_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Offshore_Lim_7_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Offshore_Lim_8_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,RE_WIND_Offshore_Lim_9_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.04259860121675181,HYDRO_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0,PP_CO2_[EG]
EG,NG,MA,,1.1388914813653817e-05,8.14806265510291e-06,BESS_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.4515648149014602,EL_to_HTH_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.4454890121674945,EL_to_NH3_[EG]
EG,NG,MA,,1.1388914813653817e-05,1.2618689403602452,NH3_Storage_[EG]
EG,NG,MA,,1.1388914813653817e-05,3.459653822402444e-07,NH3_to_EL_[EG]
EG,NG,MA,,1.1388914813653817e-05,0.0820070546021547,NH3_to_HTH_[EG]
