country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
EG,TR,,,0.0,1.7,72.0,RE_PV_Openfield_Lim_[EG]
EG,TR,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[EG]
EG,TR,,,0.0,5.4,95.3,RE_WIND_Onshore_Lim_0_[EG]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[EG]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[EG]
EG,TR,,,0.0,4.2,72.9,RE_WIND_Onshore_Lim_3_[EG]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[EG]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[EG]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[EG]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[EG]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[EG]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[EG]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[EG]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[EG]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[EG]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[EG]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[EG]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[EG]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[EG]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[EG]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[EG]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[EG]
EG,TR,,,0.0,0.0,2.8,HYDRO_[EG]
EG,TR,,,0.0,0.0,0.0,PP_CO2_[EG]
EG,TR,,,0.0,0.1,5.8,BESS_[EG]
EG,TR,,,0.0,0.5,40.4,EL_to_HTH_[EG]
EG,TR,,,0.0,0.6,10.5,EL_to_NH3_[EG]
EG,TR,,,0.0,2.0,122.4,NH3_Storage_[EG]
EG,TR,,,0.0,0.3,3.8,NH3_to_EL_[EG]
EG,TR,,,0.0,0.1,7.7,NH3_to_HTH_[EG]
EG,TR,,,0.0,0.0,0.0,FF_to_HTH_[EG]
EG,TR,,,0.0,0.0,76.9,EL_Demand_[EG]
EG,TR,,,0.0,0.0,41.1,HTH_Demand_[EG]
EG,TR,,,0.0,1.5,95.8,RE_PV_Openfield_Lim_[TR]
EG,TR,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[TR]
EG,TR,,,0.0,7.9,131.2,RE_WIND_Onshore_Lim_0_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[TR]
EG,TR,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[TR]
EG,TR,,,0.0,0.6,22.8,HYDRO_[TR]
EG,TR,,,0.0,0.0,0.0,PP_CO2_[TR]
EG,TR,,,0.0,0.8,43.2,BESS_[TR]
EG,TR,,,0.0,0.0,2.6,EL_to_HTH_[TR]
EG,TR,,,0.0,0.0,0.7,EL_to_NH3_[TR]
EG,TR,,,0.0,0.5,29.9,NH3_Storage_[TR]
EG,TR,,,0.0,0.3,3.2,NH3_to_EL_[TR]
EG,TR,,,0.0,0.0,0.5,NH3_to_HTH_[TR]
EG,TR,,,0.0,0.0,0.0,FF_to_HTH_[TR]
EG,TR,,,0.0,0.0,102.6,EL_Demand_[TR]
EG,TR,,,0.0,0.0,2.7,HTH_Demand_[TR]
EG,TR,,,0.0,0.9,19.9,EL_Transport_[EG-TR]
EG,TR,,,0.0,0.0,31.1,NH3_Transport_[EG-TR]
EG,TR,,,299.3,0.9,36.0,RE_PV_Openfield_Lim_[EG]
EG,TR,,,299.3,0.0,0.0,RE_PV_Rooftop_Lim_[EG]
EG,TR,,,299.3,6.0,105.4,RE_WIND_Onshore_Lim_0_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Onshore_Lim_1_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Onshore_Lim_2_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Onshore_Lim_3_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Onshore_Lim_4_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Onshore_Lim_5_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Onshore_Lim_6_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Onshore_Lim_7_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Onshore_Lim_8_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Onshore_Lim_9_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Offshore_Lim_0_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Offshore_Lim_1_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Offshore_Lim_2_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Offshore_Lim_3_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Offshore_Lim_4_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Offshore_Lim_5_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Offshore_Lim_6_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Offshore_Lim_7_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Offshore_Lim_8_[EG]
EG,TR,,,299.3,0.0,0.0,RE_WIND_Offshore_Lim_9_[EG]
EG,TR,,,299.3,0.1,2.8,HYDRO_[EG]
