country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
ZA,EG,,,0.0,2.6,RE_PV_Openfield_Lim_[EG]
ZA,EG,,,0.0,0.0,RE_PV_Rooftop_Lim_[EG]
ZA,EG,,,0.0,6.9,RE_WIND_Onshore_Lim_0_[EG]
ZA,EG,,,0.0,0.0,RE_WIND_Onshore_Lim_1_[EG]
ZA,EG,,,0.0,0.0,RE_WIND_Onshore_Lim_2_[EG]
ZA,EG,,,0.0,1.9,RE_WIND_Onshore_Lim_3_[EG]
ZA,EG,,,0.0,0.0,RE_WIND_Onshore_Lim_4_[EG]
ZA,EG,,,0.0,0.0,RE_WIND_Onshore_Lim_5_[EG]
ZA,EG,,,0.0,0.0,RE_WIND_Onshore_Lim_6_[EG]
ZA,EG,,,0.0,0.0,RE_WIND_Onshore_Lim_7_[EG]
ZA,EG,,,0.0,0.0,RE_WIND_Onshore_Lim_8_[EG]
ZA,EG,,,0.0,0.0,RE_WIND_Onshore_Lim_9_[EG]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_0_[EG]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_1_[EG]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_2_[EG]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_3_[EG]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_4_[EG]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_5_[EG]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_6_[EG]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_7_[EG]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_8_[EG]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_9_[EG]
ZA,EG,,,0.0,0.0,HYDRO_[EG]
ZA,EG,,,0.0,0.0,PP_CO2_[EG]
ZA,EG,,,0.0,0.7,BESS_[EG]
ZA,EG,,,0.0,0.5,EL_to_HTH_[EG]
ZA,EG,,,0.0,0.6,EL_to_NH3_[EG]
ZA,EG,,,0.0,2.1,NH3_Storage_[EG]
ZA,EG,,,0.0,0.4,NH3_to_EL_[EG]
ZA,EG,,,0.0,0.1,NH3_to_HTH_[EG]
ZA,EG,,,0.0,0.0,FF_to_HTH_[EG]
ZA,EG,,,0.0,0.0,EL_Demand_[EG]
ZA,EG,,,0.0,0.0,HTH_Demand_[EG]
ZA,EG,,,0.0,2.6,RE_PV_Openfield_Lim_[ZA]
ZA,EG,,,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,EG,,,0.0,8.8,RE_WIND_Onshore_Lim_0_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Onshore_Lim_1_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Onshore_Lim_2_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Onshore_Lim_3_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Onshore_Lim_4_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Onshore_Lim_5_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Onshore_Lim_6_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Onshore_Lim_7_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Onshore_Lim_8_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Onshore_Lim_9_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_0_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_1_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_2_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_3_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_4_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_5_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_6_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_7_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_8_[ZA]
ZA,EG,,,0.0,0.0,RE_WIND_Offshore_Lim_9_[ZA]
ZA,EG,,,0.0,0.0,HYDRO_[ZA]
ZA,EG,,,0.0,0.0,PP_CO2_[ZA]
ZA,EG,,,0.0,1.6,BESS_[ZA]
ZA,EG,,,0.0,0.3,EL_to_HTH_[ZA]
ZA,EG,,,0.0,0.8,EL_to_NH3_[ZA]
ZA,EG,,,0.0,2.3,NH3_Storage_[ZA]
