country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
FR,TR,MA,,23.5,0.0,0.0,RE_PV_Openfield_Lim_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_PV_Rooftop_Lim_[FR]
FR,TR,MA,,23.5,5.5,86.3,RE_WIND_Onshore_Lim_0_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_1_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_2_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_3_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_4_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_5_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_6_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_7_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_8_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_9_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_0_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_1_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_2_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_3_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_4_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_5_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_6_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_7_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_8_[FR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_9_[FR]
FR,TR,MA,,23.5,0.7,17.6,HYDRO_[FR]
FR,TR,MA,,23.5,2.5,39.4,PP_CO2_[FR]
FR,TR,MA,,23.5,0.0,0.0,BESS_[FR]
FR,TR,MA,,23.5,0.0,2.6,EL_to_HTH_[FR]
FR,TR,MA,,23.5,0.0,0.0,EL_to_NH3_[FR]
FR,TR,MA,,23.5,0.0,0.0,NH3_Storage_[FR]
FR,TR,MA,,23.5,0.0,0.0,NH3_to_EL_[FR]
FR,TR,MA,,23.5,0.0,0.0,NH3_to_HTH_[FR]
FR,TR,MA,,23.5,0.0,1.3,FF_to_HTH_[FR]
FR,TR,MA,,23.5,0.0,124.3,EL_Demand_[FR]
FR,TR,MA,,23.5,0.0,2.7,HTH_Demand_[FR]
FR,TR,MA,,23.5,0.4,18.0,RE_PV_Openfield_Lim_[MA]
FR,TR,MA,,23.5,0.0,0.0,RE_PV_Rooftop_Lim_[MA]
FR,TR,MA,,23.5,1.6,30.7,RE_WIND_Onshore_Lim_[MA]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_[MA]
FR,TR,MA,,23.5,0.0,0.0,PP_CO2_[MA]
FR,TR,MA,,23.5,0.0,2.1,BESS_[MA]
FR,TR,MA,,23.5,0.1,7.7,EL_to_HTH_[MA]
FR,TR,MA,,23.5,0.0,0.2,EL_to_NH3_[MA]
FR,TR,MA,,23.5,0.0,0.9,NH3_Storage_[MA]
FR,TR,MA,,23.5,0.0,0.2,NH3_to_EL_[MA]
FR,TR,MA,,23.5,0.0,0.4,NH3_to_HTH_[MA]
FR,TR,MA,,23.5,0.1,5.2,FF_to_HTH_[MA]
FR,TR,MA,,23.5,0.0,18.0,EL_Demand_[MA]
FR,TR,MA,,23.5,0.0,7.8,HTH_Demand_[MA]
FR,TR,MA,,23.5,1.2,72.4,RE_PV_Openfield_Lim_[TR]
FR,TR,MA,,23.5,0.0,0.0,RE_PV_Rooftop_Lim_[TR]
FR,TR,MA,,23.5,6.4,106.3,RE_WIND_Onshore_Lim_0_[TR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_1_[TR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_2_[TR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_3_[TR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_4_[TR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_5_[TR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_6_[TR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_7_[TR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_8_[TR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_9_[TR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_0_[TR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_1_[TR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_2_[TR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_3_[TR]
FR,TR,MA,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_4_[TR]
