Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,24,24,1544
1,RE_PV_Openfield_Lim,24,24,24
2,RE_PV_Rooftop_Lim,24,24,24
3,RE_WIND_Onshore_Lim_0,24,24,24
4,RE_WIND_Onshore_Lim_1,24,24,24
5,RE_WIND_Onshore_Lim_2,24,24,24
6,RE_WIND_Onshore_Lim_3,24,24,24
7,RE_WIND_Onshore_Lim_4,24,24,24
8,RE_WIND_Onshore_Lim_5,24,24,24
9,RE_WIND_Onshore_Lim_6,24,24,24
10,RE_WIND_Onshore_Lim_7,24,24,24
11,RE_WIND_Onshore_Lim_8,24,24,24
12,RE_WIND_Onshore_Lim_9,24,24,24
13,RE_WIND_Offshore_Lim_0,24,24,24
14,RE_WIND_Offshore_Lim_1,24,24,24
15,RE_WIND_Offshore_Lim_2,24,24,24
16,RE_WIND_Offshore_Lim_3,24,24,24
17,RE_WIND_Offshore_Lim_4,24,24,24
18,RE_WIND_Offshore_Lim_5,24,24,24
19,RE_WIND_Offshore_Lim_6,24,24,24
20,RE_WIND_Offshore_Lim_7,24,24,24
21,RE_WIND_Offshore_Lim_8,24,24,24
22,RE_WIND_Offshore_Lim_9,24,24,24
23,HYDRO,24,24,24
24,PP_CO2,24,24,24
25,BESS,24,24,24
26,EL_to_HTH,24,24,24
27,EL_to_NH3,24,24,24
28,NH3_Storage,24,24,24
29,NH3_to_EL,24,24,24
30,NH3_to_HTH,24,24,24
31,FF_to_HTH,24,24,24
32,EL_Demand,24,24,24
33,HTH_Demand,24,24,24
34,RE_PV_Openfield_Lim,29,29,29
35,RE_PV_Rooftop_Lim,29,29,29
36,RE_WIND_Onshore_Lim_0,29,29,29
37,RE_WIND_Onshore_Lim_1,29,29,29
38,RE_WIND_Onshore_Lim_2,29,29,29
39,RE_WIND_Onshore_Lim_3,29,29,29
40,RE_WIND_Onshore_Lim_4,29,29,29
41,RE_WIND_Onshore_Lim_5,29,29,29
42,RE_WIND_Onshore_Lim_6,29,29,29
43,RE_WIND_Onshore_Lim_7,29,29,29
44,RE_WIND_Onshore_Lim_8,29,29,29
45,RE_WIND_Onshore_Lim_9,29,29,29
46,RE_WIND_Offshore_Lim_0,29,29,29
47,RE_WIND_Offshore_Lim_1,29,29,29
48,RE_WIND_Offshore_Lim_2,29,29,29
49,RE_WIND_Offshore_Lim_3,29,29,29
50,RE_WIND_Offshore_Lim_4,29,29,29
51,RE_WIND_Offshore_Lim_5,29,29,29
52,RE_WIND_Offshore_Lim_6,29,29,29
53,RE_WIND_Offshore_Lim_7,29,29,29
54,RE_WIND_Offshore_Lim_8,29,29,29
55,RE_WIND_Offshore_Lim_9,29,29,29
56,HYDRO,29,29,29
57,PP_CO2,29,29,29
58,BESS,29,29,29
59,EL_to_HTH,29,29,29
60,EL_to_NH3,29,29,29
61,NH3_Storage,29,29,29
62,NH3_to_EL,29,29,29
63,NH3_to_HTH,29,29,29
64,FF_to_HTH,29,29,29
65,EL_Demand,29,29,29
66,HTH_Demand,29,29,29
