country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
FR,TR,,,23.5,0.1,2.5,RE_PV_Openfield_Lim_[FR]
FR,TR,,,23.5,0.0,0.0,RE_PV_Rooftop_Lim_[FR]
FR,TR,,,23.5,5.9,93.3,RE_WIND_Onshore_Lim_0_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_1_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_2_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_3_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_4_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_5_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_6_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_7_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_8_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_9_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_0_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_1_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_2_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_3_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_4_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_5_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_6_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_7_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_8_[FR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_9_[FR]
FR,TR,,,23.5,0.9,17.6,HYDRO_[FR]
FR,TR,,,23.5,2.8,52.7,PP_CO2_[FR]
FR,TR,,,23.5,0.1,4.0,BESS_[FR]
FR,TR,,,23.5,0.0,2.6,EL_to_HTH_[FR]
FR,TR,,,23.5,0.0,0.0,EL_to_NH3_[FR]
FR,TR,,,23.5,0.0,0.0,NH3_Storage_[FR]
FR,TR,,,23.5,0.0,0.0,NH3_to_EL_[FR]
FR,TR,,,23.5,0.0,0.0,NH3_to_HTH_[FR]
FR,TR,,,23.5,0.0,1.3,FF_to_HTH_[FR]
FR,TR,,,23.5,0.0,124.3,EL_Demand_[FR]
FR,TR,,,23.5,0.0,2.7,HTH_Demand_[FR]
FR,TR,,,23.5,1.2,73.1,RE_PV_Openfield_Lim_[TR]
FR,TR,,,23.5,0.0,0.0,RE_PV_Rooftop_Lim_[TR]
FR,TR,,,23.5,7.2,118.1,RE_WIND_Onshore_Lim_0_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_1_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_2_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_3_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_4_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_5_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_6_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_7_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_8_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Onshore_Lim_9_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_0_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_1_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_2_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_3_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_4_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_5_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_6_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_7_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_8_[TR]
FR,TR,,,23.5,0.0,0.0,RE_WIND_Offshore_Lim_9_[TR]
FR,TR,,,23.5,1.0,28.9,HYDRO_[TR]
FR,TR,,,23.5,0.5,23.4,PP_CO2_[TR]
FR,TR,,,23.5,0.5,25.2,BESS_[TR]
FR,TR,,,23.5,0.0,2.6,EL_to_HTH_[TR]
FR,TR,,,23.5,0.0,0.0,EL_to_NH3_[TR]
FR,TR,,,23.5,0.0,0.0,NH3_Storage_[TR]
FR,TR,,,23.5,0.0,0.0,NH3_to_EL_[TR]
FR,TR,,,23.5,0.0,0.0,NH3_to_HTH_[TR]
FR,TR,,,23.5,0.1,2.5,FF_to_HTH_[TR]
FR,TR,,,23.5,0.0,102.6,EL_Demand_[TR]
FR,TR,,,23.5,0.0,2.7,HTH_Demand_[TR]
FR,TR,,,37.3,0.0,0.0,RE_PV_Openfield_Lim_[FR]
FR,TR,,,37.3,0.0,0.0,RE_PV_Rooftop_Lim_[FR]
FR,TR,,,37.3,4.9,77.5,RE_WIND_Onshore_Lim_0_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Onshore_Lim_1_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Onshore_Lim_2_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Onshore_Lim_3_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Onshore_Lim_4_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Onshore_Lim_5_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Onshore_Lim_6_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Onshore_Lim_7_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Onshore_Lim_8_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Onshore_Lim_9_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_0_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_1_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_2_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_3_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_4_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_5_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_6_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_7_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_8_[FR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_9_[FR]
FR,TR,,,37.3,0.1,17.6,HYDRO_[FR]
FR,TR,,,37.3,3.5,55.2,PP_CO2_[FR]
FR,TR,,,37.3,0.1,8.1,BESS_[FR]
FR,TR,,,37.3,0.0,2.6,EL_to_HTH_[FR]
FR,TR,,,37.3,0.0,0.0,EL_to_NH3_[FR]
FR,TR,,,37.3,0.0,0.0,NH3_Storage_[FR]
FR,TR,,,37.3,0.0,0.0,NH3_to_EL_[FR]
FR,TR,,,37.3,0.0,0.0,NH3_to_HTH_[FR]
FR,TR,,,37.3,0.0,1.2,FF_to_HTH_[FR]
FR,TR,,,37.3,0.0,124.3,EL_Demand_[FR]
FR,TR,,,37.3,0.0,2.7,HTH_Demand_[FR]
FR,TR,,,37.3,1.3,83.2,RE_PV_Openfield_Lim_[TR]
FR,TR,,,37.3,0.0,0.0,RE_PV_Rooftop_Lim_[TR]
FR,TR,,,37.3,6.8,112.4,RE_WIND_Onshore_Lim_0_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Onshore_Lim_1_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Onshore_Lim_2_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Onshore_Lim_3_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Onshore_Lim_4_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Onshore_Lim_5_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Onshore_Lim_6_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Onshore_Lim_7_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Onshore_Lim_8_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Onshore_Lim_9_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_0_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_1_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_2_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_3_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_4_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_5_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_6_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_7_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_8_[TR]
FR,TR,,,37.3,0.0,0.0,RE_WIND_Offshore_Lim_9_[TR]
FR,TR,,,37.3,1.0,28.9,HYDRO_[TR]
FR,TR,,,37.3,0.7,31.3,PP_CO2_[TR]
FR,TR,,,37.3,0.0,1.2,BESS_[TR]
FR,TR,,,37.3,0.0,2.6,EL_to_HTH_[TR]
FR,TR,,,37.3,0.0,0.0,EL_to_NH3_[TR]
FR,TR,,,37.3,0.0,0.0,NH3_Storage_[TR]
FR,TR,,,37.3,0.0,0.0,NH3_to_EL_[TR]
FR,TR,,,37.3,0.0,0.0,NH3_to_HTH_[TR]
FR,TR,,,37.3,0.1,2.4,FF_to_HTH_[TR]
FR,TR,,,37.3,0.0,102.6,EL_Demand_[TR]
FR,TR,,,37.3,0.0,2.7,HTH_Demand_[TR]
FR,TR,,,0.0,2.4,83.0,RE_PV_Openfield_Lim_[FR]
FR,TR,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[FR]
FR,TR,,,0.0,8.3,130.7,RE_WIND_Onshore_Lim_0_[FR]
