Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,1,1,1096
1,RE_PV_Rooftop_Lim,1,1,1
2,RE_PV_Openfield_Lim,1,1,1
3,RE_WIND_Offshore_Lim,1,1,1
4,RE_WIND_Onshore_Lim,1,1,1
5,PP_CO2,1,1,1
6,BESS,1,1,1
7,EL_to_HTH,1,1,1
8,EL_to_NH3,1,1,1
9,NH3_Storage,1,1,1
10,NH3_to_EL,1,1,1
11,NH3_to_HTH,1,1,1
12,FF_to_HTH,1,1,1
13,EL_Demand,1,1,1
14,HTH_Demand,1,1,1
1,RE_PV_Rooftop_Lim,4,4,4
2,RE_PV_Openfield_Lim,4,4,4
3,RE_WIND_Offshore_Lim,4,4,4
4,RE_WIND_Onshore_Lim,4,4,4
5,PP_CO2,4,4,4
6,BESS,4,4,4
7,EL_to_HTH,4,4,4
8,EL_to_NH3,4,4,4
9,NH3_Storage,4,4,4
10,NH3_to_EL,4,4,4
11,NH3_to_HTH,4,4,4
12,FF_to_HTH,4,4,4
13,EL_Demand,4,4,4
14,HTH_Demand,4,4,4
1,RE_PV_Rooftop_Lim,0,0,0
2,RE_PV_Openfield_Lim,0,0,0
3,RE_WIND_Offshore_Lim,0,0,0
4,RE_WIND_Onshore_Lim,0,0,0
5,PP_CO2,0,0,0
6,BESS,0,0,0
7,EL_to_HTH,0,0,0
8,EL_to_NH3,0,0,0
9,NH3_Storage,0,0,0
10,NH3_to_EL,0,0,0
11,NH3_to_HTH,0,0,0
12,FF_to_HTH,0,0,0
13,EL_Demand,0,0,0
14,HTH_Demand,0,0,0
1,RE_PV_Rooftop_Lim,8,8,8
2,RE_PV_Openfield_Lim,8,8,8
3,RE_WIND_Offshore_Lim,8,8,8
4,RE_WIND_Onshore_Lim,8,8,8
5,PP_CO2,8,8,8
6,BESS,8,8,8
7,EL_to_HTH,8,8,8
8,EL_to_NH3,8,8,8
9,NH3_Storage,8,8,8
10,NH3_to_EL,8,8,8
11,NH3_to_HTH,8,8,8
12,FF_to_HTH,8,8,8
13,EL_Demand,8,8,8
14,HTH_Demand,8,8,8
15,EL_Transport,1,4,0
16,NH3_Transport,1,4,0
17,EL_Transport,1,0,0
18,NH3_Transport,1,0,0
19,EL_Transport,1,8,0
20,NH3_Transport,1,8,0
21,EL_Transport,4,0,0
22,NH3_Transport,4,0,0
23,EL_Transport,4,8,0
24,NH3_Transport,4,8,0
25,EL_Transport,0,8,0
26,NH3_Transport,0,8,0
