country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
ID,KH,,,0.0,5.2,292.0,RE_PV_Openfield_Lim_[ID]
ID,KH,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,KH,,,0.0,27.1,598.7,RE_WIND_Onshore_Lim_0_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[ID]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[ID]
ID,KH,,,0.0,0.1,4.6,HYDRO_[ID]
ID,KH,,,0.0,0.0,0.0,PP_CO2_[ID]
ID,KH,,,0.0,0.3,18.6,BESS_[ID]
ID,KH,,,0.0,1.3,116.6,EL_to_HTH_[ID]
ID,KH,,,0.0,2.6,46.0,EL_to_NH3_[ID]
ID,KH,,,0.0,7.4,443.2,NH3_Storage_[ID]
ID,KH,,,0.0,0.0,0.0,NH3_to_EL_[ID]
ID,KH,,,0.0,0.2,19.9,NH3_to_HTH_[ID]
ID,KH,,,0.0,0.0,0.0,FF_to_HTH_[ID]
ID,KH,,,0.0,0.0,138.0,EL_Demand_[ID]
ID,KH,,,0.0,0.0,117.7,HTH_Demand_[ID]
ID,KH,,,0.0,0.0,0.0,RE_PV_Openfield_Lim_[KH]
ID,KH,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
ID,KH,,,0.0,0.1,1.3,RE_WIND_Onshore_Lim_0_[KH]
ID,KH,,,0.0,5.1,105.5,RE_WIND_Onshore_Lim_1_[KH]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[KH]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[KH]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[KH]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[KH]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[KH]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[KH]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[KH]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[KH]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[KH]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[KH]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[KH]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[KH]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[KH]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[KH]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[KH]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[KH]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[KH]
ID,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[KH]
ID,KH,,,0.0,0.0,1.3,HYDRO_[KH]
ID,KH,,,0.0,0.0,0.0,PP_CO2_[KH]
ID,KH,,,0.0,0.0,0.0,BESS_[KH]
ID,KH,,,0.0,0.1,11.3,EL_to_HTH_[KH]
ID,KH,,,0.0,0.3,5.5,EL_to_NH3_[KH]
ID,KH,,,0.0,3.9,235.3,NH3_Storage_[KH]
ID,KH,,,0.0,0.3,3.7,NH3_to_EL_[KH]
ID,KH,,,0.0,0.0,2.2,NH3_to_HTH_[KH]
ID,KH,,,0.0,0.0,0.0,FF_to_HTH_[KH]
ID,KH,,,0.0,0.0,2.8,EL_Demand_[KH]
ID,KH,,,0.0,0.0,11.5,HTH_Demand_[KH]
ID,KH,,,0.0,3.9,56.3,EL_Transport_[ID-KH]
ID,KH,,,0.0,0.1,240.6,NH3_Transport_[ID-KH]
ID,KH,,,131.7,1.2,68.8,RE_PV_Openfield_Lim_[ID]
ID,KH,,,131.7,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,KH,,,131.7,17.0,374.4,RE_WIND_Onshore_Lim_0_[ID]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Onshore_Lim_1_[ID]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Onshore_Lim_2_[ID]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Onshore_Lim_3_[ID]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Onshore_Lim_4_[ID]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Onshore_Lim_5_[ID]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Onshore_Lim_6_[ID]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Onshore_Lim_7_[ID]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Onshore_Lim_8_[ID]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Onshore_Lim_9_[ID]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Offshore_Lim_0_[ID]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Offshore_Lim_1_[ID]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Offshore_Lim_2_[ID]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Offshore_Lim_3_[ID]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Offshore_Lim_4_[ID]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Offshore_Lim_5_[ID]
ID,KH,,,131.7,0.0,0.0,RE_WIND_Offshore_Lim_6_[ID]
