Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,1,1,979
1,RE_PV_Rooftop_Lim,1,1,1
2,RE_PV_Openfield_Lim,1,1,1
3,RE_WIND_Offshore_Lim,1,1,1
4,RE_WIND_Onshore_Lim,1,1,1
5,PP_CO2,1,1,1
6,BESS,1,1,1
7,EL_to_HTH,1,1,1
8,EL_to_NH3,1,1,1
9,NH3_Storage,1,1,1
10,NH3_to_EL,1,1,1
11,NH3_to_HTH,1,1,1
12,FF_to_HTH,1,1,1
13,EL_Demand,1,1,1
14,HTH_Demand,1,1,1
1,RE_PV_Openfield_Lim,17,17,17
2,RE_PV_Rooftop_Lim,17,17,17
3,RE_WIND_Onshore_Lim,17,17,17
4,RE_WIND_Offshore_Lim,17,17,17
5,PP_CO2,17,17,17
6,BESS,17,17,17
7,EL_to_HTH,17,17,17
8,EL_to_NH3,17,17,17
9,NH3_Storage,17,17,17
10,NH3_to_EL,17,17,17
11,NH3_to_HTH,17,17,17
12,FF_to_HTH,17,17,17
13,EL_Demand,17,17,17
14,HTH_Demand,17,17,17
1,RE_PV_Rooftop_Lim,6,6,6
2,RE_PV_Openfield_Lim,6,6,6
3,RE_WIND_Offshore_Lim,6,6,6
4,RE_WIND_Onshore_Lim,6,6,6
5,PP_CO2,6,6,6
6,BESS,6,6,6
7,EL_to_HTH,6,6,6
8,EL_to_NH3,6,6,6
9,NH3_Storage,6,6,6
10,NH3_to_EL,6,6,6
11,NH3_to_HTH,6,6,6
12,FF_to_HTH,6,6,6
13,EL_Demand,6,6,6
14,HTH_Demand,6,6,6
15,EL_Transport,1,17,0
16,NH3_Transport,1,17,0
17,EL_Transport,1,6,0
18,NH3_Transport,1,6,0
19,EL_Transport,17,6,0
20,NH3_Transport,17,6,0
