Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,1,1,1692
1,RE_PV_Rooftop_Lim,1,1,1
2,RE_PV_Openfield_Lim,1,1,1
3,RE_WIND_Offshore_Lim,1,1,1
4,RE_WIND_Onshore_Lim,1,1,1
5,PP_CO2,1,1,1
6,BESS,1,1,1
7,EL_to_HTH,1,1,1
8,EL_to_NH3,1,1,1
9,NH3_Storage,1,1,1
10,NH3_to_EL,1,1,1
11,NH3_to_HTH,1,1,1
12,FF_to_HTH,1,1,1
13,EL_Demand,1,1,1
14,HTH_Demand,1,1,1
15,RE_PV_Openfield_Lim,5,5,5
16,RE_PV_Rooftop_Lim,5,5,5
17,RE_WIND_Onshore_Lim_0,5,5,5
18,RE_WIND_Onshore_Lim_1,5,5,5
19,RE_WIND_Onshore_Lim_2,5,5,5
20,RE_WIND_Onshore_Lim_3,5,5,5
21,RE_WIND_Onshore_Lim_4,5,5,5
22,RE_WIND_Onshore_Lim_5,5,5,5
23,RE_WIND_Onshore_Lim_6,5,5,5
24,RE_WIND_Onshore_Lim_7,5,5,5
25,RE_WIND_Onshore_Lim_8,5,5,5
26,RE_WIND_Onshore_Lim_9,5,5,5
27,RE_WIND_Offshore_Lim_0,5,5,5
28,RE_WIND_Offshore_Lim_1,5,5,5
29,RE_WIND_Offshore_Lim_2,5,5,5
30,RE_WIND_Offshore_Lim_3,5,5,5
31,RE_WIND_Offshore_Lim_4,5,5,5
32,RE_WIND_Offshore_Lim_5,5,5,5
33,RE_WIND_Offshore_Lim_6,5,5,5
34,RE_WIND_Offshore_Lim_7,5,5,5
35,RE_WIND_Offshore_Lim_8,5,5,5
36,RE_WIND_Offshore_Lim_9,5,5,5
37,HYDRO,5,5,5
38,PP_CO2,5,5,5
39,BESS,5,5,5
40,EL_to_HTH,5,5,5
41,EL_to_NH3,5,5,5
42,NH3_Storage,5,5,5
43,NH3_to_EL,5,5,5
44,NH3_to_HTH,5,5,5
45,FF_to_HTH,5,5,5
46,EL_Demand,5,5,5
47,HTH_Demand,5,5,5
