country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,ID,MY,PH,1.4498188786149438e-09,3.0581032849945307,RE_PV_Openfield_Lim_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,1.2614074996796433e-10,RE_PV_Rooftop_Lim_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,29.028005935853898,RE_WIND_Onshore_Lim_0_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,2.3491944806567126e-10,RE_WIND_Onshore_Lim_1_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,1.4252835484084819e-10,RE_WIND_Onshore_Lim_2_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,1.4419967225417618e-10,RE_WIND_Onshore_Lim_3_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,1.3169948367796663e-10,RE_WIND_Onshore_Lim_4_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,1.1337001795868331e-10,RE_WIND_Onshore_Lim_5_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,1.0317498996418549e-10,RE_WIND_Onshore_Lim_6_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,8.883924821723104e-11,RE_WIND_Onshore_Lim_7_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,6.993471017517827e-11,RE_WIND_Onshore_Lim_8_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,5.012389463172491e-11,RE_WIND_Onshore_Lim_9_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,4.020160356003866e-11,RE_WIND_Offshore_Lim_0_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,2.529365289528085e-11,RE_WIND_Offshore_Lim_1_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,1.76661856279549e-11,RE_WIND_Offshore_Lim_2_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,1.3857369131464475e-11,RE_WIND_Offshore_Lim_3_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,9.21021959469097e-12,RE_WIND_Offshore_Lim_4_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,6.590506648146846e-12,RE_WIND_Offshore_Lim_5_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,5.596114009630139e-12,RE_WIND_Offshore_Lim_6_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Offshore_Lim_7_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Offshore_Lim_8_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,2.0281864967373832e-12,RE_WIND_Offshore_Lim_9_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,0.07872301219382045,HYDRO_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,PP_CO2_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,1.2807205860009885,BESS_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,1.3072680458011585,EL_to_HTH_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,1.8854867301306129,EL_to_NH3_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,5.518396031705995,NH3_Storage_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,1.5075077265960456e-07,NH3_to_EL_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,0.2375195239911022,NH3_to_HTH_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,3.7186171518364786e-11,FF_to_HTH_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,EL_Demand_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,HTH_Demand_[ID]
SG,ID,MY,PH,1.4498188786149438e-09,0.8291496564549521,RE_PV_Openfield_Lim_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,1.4902107013365913e-10,RE_PV_Rooftop_Lim_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,3.813286317123352,RE_WIND_Onshore_Lim_0_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,2.3336324323458005e-10,RE_WIND_Onshore_Lim_1_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,1.5126612440146032e-10,RE_WIND_Onshore_Lim_2_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,1.2865120597155763e-10,RE_WIND_Onshore_Lim_3_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,1.0853956846072064e-10,RE_WIND_Onshore_Lim_4_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,9.167285626144306e-11,RE_WIND_Onshore_Lim_5_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,8.005610153444387e-11,RE_WIND_Onshore_Lim_6_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,6.704401649791882e-11,RE_WIND_Onshore_Lim_7_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,5.5484180102401626e-11,RE_WIND_Onshore_Lim_8_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,4.5804727263817974e-11,RE_WIND_Onshore_Lim_9_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,4.799835130889518e-11,RE_WIND_Offshore_Lim_0_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,1.1699910698172888e-11,RE_WIND_Offshore_Lim_1_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,4.220133699782502e-12,RE_WIND_Offshore_Lim_2_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,1.110369079667398e-11,RE_WIND_Offshore_Lim_3_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,1.0830527980078566e-11,RE_WIND_Offshore_Lim_4_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,7.907778780480071e-12,RE_WIND_Offshore_Lim_5_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,1.7085638709349842e-12,RE_WIND_Offshore_Lim_6_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,3.379147392581048e-13,RE_WIND_Offshore_Lim_7_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Offshore_Lim_8_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Offshore_Lim_9_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,0.14575270788356723,HYDRO_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,PP_CO2_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,0.6545216038859469,BESS_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,0.13957637983694882,EL_to_HTH_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,0.2488469246459393,EL_to_NH3_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,1.459173260044917,NH3_Storage_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,1.4048350807398348e-07,NH3_to_EL_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,0.03217755798873682,NH3_to_HTH_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,3.715684990235382e-11,FF_to_HTH_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,EL_Demand_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,HTH_Demand_[MY]
SG,ID,MY,PH,1.4498188786149438e-09,1.8388674306823352e-10,RE_PV_Openfield_Lim_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,9.407640160232428e-11,RE_PV_Rooftop_Lim_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,5.803170825646972,RE_WIND_Onshore_Lim_0_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,1.0547485799035299e-10,RE_WIND_Onshore_Lim_1_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,7.95998490243276e-11,RE_WIND_Onshore_Lim_2_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,6.578489632250239e-11,RE_WIND_Onshore_Lim_3_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,5.7652839059242695e-11,RE_WIND_Onshore_Lim_4_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,5.260996044321261e-11,RE_WIND_Onshore_Lim_5_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,4.4622658077936576e-11,RE_WIND_Onshore_Lim_6_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,3.978778405500973e-11,RE_WIND_Onshore_Lim_7_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,3.338604710076042e-11,RE_WIND_Onshore_Lim_8_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,2.7489837781500054e-11,RE_WIND_Onshore_Lim_9_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,1.1021153936077081e-10,RE_WIND_Offshore_Lim_0_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,8.104647271873253e-11,RE_WIND_Offshore_Lim_1_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,6.717299259243885e-11,RE_WIND_Offshore_Lim_2_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,5.188227945608899e-11,RE_WIND_Offshore_Lim_3_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,3.9236615405892127e-11,RE_WIND_Offshore_Lim_4_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,2.941925051633029e-11,RE_WIND_Offshore_Lim_5_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,1.9249003130437614e-11,RE_WIND_Offshore_Lim_6_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,1.651137960929146e-11,RE_WIND_Offshore_Lim_7_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,5.417552296716232e-12,RE_WIND_Offshore_Lim_8_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Offshore_Lim_9_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,0.033450369489908385,HYDRO_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,PP_CO2_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,2.625360315890797e-06,BESS_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,0.12703138700516634,EL_to_HTH_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,0.28589229109642916,EL_to_NH3_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,0.7958426148983698,NH3_Storage_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,0.028105420508859516,NH3_to_EL_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,0.02549934757250046,NH3_to_HTH_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,3.7078999575053144e-11,FF_to_HTH_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,EL_Demand_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,HTH_Demand_[PH]
SG,ID,MY,PH,1.4498188786149438e-09,9.31978333085039e-10,RE_PV_Openfield_Lim_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,1.4459984967580393e-10,RE_PV_Rooftop_Lim_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0001533960816112024,RE_WIND_Onshore_Lim_0_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,4.587234886628877e-09,RE_WIND_Onshore_Lim_1_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,5.622168589050283e-10,RE_WIND_Onshore_Lim_2_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Onshore_Lim_3_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Onshore_Lim_4_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Onshore_Lim_5_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Onshore_Lim_6_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Onshore_Lim_7_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Onshore_Lim_8_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Onshore_Lim_9_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,2.6800814974668136e-11,RE_WIND_Offshore_Lim_0_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Offshore_Lim_1_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Offshore_Lim_2_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Offshore_Lim_3_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Offshore_Lim_4_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Offshore_Lim_5_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Offshore_Lim_6_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Offshore_Lim_7_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Offshore_Lim_8_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,RE_WIND_Offshore_Lim_9_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,HYDRO_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,2.495788496659598e-12,PP_CO2_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.00908455866769423,BESS_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.05334878014759955,EL_to_HTH_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0038894711343007656,EL_to_NH3_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.5907522152270039,NH3_Storage_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,1.4211435184575554e-07,NH3_to_EL_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.011789411427577244,NH3_to_HTH_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,3.716258953020781e-11,FF_to_HTH_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,EL_Demand_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0,HTH_Demand_[SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.6839910470793856,EL_Transport_[ID-MY]
SG,ID,MY,PH,1.4498188786149438e-09,0.01682583801659491,NH3_Transport_[ID-MY]
SG,ID,MY,PH,1.4498188786149438e-09,5.17932194433517,EL_Transport_[ID-PH]
SG,ID,MY,PH,1.4498188786149438e-09,0.015524624269213475,NH3_Transport_[ID-PH]
SG,ID,MY,PH,1.4498188786149438e-09,0.1354176169385704,EL_Transport_[ID-SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.005854626835479955,NH3_Transport_[ID-SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.7805478396721509,EL_Transport_[MY-PH]
SG,ID,MY,PH,1.4498188786149438e-09,0.0013020273691789924,NH3_Transport_[MY-PH]
SG,ID,MY,PH,1.4498188786149438e-09,0.04855931797118203,EL_Transport_[MY-SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.000658287606214922,NH3_Transport_[MY-SG]
SG,ID,MY,PH,1.4498188786149438e-09,1.2362413368138165,EL_Transport_[PH-SG]
SG,ID,MY,PH,1.4498188786149438e-09,0.0002044875911614091,NH3_Transport_[PH-SG]
SG,ID,MY,PH,165.83890779719403,1.0762553313408945,RE_PV_Openfield_Lim_[ID]
SG,ID,MY,PH,165.83890779719403,4.860869994662584e-11,RE_PV_Rooftop_Lim_[ID]
SG,ID,MY,PH,165.83890779719403,18.8306120042819,RE_WIND_Onshore_Lim_0_[ID]
SG,ID,MY,PH,165.83890779719403,6.975485610518132e-11,RE_WIND_Onshore_Lim_1_[ID]
SG,ID,MY,PH,165.83890779719403,4.9233006119279416e-11,RE_WIND_Onshore_Lim_2_[ID]
SG,ID,MY,PH,165.83890779719403,3.8038871867673255e-11,RE_WIND_Onshore_Lim_3_[ID]
SG,ID,MY,PH,165.83890779719403,3.0725171065514014e-11,RE_WIND_Onshore_Lim_4_[ID]
SG,ID,MY,PH,165.83890779719403,2.456913636523372e-11,RE_WIND_Onshore_Lim_5_[ID]
SG,ID,MY,PH,165.83890779719403,1.979841145118735e-11,RE_WIND_Onshore_Lim_6_[ID]
SG,ID,MY,PH,165.83890779719403,1.6411249980635578e-11,RE_WIND_Onshore_Lim_7_[ID]
