country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
ID,MY,PH,,115.3,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,MY,PH,,115.3,5.2,291.7,RE_PV_Openfield_Lim_[ID]
ID,MY,PH,,115.3,6.7,127.3,RE_WIND_Offshore_Lim_[ID]
ID,MY,PH,,115.3,19.1,395.9,RE_WIND_Onshore_Lim_[ID]
ID,MY,PH,,115.3,2.6,42.6,PP_CO2_[ID]
ID,MY,PH,,115.3,1.5,84.1,BESS_[ID]
ID,MY,PH,,115.3,1.3,116.6,EL_to_HTH_[ID]
ID,MY,PH,,115.3,0.0,0.0,EL_to_NH3_[ID]
ID,MY,PH,,115.3,0.0,0.0,NH3_Storage_[ID]
ID,MY,PH,,115.3,0.0,0.0,NH3_to_EL_[ID]
ID,MY,PH,,115.3,0.0,0.0,NH3_to_HTH_[ID]
ID,MY,PH,,115.3,7.1,116.6,FF_to_HTH_[ID]
ID,MY,PH,,115.3,0.0,138.0,EL_Demand_[ID]
ID,MY,PH,,115.3,0.0,117.7,HTH_Demand_[ID]
ID,MY,PH,,115.3,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
ID,MY,PH,,115.3,1.7,100.3,RE_PV_Openfield_Lim_[MY]
ID,MY,PH,,115.3,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
ID,MY,PH,,115.3,4.8,100.3,RE_WIND_Onshore_Lim_[MY]
ID,MY,PH,,115.3,0.6,8.0,PP_CO2_[MY]
ID,MY,PH,,115.3,2.5,140.4,BESS_[MY]
ID,MY,PH,,115.3,0.1,12.4,EL_to_HTH_[MY]
ID,MY,PH,,115.3,0.0,0.0,EL_to_NH3_[MY]
ID,MY,PH,,115.3,0.0,0.0,NH3_Storage_[MY]
ID,MY,PH,,115.3,0.0,0.0,NH3_to_EL_[MY]
ID,MY,PH,,115.3,0.0,0.0,NH3_to_HTH_[MY]
ID,MY,PH,,115.3,1.0,12.5,FF_to_HTH_[MY]
ID,MY,PH,,115.3,0.0,34.4,EL_Demand_[MY]
ID,MY,PH,,115.3,0.0,12.7,HTH_Demand_[MY]
ID,MY,PH,,115.3,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
ID,MY,PH,,115.3,0.9,50.2,RE_PV_Openfield_Lim_[PH]
ID,MY,PH,,115.3,0.0,0.0,RE_WIND_Offshore_Lim_[PH]
