country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
ID,MY,PH,,1.4217876493735962e-09,8.199516329217401,RE_PV_Openfield_Lim_[ID]
ID,MY,PH,,1.4217876493735962e-09,6.061334504658323e-10,RE_PV_Rooftop_Lim_[ID]
ID,MY,PH,,1.4217876493735962e-09,0.07423479280121982,HYDRO_[ID]
ID,MY,PH,,1.4217876493735962e-09,0.0,PP_CO2_[ID]
ID,MY,PH,,1.4217876493735962e-09,5.109515999343446,BESS_[ID]
ID,MY,PH,,1.4217876493735962e-09,1.295797488423869,EL_to_HTH_[ID]
ID,MY,PH,,1.4217876493735962e-09,3.2218333394939265,EL_to_NH3_[ID]
ID,MY,PH,,1.4217876493735962e-09,12.94685668281729,NH3_Storage_[ID]
ID,MY,PH,,1.4217876493735962e-09,0.43486441835103873,NH3_to_EL_[ID]
ID,MY,PH,,1.4217876493735962e-09,0.2525282474353637,NH3_to_HTH_[ID]
ID,MY,PH,,1.4217876493735962e-09,4.917945196624414e-11,FF_to_HTH_[ID]
ID,MY,PH,,1.4217876493735962e-09,0.0,EL_Demand_[ID]
ID,MY,PH,,1.4217876493735962e-09,0.0,HTH_Demand_[ID]
ID,MY,PH,,1.4217876493735962e-09,3.2539499513375714,RE_PV_Openfield_Lim_[MY]
ID,MY,PH,,1.4217876493735962e-09,8.166764614282405e-10,RE_PV_Rooftop_Lim_[MY]
ID,MY,PH,,1.4217876493735962e-09,0.16205090341332914,HYDRO_[MY]
ID,MY,PH,,1.4217876493735962e-09,0.0,PP_CO2_[MY]
ID,MY,PH,,1.4217876493735962e-09,5.018361267637588,BESS_[MY]
ID,MY,PH,,1.4217876493735962e-09,0.13957735880781183,EL_to_HTH_[MY]
ID,MY,PH,,1.4217876493735962e-09,0.47516082643317653,EL_to_NH3_[MY]
ID,MY,PH,,1.4217876493735962e-09,1.158713970686804,NH3_Storage_[MY]
ID,MY,PH,,1.4217876493735962e-09,4.271470630859364e-08,NH3_to_EL_[MY]
ID,MY,PH,,1.4217876493735962e-09,0.026000247753321274,NH3_to_HTH_[MY]
ID,MY,PH,,1.4217876493735962e-09,4.920745438480708e-11,FF_to_HTH_[MY]
ID,MY,PH,,1.4217876493735962e-09,0.0,EL_Demand_[MY]
ID,MY,PH,,1.4217876493735962e-09,0.0,HTH_Demand_[MY]
ID,MY,PH,,1.4217876493735962e-09,2.6214790598686264,RE_PV_Openfield_Lim_[PH]
ID,MY,PH,,1.4217876493735962e-09,1.1566102145766339e-09,RE_PV_Rooftop_Lim_[PH]
ID,MY,PH,,1.4217876493735962e-09,0.04404933146128567,HYDRO_[PH]
ID,MY,PH,,1.4217876493735962e-09,0.0,PP_CO2_[PH]
ID,MY,PH,,1.4217876493735962e-09,4.469566875975695,BESS_[PH]
ID,MY,PH,,1.4217876493735962e-09,0.12644364139270603,EL_to_HTH_[PH]
ID,MY,PH,,1.4217876493735962e-09,0.18187666023467483,EL_to_NH3_[PH]
ID,MY,PH,,1.4217876493735962e-09,1.951210261694645,NH3_Storage_[PH]
ID,MY,PH,,1.4217876493735962e-09,0.09368073210435239,NH3_to_EL_[PH]
ID,MY,PH,,1.4217876493735962e-09,0.024512281233962763,NH3_to_HTH_[PH]
ID,MY,PH,,1.4217876493735962e-09,4.918288515742425e-11,FF_to_HTH_[PH]
ID,MY,PH,,1.4217876493735962e-09,0.0,EL_Demand_[PH]
ID,MY,PH,,1.4217876493735962e-09,0.0,HTH_Demand_[PH]
ID,MY,PH,,1.4217876493735962e-09,30.182321164051395,RE_WIND_Onshore_Lim_[ID]
ID,MY,PH,,1.4217876493735962e-09,2.4872350461465005,RE_WIND_Onshore_Lim_[MY]
ID,MY,PH,,1.4217876493735962e-09,2.1084705273226154,RE_WIND_Onshore_Lim_[PH]
ID,MY,PH,,1.4217876493735962e-09,2.1374015211512868e-09,RE_WIND_Offshore_Lim_[ID]
ID,MY,PH,,1.4217876493735962e-09,1.9634972130182583e-09,RE_WIND_Offshore_Lim_[MY]
ID,MY,PH,,1.4217876493735962e-09,1.8147550473126328e-09,RE_WIND_Offshore_Lim_[PH]
ID,MY,PH,,230.57332567445667,1.2502017733525868,RE_PV_Openfield_Lim_[ID]
ID,MY,PH,,230.57332567445667,1.0521243004937275e-10,RE_PV_Rooftop_Lim_[ID]
ID,MY,PH,,230.57332567445667,0.12229040341807525,HYDRO_[ID]
ID,MY,PH,,230.57332567445667,5.718513427695577,PP_CO2_[ID]
ID,MY,PH,,230.57332567445667,0.1266875542805739,BESS_[ID]
ID,MY,PH,,230.57332567445667,1.2957369897987934,EL_to_HTH_[ID]
ID,MY,PH,,230.57332567445667,1.435118711300172e-07,EL_to_NH3_[ID]
ID,MY,PH,,230.57332567445667,4.884585738589437e-07,NH3_Storage_[ID]
ID,MY,PH,,230.57332567445667,7.681323812450075e-07,NH3_to_EL_[ID]
ID,MY,PH,,230.57332567445667,2.2246083733770544e-09,NH3_to_HTH_[ID]
ID,MY,PH,,230.57332567445667,9.351738744111373,FF_to_HTH_[ID]
ID,MY,PH,,230.57332567445667,0.0,EL_Demand_[ID]
ID,MY,PH,,230.57332567445667,0.0,HTH_Demand_[ID]
ID,MY,PH,,230.57332567445667,1.1601787542535587,RE_PV_Openfield_Lim_[MY]
ID,MY,PH,,230.57332567445667,1.2125811717322816e-10,RE_PV_Rooftop_Lim_[MY]
ID,MY,PH,,230.57332567445667,0.16205090366292269,HYDRO_[MY]
ID,MY,PH,,230.57332567445667,2.755403910518579,PP_CO2_[MY]
ID,MY,PH,,230.57332567445667,0.19711847896832557,BESS_[MY]
ID,MY,PH,,230.57332567445667,0.1278817405617577,EL_to_HTH_[MY]
ID,MY,PH,,230.57332567445667,9.495375020418282e-08,EL_to_NH3_[MY]
ID,MY,PH,,230.57332567445667,3.256859711719608e-07,NH3_Storage_[MY]
ID,MY,PH,,230.57332567445667,3.873717354010564e-07,NH3_to_EL_[MY]
ID,MY,PH,,230.57332567445667,8.967239732974908e-10,NH3_to_HTH_[MY]
ID,MY,PH,,230.57332567445667,1.5756815881952093,FF_to_HTH_[MY]
ID,MY,PH,,230.57332567445667,0.0,EL_Demand_[MY]
ID,MY,PH,,230.57332567445667,0.0,HTH_Demand_[MY]
ID,MY,PH,,230.57332567445667,0.06329301974754045,RE_PV_Openfield_Lim_[PH]
ID,MY,PH,,230.57332567445667,1.0850539914963758e-10,RE_PV_Rooftop_Lim_[PH]
ID,MY,PH,,230.57332567445667,0.08507785557867177,HYDRO_[PH]
ID,MY,PH,,230.57332567445667,2.113857222412627,PP_CO2_[PH]
ID,MY,PH,,230.57332567445667,0.015193851315348212,BESS_[PH]
ID,MY,PH,,230.57332567445667,0.12643969671400396,EL_to_HTH_[PH]
ID,MY,PH,,230.57332567445667,1.8826120520880378e-07,EL_to_NH3_[PH]
ID,MY,PH,,230.57332567445667,3.164065947644318e-07,NH3_Storage_[PH]
ID,MY,PH,,230.57332567445667,3.769111000470601e-07,NH3_to_EL_[PH]
ID,MY,PH,,230.57332567445667,2.1826021710817185e-08,NH3_to_HTH_[PH]
ID,MY,PH,,230.57332567445667,0.7045540391034918,FF_to_HTH_[PH]
ID,MY,PH,,230.57332567445667,0.0,EL_Demand_[PH]
ID,MY,PH,,230.57332567445667,0.0,HTH_Demand_[PH]
ID,MY,PH,,230.57332567445667,16.792283037424507,RE_WIND_Onshore_Lim_[ID]
ID,MY,PH,,230.57332567445667,2.0860553838287266,RE_WIND_Onshore_Lim_[MY]
ID,MY,PH,,230.57332567445667,2.2214601225960817,RE_WIND_Onshore_Lim_[PH]
ID,MY,PH,,230.57332567445667,2.7408698315299268e-11,RE_WIND_Offshore_Lim_[ID]
ID,MY,PH,,230.57332567445667,2.5638985394258834e-11,RE_WIND_Offshore_Lim_[MY]
ID,MY,PH,,230.57332567445667,6.697854123276223e-11,RE_WIND_Offshore_Lim_[PH]
ID,MY,PH,,220.99999999074487,1.290067108451768,RE_PV_Openfield_Lim_[ID]
ID,MY,PH,,220.99999999074487,6.51965561690786e-11,RE_PV_Rooftop_Lim_[ID]
ID,MY,PH,,220.99999999074487,0.12229040342496521,HYDRO_[ID]
ID,MY,PH,,220.99999999074487,5.580911283360823,PP_CO2_[ID]
ID,MY,PH,,220.99999999074487,0.12924892077487882,BESS_[ID]
ID,MY,PH,,220.99999999074487,1.2957390473463617,EL_to_HTH_[ID]
ID,MY,PH,,220.99999999074487,9.524937308181802e-08,EL_to_NH3_[ID]
ID,MY,PH,,220.99999999074487,3.2141495242685954e-07,NH3_Storage_[ID]
ID,MY,PH,,220.99999999074487,3.832306425928284e-07,NH3_to_EL_[ID]
ID,MY,PH,,220.99999999074487,2.0203885572020278e-09,NH3_to_HTH_[ID]
ID,MY,PH,,220.99999999074487,9.14615972251953,FF_to_HTH_[ID]
ID,MY,PH,,220.99999999074487,0.0,EL_Demand_[ID]
ID,MY,PH,,220.99999999074487,0.0,HTH_Demand_[ID]
