country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,ID,PH,,7.889517920757199e-10,3.7696551613445606,RE_PV_Openfield_Lim_[ID]
SG,ID,PH,,7.889517920757199e-10,1.375684276078146e-10,RE_PV_Rooftop_Lim_[ID]
SG,ID,PH,,7.889517920757199e-10,25.84310030238994,RE_WIND_Onshore_Lim_0_[ID]
SG,ID,PH,,7.889517920757199e-10,2.553701140293417e-10,RE_WIND_Onshore_Lim_1_[ID]
SG,ID,PH,,7.889517920757199e-10,1.498223113419906e-10,RE_WIND_Onshore_Lim_2_[ID]
SG,ID,PH,,7.889517920757199e-10,1.5326062299282545e-10,RE_WIND_Onshore_Lim_3_[ID]
SG,ID,PH,,7.889517920757199e-10,1.4148712102887207e-10,RE_WIND_Onshore_Lim_4_[ID]
SG,ID,PH,,7.889517920757199e-10,1.2061662495943925e-10,RE_WIND_Onshore_Lim_5_[ID]
SG,ID,PH,,7.889517920757199e-10,1.1138959731886061e-10,RE_WIND_Onshore_Lim_6_[ID]
SG,ID,PH,,7.889517920757199e-10,9.893096945296591e-11,RE_WIND_Onshore_Lim_7_[ID]
SG,ID,PH,,7.889517920757199e-10,7.799844689951232e-11,RE_WIND_Onshore_Lim_8_[ID]
SG,ID,PH,,7.889517920757199e-10,5.612420315856592e-11,RE_WIND_Onshore_Lim_9_[ID]
SG,ID,PH,,7.889517920757199e-10,4.7311263407954506e-11,RE_WIND_Offshore_Lim_0_[ID]
SG,ID,PH,,7.889517920757199e-10,3.5699158466853676e-11,RE_WIND_Offshore_Lim_1_[ID]
SG,ID,PH,,7.889517920757199e-10,2.912346521432412e-11,RE_WIND_Offshore_Lim_2_[ID]
SG,ID,PH,,7.889517920757199e-10,2.555927325913839e-11,RE_WIND_Offshore_Lim_3_[ID]
SG,ID,PH,,7.889517920757199e-10,2.162289620773467e-11,RE_WIND_Offshore_Lim_4_[ID]
SG,ID,PH,,7.889517920757199e-10,1.9603695153342076e-11,RE_WIND_Offshore_Lim_5_[ID]
SG,ID,PH,,7.889517920757199e-10,1.934916445115579e-11,RE_WIND_Offshore_Lim_6_[ID]
SG,ID,PH,,7.889517920757199e-10,9.656092034386438e-12,RE_WIND_Offshore_Lim_7_[ID]
SG,ID,PH,,7.889517920757199e-10,4.404168421798506e-12,RE_WIND_Offshore_Lim_8_[ID]
SG,ID,PH,,7.889517920757199e-10,1.3969476137211469e-11,RE_WIND_Offshore_Lim_9_[ID]
SG,ID,PH,,7.889517920757199e-10,0.07890709703720837,HYDRO_[ID]
SG,ID,PH,,7.889517920757199e-10,0.0,PP_CO2_[ID]
SG,ID,PH,,7.889517920757199e-10,1.012997406801414,BESS_[ID]
SG,ID,PH,,7.889517920757199e-10,1.307266447503785,EL_to_HTH_[ID]
SG,ID,PH,,7.889517920757199e-10,2.269179205967467,EL_to_NH3_[ID]
SG,ID,PH,,7.889517920757199e-10,5.739409830136562,NH3_Storage_[ID]
SG,ID,PH,,7.889517920757199e-10,1.0810549991638845e-07,NH3_to_EL_[ID]
SG,ID,PH,,7.889517920757199e-10,0.24083358921757542,NH3_to_HTH_[ID]
SG,ID,PH,,7.889517920757199e-10,2.7351872065953572e-11,FF_to_HTH_[ID]
SG,ID,PH,,7.889517920757199e-10,0.0,EL_Demand_[ID]
SG,ID,PH,,7.889517920757199e-10,0.0,HTH_Demand_[ID]
SG,ID,PH,,7.889517920757199e-10,2.0068872010246655e-10,RE_PV_Openfield_Lim_[PH]
SG,ID,PH,,7.889517920757199e-10,1.0229211510082373e-10,RE_PV_Rooftop_Lim_[PH]
SG,ID,PH,,7.889517920757199e-10,5.803170825712713,RE_WIND_Onshore_Lim_0_[PH]
SG,ID,PH,,7.889517920757199e-10,8.410102141287062e-11,RE_WIND_Onshore_Lim_1_[PH]
SG,ID,PH,,7.889517920757199e-10,6.628275862330321e-11,RE_WIND_Onshore_Lim_2_[PH]
SG,ID,PH,,7.889517920757199e-10,5.580432504674545e-11,RE_WIND_Onshore_Lim_3_[PH]
SG,ID,PH,,7.889517920757199e-10,4.9411097588446026e-11,RE_WIND_Onshore_Lim_4_[PH]
SG,ID,PH,,7.889517920757199e-10,4.5162033802930947e-11,RE_WIND_Onshore_Lim_5_[PH]
SG,ID,PH,,7.889517920757199e-10,3.90895009575034e-11,RE_WIND_Onshore_Lim_6_[PH]
SG,ID,PH,,7.889517920757199e-10,3.5239998895116825e-11,RE_WIND_Onshore_Lim_7_[PH]
SG,ID,PH,,7.889517920757199e-10,3.19564113626785e-11,RE_WIND_Onshore_Lim_8_[PH]
SG,ID,PH,,7.889517920757199e-10,2.808853160901181e-11,RE_WIND_Onshore_Lim_9_[PH]
SG,ID,PH,,7.889517920757199e-10,1.7046797795150526e-10,RE_WIND_Offshore_Lim_0_[PH]
SG,ID,PH,,7.889517920757199e-10,1.0560120056616533e-10,RE_WIND_Offshore_Lim_1_[PH]
SG,ID,PH,,7.889517920757199e-10,8.738866361234137e-11,RE_WIND_Offshore_Lim_2_[PH]
SG,ID,PH,,7.889517920757199e-10,6.706059847358245e-11,RE_WIND_Offshore_Lim_3_[PH]
SG,ID,PH,,7.889517920757199e-10,5.04011690870603e-11,RE_WIND_Offshore_Lim_4_[PH]
SG,ID,PH,,7.889517920757199e-10,3.9668229316036175e-11,RE_WIND_Offshore_Lim_5_[PH]
SG,ID,PH,,7.889517920757199e-10,3.012611630327272e-11,RE_WIND_Offshore_Lim_6_[PH]
SG,ID,PH,,7.889517920757199e-10,2.7213233207137067e-11,RE_WIND_Offshore_Lim_7_[PH]
SG,ID,PH,,7.889517920757199e-10,1.747090872079894e-11,RE_WIND_Offshore_Lim_8_[PH]
SG,ID,PH,,7.889517920757199e-10,0.0,RE_WIND_Offshore_Lim_9_[PH]
SG,ID,PH,,7.889517920757199e-10,0.03681151119593536,HYDRO_[PH]
SG,ID,PH,,7.889517920757199e-10,0.0,PP_CO2_[PH]
SG,ID,PH,,7.889517920757199e-10,4.59812446520938e-06,BESS_[PH]
SG,ID,PH,,7.889517920757199e-10,0.12644314849367905,EL_to_HTH_[PH]
SG,ID,PH,,7.889517920757199e-10,0.3153532476735395,EL_to_NH3_[PH]
SG,ID,PH,,7.889517920757199e-10,0.8767152620663865,NH3_Storage_[PH]
