country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
ID,PH,,,0.0,8.2,457.8,RE_PV_Openfield_Lim_[ID]
ID,PH,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,PH,,,0.0,30.2,666.0,RE_WIND_Onshore_Lim_0_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[ID]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[ID]
ID,PH,,,0.0,0.1,4.6,HYDRO_[ID]
ID,PH,,,0.0,0.0,0.0,PP_CO2_[ID]
ID,PH,,,0.0,5.1,284.1,BESS_[ID]
ID,PH,,,0.0,1.3,115.6,EL_to_HTH_[ID]
ID,PH,,,0.0,3.2,56.3,EL_to_NH3_[ID]
ID,PH,,,0.0,12.9,776.8,NH3_Storage_[ID]
ID,PH,,,0.0,0.4,5.5,NH3_to_EL_[ID]
ID,PH,,,0.0,0.3,22.5,NH3_to_HTH_[ID]
ID,PH,,,0.0,0.0,0.0,FF_to_HTH_[ID]
ID,PH,,,0.0,0.0,138.0,EL_Demand_[ID]
ID,PH,,,0.0,0.0,117.7,HTH_Demand_[ID]
ID,PH,,,0.0,2.6,154.2,RE_PV_Openfield_Lim_[PH]
ID,PH,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
ID,PH,,,0.0,2.1,62.0,RE_WIND_Onshore_Lim_0_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[PH]
ID,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[PH]
ID,PH,,,0.0,0.0,3.3,HYDRO_[PH]
ID,PH,,,0.0,0.0,0.0,PP_CO2_[PH]
ID,PH,,,0.0,4.5,248.5,BESS_[PH]
ID,PH,,,0.0,0.1,11.3,EL_to_HTH_[PH]
ID,PH,,,0.0,0.2,3.2,EL_to_NH3_[PH]
ID,PH,,,0.0,2.0,117.1,NH3_Storage_[PH]
ID,PH,,,0.0,0.1,1.2,NH3_to_EL_[PH]
ID,PH,,,0.0,0.0,2.2,NH3_to_HTH_[PH]
ID,PH,,,0.0,0.0,0.0,FF_to_HTH_[PH]
ID,PH,,,0.0,0.0,36.4,EL_Demand_[PH]
ID,PH,,,0.0,0.0,11.5,HTH_Demand_[PH]
ID,PH,,,170.9,1.3,69.8,RE_PV_Openfield_Lim_[ID]
ID,PH,,,170.9,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,PH,,,170.9,16.8,370.5,RE_WIND_Onshore_Lim_0_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Onshore_Lim_1_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Onshore_Lim_2_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Onshore_Lim_3_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Onshore_Lim_4_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Onshore_Lim_5_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Onshore_Lim_6_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Onshore_Lim_7_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Onshore_Lim_8_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Onshore_Lim_9_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_0_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_1_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_2_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_3_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_4_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_5_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_6_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_7_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_8_[ID]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_9_[ID]
ID,PH,,,170.9,0.1,4.6,HYDRO_[ID]
ID,PH,,,170.9,5.7,75.3,PP_CO2_[ID]
ID,PH,,,170.9,0.1,7.0,BESS_[ID]
ID,PH,,,170.9,1.3,115.6,EL_to_HTH_[ID]
ID,PH,,,170.9,0.0,0.0,EL_to_NH3_[ID]
ID,PH,,,170.9,0.0,0.0,NH3_Storage_[ID]
ID,PH,,,170.9,0.0,0.0,NH3_to_EL_[ID]
ID,PH,,,170.9,0.0,0.0,NH3_to_HTH_[ID]
ID,PH,,,170.9,9.4,114.6,FF_to_HTH_[ID]
ID,PH,,,170.9,0.0,138.0,EL_Demand_[ID]
ID,PH,,,170.9,0.0,117.7,HTH_Demand_[ID]
ID,PH,,,170.9,0.1,3.7,RE_PV_Openfield_Lim_[PH]
ID,PH,,,170.9,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
ID,PH,,,170.9,2.2,65.3,RE_WIND_Onshore_Lim_0_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Onshore_Lim_1_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Onshore_Lim_2_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Onshore_Lim_3_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Onshore_Lim_4_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Onshore_Lim_5_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Onshore_Lim_6_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Onshore_Lim_7_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Onshore_Lim_8_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Onshore_Lim_9_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_0_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_1_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_2_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_3_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_4_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_5_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_6_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_7_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_8_[PH]
ID,PH,,,170.9,0.0,0.0,RE_WIND_Offshore_Lim_9_[PH]
ID,PH,,,170.9,0.1,3.3,HYDRO_[PH]
ID,PH,,,170.9,2.1,23.3,PP_CO2_[PH]
ID,PH,,,170.9,0.0,0.8,BESS_[PH]
ID,PH,,,170.9,0.1,11.3,EL_to_HTH_[PH]
ID,PH,,,170.9,0.0,0.0,EL_to_NH3_[PH]
ID,PH,,,170.9,0.0,0.0,NH3_Storage_[PH]
ID,PH,,,170.9,0.0,0.0,NH3_to_EL_[PH]
ID,PH,,,170.9,0.0,0.0,NH3_to_HTH_[PH]
ID,PH,,,170.9,0.7,11.0,FF_to_HTH_[PH]
ID,PH,,,170.9,0.0,36.4,EL_Demand_[PH]
ID,PH,,,170.9,0.0,11.5,HTH_Demand_[PH]
ID,PH,,,152.0,1.7,92.2,RE_PV_Openfield_Lim_[ID]
ID,PH,,,152.0,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,PH,,,152.0,17.8,391.8,RE_WIND_Onshore_Lim_0_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[ID]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[ID]
ID,PH,,,152.0,0.1,4.6,HYDRO_[ID]
ID,PH,,,152.0,5.2,73.4,PP_CO2_[ID]
ID,PH,,,152.0,0.1,7.5,BESS_[ID]
ID,PH,,,152.0,1.3,115.6,EL_to_HTH_[ID]
ID,PH,,,152.0,0.0,0.0,EL_to_NH3_[ID]
ID,PH,,,152.0,0.0,0.0,NH3_Storage_[ID]
ID,PH,,,152.0,0.0,0.0,NH3_to_EL_[ID]
ID,PH,,,152.0,0.0,0.0,NH3_to_HTH_[ID]
ID,PH,,,152.0,8.6,116.6,FF_to_HTH_[ID]
ID,PH,,,152.0,0.0,138.0,EL_Demand_[ID]
ID,PH,,,152.0,0.0,117.7,HTH_Demand_[ID]
ID,PH,,,152.0,0.2,9.1,RE_PV_Openfield_Lim_[PH]
ID,PH,,,152.0,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
ID,PH,,,152.0,2.2,64.9,RE_WIND_Onshore_Lim_0_[PH]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[PH]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[PH]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[PH]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[PH]
ID,PH,,,152.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[PH]
