country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
ID,PH,,,0.0,3.7,RE_PV_Openfield_Lim_[ID]
ID,PH,,,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,PH,,,0.0,23.8,RE_WIND_Onshore_Lim_0_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Onshore_Lim_1_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Onshore_Lim_2_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Onshore_Lim_3_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Onshore_Lim_4_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Onshore_Lim_5_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Onshore_Lim_6_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Onshore_Lim_7_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Onshore_Lim_8_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Onshore_Lim_9_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_0_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_1_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_2_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_3_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_4_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_5_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_6_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_7_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_8_[ID]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_9_[ID]
ID,PH,,,0.0,0.1,HYDRO_[ID]
ID,PH,,,0.0,0.0,PP_CO2_[ID]
ID,PH,,,0.0,0.7,BESS_[ID]
ID,PH,,,0.0,1.3,EL_to_HTH_[ID]
ID,PH,,,0.0,2.1,EL_to_NH3_[ID]
ID,PH,,,0.0,5.5,NH3_Storage_[ID]
ID,PH,,,0.0,0.0,NH3_to_EL_[ID]
ID,PH,,,0.0,0.2,NH3_to_HTH_[ID]
ID,PH,,,0.0,0.0,FF_to_HTH_[ID]
ID,PH,,,0.0,0.0,EL_Demand_[ID]
ID,PH,,,0.0,0.0,HTH_Demand_[ID]
ID,PH,,,0.0,0.0,RE_PV_Openfield_Lim_[PH]
ID,PH,,,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
ID,PH,,,0.0,5.8,RE_WIND_Onshore_Lim_0_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Onshore_Lim_1_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Onshore_Lim_2_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Onshore_Lim_3_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Onshore_Lim_4_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Onshore_Lim_5_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Onshore_Lim_6_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Onshore_Lim_7_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Onshore_Lim_8_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Onshore_Lim_9_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_0_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_1_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_2_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_3_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_4_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_5_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_6_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_7_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_8_[PH]
ID,PH,,,0.0,0.0,RE_WIND_Offshore_Lim_9_[PH]
ID,PH,,,0.0,0.0,HYDRO_[PH]
ID,PH,,,0.0,0.0,PP_CO2_[PH]
ID,PH,,,0.0,0.0,BESS_[PH]
ID,PH,,,0.0,0.1,EL_to_HTH_[PH]
ID,PH,,,0.0,0.3,EL_to_NH3_[PH]
ID,PH,,,0.0,2.5,NH3_Storage_[PH]
ID,PH,,,0.0,0.3,NH3_to_EL_[PH]
ID,PH,,,0.0,0.0,NH3_to_HTH_[PH]
ID,PH,,,0.0,0.0,FF_to_HTH_[PH]
ID,PH,,,0.0,0.0,EL_Demand_[PH]
ID,PH,,,0.0,0.0,HTH_Demand_[PH]
ID,PH,,,0.0,7.9,EL_Transport_[ID-PH]
ID,PH,,,0.0,0.1,NH3_Transport_[ID-PH]
ID,PH,,,116.9,1.5,RE_PV_Openfield_Lim_[ID]
ID,PH,,,116.9,0.0,RE_PV_Rooftop_Lim_[ID]
ID,PH,,,116.9,16.9,RE_WIND_Onshore_Lim_0_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_1_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_2_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_3_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_4_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_5_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_6_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_7_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_8_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_9_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_0_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_1_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_2_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_3_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_4_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_5_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_6_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_7_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_8_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_9_[ID]
ID,PH,,,116.9,0.1,HYDRO_[ID]
ID,PH,,,116.9,3.7,PP_CO2_[ID]
ID,PH,,,116.9,0.4,BESS_[ID]
ID,PH,,,116.9,1.3,EL_to_HTH_[ID]
ID,PH,,,116.9,0.0,EL_to_NH3_[ID]
ID,PH,,,116.9,0.0,NH3_Storage_[ID]
ID,PH,,,116.9,0.0,NH3_to_EL_[ID]
ID,PH,,,116.9,0.0,NH3_to_HTH_[ID]
ID,PH,,,116.9,9.0,FF_to_HTH_[ID]
ID,PH,,,116.9,0.0,EL_Demand_[ID]
ID,PH,,,116.9,0.0,HTH_Demand_[ID]
ID,PH,,,116.9,0.0,RE_PV_Openfield_Lim_[PH]
ID,PH,,,116.9,0.0,RE_PV_Rooftop_Lim_[PH]
ID,PH,,,116.9,2.7,RE_WIND_Onshore_Lim_0_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_1_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_2_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_3_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_4_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_5_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_6_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_7_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_8_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_9_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_0_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_1_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_2_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_3_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_4_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_5_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_6_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_7_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_8_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_9_[PH]
ID,PH,,,116.9,0.1,HYDRO_[PH]
ID,PH,,,116.9,0.3,PP_CO2_[PH]
ID,PH,,,116.9,0.1,BESS_[PH]
ID,PH,,,116.9,0.1,EL_to_HTH_[PH]
ID,PH,,,116.9,0.0,EL_to_NH3_[PH]
ID,PH,,,116.9,0.0,NH3_Storage_[PH]
ID,PH,,,116.9,0.0,NH3_to_EL_[PH]
ID,PH,,,116.9,0.0,NH3_to_HTH_[PH]
ID,PH,,,116.9,0.6,FF_to_HTH_[PH]
ID,PH,,,116.9,0.0,EL_Demand_[PH]
ID,PH,,,116.9,0.0,HTH_Demand_[PH]
ID,PH,,,116.9,1.9,EL_Transport_[ID-PH]
ID,PH,,,116.9,0.0,NH3_Transport_[ID-PH]
ID,PH,,,116.9,1.5,RE_PV_Openfield_Lim_[ID]
ID,PH,,,116.9,0.0,RE_PV_Rooftop_Lim_[ID]
ID,PH,,,116.9,16.9,RE_WIND_Onshore_Lim_0_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_1_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_2_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_3_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_4_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_5_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_6_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_7_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_8_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_9_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_0_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_1_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_2_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_3_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_4_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_5_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_6_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_7_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_8_[ID]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_9_[ID]
ID,PH,,,116.9,0.1,HYDRO_[ID]
ID,PH,,,116.9,3.7,PP_CO2_[ID]
ID,PH,,,116.9,0.4,BESS_[ID]
ID,PH,,,116.9,1.3,EL_to_HTH_[ID]
ID,PH,,,116.9,0.0,EL_to_NH3_[ID]
ID,PH,,,116.9,0.0,NH3_Storage_[ID]
ID,PH,,,116.9,0.0,NH3_to_EL_[ID]
ID,PH,,,116.9,0.0,NH3_to_HTH_[ID]
ID,PH,,,116.9,9.0,FF_to_HTH_[ID]
ID,PH,,,116.9,0.0,EL_Demand_[ID]
ID,PH,,,116.9,0.0,HTH_Demand_[ID]
ID,PH,,,116.9,0.0,RE_PV_Openfield_Lim_[PH]
ID,PH,,,116.9,0.0,RE_PV_Rooftop_Lim_[PH]
ID,PH,,,116.9,2.7,RE_WIND_Onshore_Lim_0_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_1_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_2_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_3_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_4_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_5_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_6_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_7_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_8_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Onshore_Lim_9_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_0_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_1_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_2_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_3_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_4_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_5_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_6_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_7_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_8_[PH]
ID,PH,,,116.9,0.0,RE_WIND_Offshore_Lim_9_[PH]
