country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,ID,,,87.0,2.8,RE_PV_Openfield_Lim_[ID]
SG,ID,,,87.0,0.0,RE_PV_Rooftop_Lim_[ID]
SG,ID,,,87.0,22.0,RE_WIND_Onshore_Lim_0_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_1_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_2_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_3_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_4_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_5_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_6_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_7_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_8_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_9_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Offshore_Lim_0_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Offshore_Lim_1_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Offshore_Lim_2_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Offshore_Lim_3_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Offshore_Lim_4_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Offshore_Lim_5_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Offshore_Lim_6_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Offshore_Lim_7_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Offshore_Lim_8_[ID]
SG,ID,,,87.0,0.0,RE_WIND_Offshore_Lim_9_[ID]
SG,ID,,,87.0,0.1,HYDRO_[ID]
SG,ID,,,87.0,3.8,PP_CO2_[ID]
SG,ID,,,87.0,0.5,BESS_[ID]
SG,ID,,,87.0,1.3,EL_to_HTH_[ID]
SG,ID,,,87.0,0.0,EL_to_NH3_[ID]
SG,ID,,,87.0,0.0,NH3_Storage_[ID]
SG,ID,,,87.0,0.0,NH3_to_EL_[ID]
SG,ID,,,87.0,0.0,NH3_to_HTH_[ID]
SG,ID,,,87.0,6.6,FF_to_HTH_[ID]
SG,ID,,,87.0,0.0,EL_Demand_[ID]
SG,ID,,,87.0,0.0,HTH_Demand_[ID]
SG,ID,,,87.0,0.0,RE_PV_Openfield_Lim_[SG]
SG,ID,,,87.0,0.0,RE_PV_Rooftop_Lim_[SG]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_0_[SG]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_1_[SG]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_2_[SG]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_3_[SG]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_4_[SG]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_5_[SG]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_6_[SG]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_7_[SG]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_8_[SG]
SG,ID,,,87.0,0.0,RE_WIND_Onshore_Lim_9_[SG]
