country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
KR,IN,JP,,0.0,8.2,742.1,RE_PV_Openfield_Lim_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[IN]
KR,IN,JP,,0.0,54.5,1469.1,RE_WIND_Onshore_Lim_0_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[IN]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[IN]
KR,IN,JP,,0.0,0.9,43.4,HYDRO_[IN]
KR,IN,JP,,0.0,0.0,0.0,PP_CO2_[IN]
KR,IN,JP,,0.0,5.7,316.3,BESS_[IN]
KR,IN,JP,,0.0,0.1,6.3,EL_to_HTH_[IN]
KR,IN,JP,,0.0,2.5,44.2,EL_to_NH3_[IN]
KR,IN,JP,,0.0,7.6,455.0,NH3_Storage_[IN]
KR,IN,JP,,0.0,3.2,40.6,NH3_to_EL_[IN]
KR,IN,JP,,0.0,0.0,1.2,NH3_to_HTH_[IN]
KR,IN,JP,,0.0,0.0,0.0,FF_to_HTH_[IN]
KR,IN,JP,,0.0,0.0,497.9,EL_Demand_[IN]
KR,IN,JP,,0.0,0.0,6.4,HTH_Demand_[IN]
KR,IN,JP,,0.0,0.4,10.2,RE_PV_Openfield_Lim_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[JP]
KR,IN,JP,,0.0,18.1,328.4,RE_WIND_Onshore_Lim_0_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[JP]
KR,IN,JP,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[JP]
KR,IN,JP,,0.0,1.1,34.7,HYDRO_[JP]
KR,IN,JP,,0.0,0.0,0.0,PP_CO2_[JP]
KR,IN,JP,,0.0,0.9,51.9,BESS_[JP]
KR,IN,JP,,0.0,0.0,2.6,EL_to_HTH_[JP]
KR,IN,JP,,0.0,1.4,24.5,EL_to_NH3_[JP]
KR,IN,JP,,0.0,4.0,238.3,NH3_Storage_[JP]
KR,IN,JP,,0.0,1.2,15.7,NH3_to_EL_[JP]
