country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
IN,JP,,,1.5483246938515175e-08,7.306325612121075,RE_PV_Openfield_Lim_[IN]
IN,JP,,,1.5483246938515175e-08,2.2080363473783555e-09,RE_PV_Rooftop_Lim_[IN]
IN,JP,,,1.5483246938515175e-08,67.24690203065357,RE_WIND_Onshore_Lim_0_[IN]
IN,JP,,,1.5483246938515175e-08,9.119056916162833e-09,RE_WIND_Onshore_Lim_1_[IN]
IN,JP,,,1.5483246938515175e-08,4.6677538660737175e-09,RE_WIND_Onshore_Lim_2_[IN]
IN,JP,,,1.5483246938515175e-08,2.1419086731593243e-09,RE_WIND_Onshore_Lim_3_[IN]
IN,JP,,,1.5483246938515175e-08,1.8104505770119906e-09,RE_WIND_Onshore_Lim_4_[IN]
IN,JP,,,1.5483246938515175e-08,8.937929229281694e-10,RE_WIND_Onshore_Lim_5_[IN]
IN,JP,,,1.5483246938515175e-08,1.3483607748413372e-09,RE_WIND_Onshore_Lim_6_[IN]
IN,JP,,,1.5483246938515175e-08,6.83060404193754e-10,RE_WIND_Onshore_Lim_7_[IN]
IN,JP,,,1.5483246938515175e-08,6.264812231882592e-10,RE_WIND_Onshore_Lim_8_[IN]
IN,JP,,,1.5483246938515175e-08,4.590549264401109e-10,RE_WIND_Onshore_Lim_9_[IN]
IN,JP,,,1.5483246938515175e-08,6.289967610854643e-10,RE_WIND_Offshore_Lim_0_[IN]
IN,JP,,,1.5483246938515175e-08,3.541565985030619e-10,RE_WIND_Offshore_Lim_1_[IN]
IN,JP,,,1.5483246938515175e-08,2.465089519399681e-10,RE_WIND_Offshore_Lim_2_[IN]
IN,JP,,,1.5483246938515175e-08,1.329428555234067e-10,RE_WIND_Offshore_Lim_3_[IN]
IN,JP,,,1.5483246938515175e-08,0.0,RE_WIND_Offshore_Lim_4_[IN]
IN,JP,,,1.5483246938515175e-08,1.8283459990087683e-12,RE_WIND_Offshore_Lim_5_[IN]
IN,JP,,,1.5483246938515175e-08,0.0,RE_WIND_Offshore_Lim_6_[IN]
IN,JP,,,1.5483246938515175e-08,0.0,RE_WIND_Offshore_Lim_7_[IN]
IN,JP,,,1.5483246938515175e-08,0.0,RE_WIND_Offshore_Lim_8_[IN]
IN,JP,,,1.5483246938515175e-08,0.0,RE_WIND_Offshore_Lim_9_[IN]
IN,JP,,,1.5483246938515175e-08,0.36678708022699985,HYDRO_[IN]
IN,JP,,,1.5483246938515175e-08,0.0,PP_CO2_[IN]
IN,JP,,,1.5483246938515175e-08,10.718055382764947,BESS_[IN]
IN,JP,,,1.5483246938515175e-08,0.06982374283725365,EL_to_HTH_[IN]
IN,JP,,,1.5483246938515175e-08,1.0003900820548934,EL_to_NH3_[IN]
IN,JP,,,1.5483246938515175e-08,14.960206768356814,NH3_Storage_[IN]
IN,JP,,,1.5483246938515175e-08,3.719985218814736,NH3_to_EL_[IN]
IN,JP,,,1.5483246938515175e-08,0.013945705533706856,NH3_to_HTH_[IN]
IN,JP,,,1.5483246938515175e-08,8.02042200113622e-10,FF_to_HTH_[IN]
IN,JP,,,1.5483246938515175e-08,0.0,EL_Demand_[IN]
IN,JP,,,1.5483246938515175e-08,0.0,HTH_Demand_[IN]
IN,JP,,,1.5483246938515175e-08,10.09317385786061,RE_PV_Openfield_Lim_[JP]
IN,JP,,,1.5483246938515175e-08,4.242554478591876,RE_PV_Rooftop_Lim_[JP]
IN,JP,,,1.5483246938515175e-08,18.096156222385535,RE_WIND_Onshore_Lim_0_[JP]
IN,JP,,,1.5483246938515175e-08,1.6882208639446766e-09,RE_WIND_Onshore_Lim_1_[JP]
IN,JP,,,1.5483246938515175e-08,1.0360912703154513e-09,RE_WIND_Onshore_Lim_2_[JP]
IN,JP,,,1.5483246938515175e-08,4.0227273033934145e-10,RE_WIND_Onshore_Lim_3_[JP]
IN,JP,,,1.5483246938515175e-08,3.0818044616215695e-10,RE_WIND_Onshore_Lim_4_[JP]
IN,JP,,,1.5483246938515175e-08,1.7205762767520932e-10,RE_WIND_Onshore_Lim_5_[JP]
IN,JP,,,1.5483246938515175e-08,1.8157566732852514e-10,RE_WIND_Onshore_Lim_6_[JP]
IN,JP,,,1.5483246938515175e-08,1.2775824845321195e-10,RE_WIND_Onshore_Lim_7_[JP]
IN,JP,,,1.5483246938515175e-08,9.447018610015259e-11,RE_WIND_Onshore_Lim_8_[JP]
IN,JP,,,1.5483246938515175e-08,6.787526244788496e-11,RE_WIND_Onshore_Lim_9_[JP]
IN,JP,,,1.5483246938515175e-08,2.3345903133337528e-09,RE_WIND_Offshore_Lim_0_[JP]
IN,JP,,,1.5483246938515175e-08,1.075435441415558e-09,RE_WIND_Offshore_Lim_1_[JP]
IN,JP,,,1.5483246938515175e-08,1.7682540274606274e-09,RE_WIND_Offshore_Lim_2_[JP]
IN,JP,,,1.5483246938515175e-08,6.478257624032418e-10,RE_WIND_Offshore_Lim_3_[JP]
IN,JP,,,1.5483246938515175e-08,5.574124894871028e-10,RE_WIND_Offshore_Lim_4_[JP]
IN,JP,,,1.5483246938515175e-08,6.178838312228083e-10,RE_WIND_Offshore_Lim_5_[JP]
IN,JP,,,1.5483246938515175e-08,1.8946207190916545e-10,RE_WIND_Offshore_Lim_6_[JP]
IN,JP,,,1.5483246938515175e-08,1.7822154353440815e-10,RE_WIND_Offshore_Lim_7_[JP]
IN,JP,,,1.5483246938515175e-08,0.0,RE_WIND_Offshore_Lim_8_[JP]
IN,JP,,,1.5483246938515175e-08,0.0,RE_WIND_Offshore_Lim_9_[JP]
IN,JP,,,1.5483246938515175e-08,0.6065717906499907,HYDRO_[JP]
IN,JP,,,1.5483246938515175e-08,5.1519888223242976e-12,PP_CO2_[JP]
