country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
KR,IN,,,0.0,6.8,615.8,RE_PV_Openfield_Lim_[IN]
KR,IN,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[IN]
KR,IN,,,0.0,61.0,1644.1,RE_WIND_Onshore_Lim_0_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[IN]
KR,IN,,,0.0,0.8,43.4,HYDRO_[IN]
KR,IN,,,0.0,0.0,0.0,PP_CO2_[IN]
KR,IN,,,0.0,6.5,364.0,BESS_[IN]
KR,IN,,,0.0,0.1,6.3,EL_to_HTH_[IN]
KR,IN,,,0.0,2.5,43.5,EL_to_NH3_[IN]
KR,IN,,,0.0,8.0,477.6,NH3_Storage_[IN]
KR,IN,,,0.0,3.4,42.6,NH3_to_EL_[IN]
KR,IN,,,0.0,0.0,1.2,NH3_to_HTH_[IN]
KR,IN,,,0.0,0.0,0.0,FF_to_HTH_[IN]
KR,IN,,,0.0,0.0,497.9,EL_Demand_[IN]
KR,IN,,,0.0,0.0,6.4,HTH_Demand_[IN]
KR,IN,,,0.0,1.8,73.5,RE_PV_Openfield_Lim_[KR]
KR,IN,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[KR]
KR,IN,,,0.0,8.4,164.8,RE_WIND_Onshore_Lim_0_[KR]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[KR]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[KR]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[KR]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[KR]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[KR]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[KR]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[KR]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[KR]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[KR]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[KR]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[KR]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[KR]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[KR]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[KR]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[KR]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[KR]
