country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
NG,MA,KE,,5.416642268602715e-06,0.0,RE_PV_Openfield_Lim_[KE]
NG,MA,KE,,5.416642268602715e-06,0.0,RE_PV_Rooftop_Lim_[KE]
NG,MA,KE,,5.416642268602715e-06,0.007354736802155653,HYDRO_[KE]
NG,MA,KE,,5.416642268602715e-06,2.3579560992601355e-06,PP_CO2_[KE]
NG,MA,KE,,5.416642268602715e-06,0.019141378267847342,BESS_[KE]
NG,MA,KE,,5.416642268602715e-06,0.06389879973197954,EL_to_HTH_[KE]
NG,MA,KE,,5.416642268602715e-06,0.10360163598548694,EL_to_NH3_[KE]
NG,MA,KE,,5.416642268602715e-06,0.21591419664174263,NH3_Storage_[KE]
NG,MA,KE,,5.416642268602715e-06,8.532177861617928e-07,NH3_to_EL_[KE]
NG,MA,KE,,5.416642268602715e-06,0.011624023522798784,NH3_to_HTH_[KE]
NG,MA,KE,,5.416642268602715e-06,2.948717280404775e-09,FF_to_HTH_[KE]
NG,MA,KE,,5.416642268602715e-06,0.0,EL_Demand_[KE]
NG,MA,KE,,5.416642268602715e-06,0.0,HTH_Demand_[KE]
NG,MA,KE,,5.416642268602715e-06,0.05397626907730645,RE_PV_Openfield_Lim_[MA]
NG,MA,KE,,5.416642268602715e-06,0.0,RE_PV_Rooftop_Lim_[MA]
NG,MA,KE,,5.416642268602715e-06,0.01865813416606491,HYDRO_[MA]
NG,MA,KE,,5.416642268602715e-06,0.0,PP_CO2_[MA]
NG,MA,KE,,5.416642268602715e-06,4.129182456426949e-06,BESS_[MA]
NG,MA,KE,,5.416642268602715e-06,0.08586482943730284,EL_to_HTH_[MA]
NG,MA,KE,,5.416642268602715e-06,0.1796995664964296,EL_to_NH3_[MA]
NG,MA,KE,,5.416642268602715e-06,0.43281603551500164,NH3_Storage_[MA]
NG,MA,KE,,5.416642268602715e-06,1.4059607877611963e-07,NH3_to_EL_[MA]
NG,MA,KE,,5.416642268602715e-06,0.01609646363397567,NH3_to_HTH_[MA]
NG,MA,KE,,5.416642268602715e-06,3.426497546479394e-08,FF_to_HTH_[MA]
NG,MA,KE,,5.416642268602715e-06,0.0,EL_Demand_[MA]
NG,MA,KE,,5.416642268602715e-06,0.0,HTH_Demand_[MA]
NG,MA,KE,,5.416642268602715e-06,1.6959514137503418,RE_PV_Openfield_Lim_[NG]
NG,MA,KE,,5.416642268602715e-06,1.8602675337134515,RE_PV_Rooftop_Lim_[NG]
NG,MA,KE,,5.416642268602715e-06,0.05046627157944132,HYDRO_[NG]
NG,MA,KE,,5.416642268602715e-06,0.0,PP_CO2_[NG]
NG,MA,KE,,5.416642268602715e-06,0.8374518912859397,BESS_[NG]
NG,MA,KE,,5.416642268602715e-06,0.5062394944566447,EL_to_HTH_[NG]
NG,MA,KE,,5.416642268602715e-06,0.32320502541629903,EL_to_NH3_[NG]
NG,MA,KE,,5.416642268602715e-06,1.6174034203109988,NH3_Storage_[NG]
NG,MA,KE,,5.416642268602715e-06,6.239704908679524e-07,NH3_to_EL_[NG]
NG,MA,KE,,5.416642268602715e-06,0.08706879651601869,NH3_to_HTH_[NG]
NG,MA,KE,,5.416642268602715e-06,1.0252699702194212e-06,FF_to_HTH_[NG]
NG,MA,KE,,5.416642268602715e-06,0.0,EL_Demand_[NG]
NG,MA,KE,,5.416642268602715e-06,0.0,HTH_Demand_[NG]
NG,MA,KE,,5.416642268602715e-06,3.972775833380148e-06,EL_Transport_[KE-MA]
NG,MA,KE,,5.416642268602715e-06,0.0016269769880423897,NH3_Transport_[KE-MA]
NG,MA,KE,,5.416642268602715e-06,6.428188587588864,EL_Transport_[KE-NG]
NG,MA,KE,,5.416642268602715e-06,0.0027481312593128126,NH3_Transport_[KE-NG]
NG,MA,KE,,5.416642268602715e-06,4.199621775007777,EL_Transport_[MA-NG]
NG,MA,KE,,5.416642268602715e-06,0.005916899960765679,NH3_Transport_[MA-NG]
NG,MA,KE,,5.416642268602715e-06,4.457637523835027,RE_WIND_Onshore_Lim_[KE]
NG,MA,KE,,5.416642268602715e-06,4.818643562456092,RE_WIND_Onshore_Lim_[MA]
NG,MA,KE,,5.416642268602715e-06,7.054076091105887,RE_WIND_Onshore_Lim_[NG]
NG,MA,KE,,5.416642268602715e-06,0.0,RE_WIND_Offshore_Lim_[KE]
NG,MA,KE,,5.416642268602715e-06,0.0,RE_WIND_Offshore_Lim_[MA]
NG,MA,KE,,5.416642268602715e-06,0.0,RE_WIND_Offshore_Lim_[NG]
NG,MA,KE,,56.19469231092189,0.0,RE_PV_Openfield_Lim_[KE]
NG,MA,KE,,56.19469231092189,0.0,RE_PV_Rooftop_Lim_[KE]
NG,MA,KE,,56.19469231092189,0.01585046957753899,HYDRO_[KE]
NG,MA,KE,,56.19469231092189,8.287402927969318e-07,PP_CO2_[KE]
NG,MA,KE,,56.19469231092189,0.020295674878264343,BESS_[KE]
NG,MA,KE,,56.19469231092189,0.06337776404613303,EL_to_HTH_[KE]
NG,MA,KE,,56.19469231092189,7.361686179915843e-07,EL_to_NH3_[KE]
NG,MA,KE,,56.19469231092189,8.968927129383593e-07,NH3_Storage_[KE]
NG,MA,KE,,56.19469231092189,1.3882244154459193e-06,NH3_to_EL_[KE]
NG,MA,KE,,56.19469231092189,2.031455493414919e-07,NH3_to_HTH_[KE]
NG,MA,KE,,56.19469231092189,0.2860268669928177,FF_to_HTH_[KE]
NG,MA,KE,,56.19469231092189,0.0,EL_Demand_[KE]
NG,MA,KE,,56.19469231092189,0.0,HTH_Demand_[KE]
NG,MA,KE,,56.19469231092189,0.05995374185710331,RE_PV_Openfield_Lim_[MA]
NG,MA,KE,,56.19469231092189,0.0,RE_PV_Rooftop_Lim_[MA]
NG,MA,KE,,56.19469231092189,0.03747695268980902,HYDRO_[MA]
NG,MA,KE,,56.19469231092189,0.13353276354391463,PP_CO2_[MA]
NG,MA,KE,,56.19469231092189,0.04634050913457362,BESS_[MA]
NG,MA,KE,,56.19469231092189,0.08556372862857232,EL_to_HTH_[MA]
NG,MA,KE,,56.19469231092189,0.0005083438430113249,EL_to_NH3_[MA]
NG,MA,KE,,56.19469231092189,0.0006426829633524739,NH3_Storage_[MA]
NG,MA,KE,,56.19469231092189,0.0004087466614710111,NH3_to_EL_[MA]
NG,MA,KE,,56.19469231092189,0.0001390109870891892,NH3_to_HTH_[MA]
NG,MA,KE,,56.19469231092189,0.39068814529101803,FF_to_HTH_[MA]
NG,MA,KE,,56.19469231092189,0.0,EL_Demand_[MA]
NG,MA,KE,,56.19469231092189,0.0,HTH_Demand_[MA]
NG,MA,KE,,56.19469231092189,2.6731259229287105,RE_PV_Openfield_Lim_[NG]
NG,MA,KE,,56.19469231092189,0.0,RE_PV_Rooftop_Lim_[NG]
NG,MA,KE,,56.19469231092189,0.07087040509137564,HYDRO_[NG]
NG,MA,KE,,56.19469231092189,2.779167186640892,PP_CO2_[NG]
NG,MA,KE,,56.19469231092189,1.2090123277267348,BESS_[NG]
NG,MA,KE,,56.19469231092189,0.458856402349794,EL_to_HTH_[NG]
NG,MA,KE,,56.19469231092189,7.323641734348892e-07,EL_to_NH3_[NG]
NG,MA,KE,,56.19469231092189,0.000671087570500454,NH3_Storage_[NG]
NG,MA,KE,,56.19469231092189,7.419275710205072e-07,NH3_to_EL_[NG]
NG,MA,KE,,56.19469231092189,0.00035484473733594327,NH3_to_HTH_[NG]
NG,MA,KE,,56.19469231092189,4.034696096613298,FF_to_HTH_[NG]
NG,MA,KE,,56.19469231092189,0.0,EL_Demand_[NG]
NG,MA,KE,,56.19469231092189,0.0,HTH_Demand_[NG]
NG,MA,KE,,56.19469231092189,1.8450263440520593e-06,EL_Transport_[KE-MA]
NG,MA,KE,,56.19469231092189,2.6046482668390844e-09,NH3_Transport_[KE-MA]
NG,MA,KE,,56.19469231092189,1.1360011641843974,EL_Transport_[KE-NG]
NG,MA,KE,,56.19469231092189,1.749805766769465e-08,NH3_Transport_[KE-NG]
NG,MA,KE,,56.19469231092189,0.9905828690169053,EL_Transport_[MA-NG]
NG,MA,KE,,56.19469231092189,8.8005489694738e-06,NH3_Transport_[MA-NG]
NG,MA,KE,,56.19469231092189,1.5664017475425074,RE_WIND_Onshore_Lim_[KE]
NG,MA,KE,,56.19469231092189,2.155228789259238,RE_WIND_Onshore_Lim_[MA]
NG,MA,KE,,56.19469231092189,8.383016792930242,RE_WIND_Onshore_Lim_[NG]
NG,MA,KE,,56.19469231092189,0.0,RE_WIND_Offshore_Lim_[KE]
NG,MA,KE,,56.19469231092189,0.0,RE_WIND_Offshore_Lim_[MA]
NG,MA,KE,,56.19469231092189,0.0,RE_WIND_Offshore_Lim_[NG]
NG,MA,KE,,56.199258380494946,0.0,RE_PV_Openfield_Lim_[KE]
NG,MA,KE,,56.199258380494946,0.0,RE_PV_Rooftop_Lim_[KE]
NG,MA,KE,,56.199258380494946,0.015850469625781367,HYDRO_[KE]
NG,MA,KE,,56.199258380494946,4.7155062017538075e-07,PP_CO2_[KE]
NG,MA,KE,,56.199258380494946,0.020254238501040633,BESS_[KE]
NG,MA,KE,,56.199258380494946,0.06337773696651652,EL_to_HTH_[KE]
NG,MA,KE,,56.199258380494946,4.0857358894406793e-07,EL_to_NH3_[KE]
NG,MA,KE,,56.199258380494946,5.020564398921438e-07,NH3_Storage_[KE]
NG,MA,KE,,56.199258380494946,7.782382262166737e-07,NH3_to_EL_[KE]
NG,MA,KE,,56.199258380494946,1.1592008113478736e-07,NH3_to_HTH_[KE]
NG,MA,KE,,56.199258380494946,0.28603120376380475,FF_to_HTH_[KE]
NG,MA,KE,,56.199258380494946,0.0,EL_Demand_[KE]
NG,MA,KE,,56.199258380494946,0.0,HTH_Demand_[KE]
NG,MA,KE,,56.199258380494946,0.059793141899882926,RE_PV_Openfield_Lim_[MA]
NG,MA,KE,,56.199258380494946,0.0,RE_PV_Rooftop_Lim_[MA]
NG,MA,KE,,56.199258380494946,0.03747695497384111,HYDRO_[MA]
NG,MA,KE,,56.199258380494946,0.1334213498599656,PP_CO2_[MA]
NG,MA,KE,,56.199258380494946,0.046262534932064954,BESS_[MA]
NG,MA,KE,,56.199258380494946,0.08556364557517863,EL_to_HTH_[MA]
NG,MA,KE,,56.199258380494946,0.0005083134281321423,EL_to_NH3_[MA]
NG,MA,KE,,56.199258380494946,0.0006424553361667299,NH3_Storage_[MA]
NG,MA,KE,,56.199258380494946,0.00040872334042423014,NH3_to_EL_[MA]
NG,MA,KE,,56.199258380494946,0.00013894979881844203,NH3_to_HTH_[MA]
NG,MA,KE,,56.199258380494946,0.390642447411871,FF_to_HTH_[MA]
NG,MA,KE,,56.199258380494946,0.0,EL_Demand_[MA]
NG,MA,KE,,56.199258380494946,0.0,HTH_Demand_[MA]
NG,MA,KE,,56.199258380494946,2.6729004089579207,RE_PV_Openfield_Lim_[NG]
NG,MA,KE,,56.199258380494946,0.0,RE_PV_Rooftop_Lim_[NG]
NG,MA,KE,,56.199258380494946,0.07087040511846147,HYDRO_[NG]
NG,MA,KE,,56.199258380494946,2.7794582316689334,PP_CO2_[NG]
NG,MA,KE,,56.199258380494946,1.2087063696974691,BESS_[NG]
NG,MA,KE,,56.199258380494946,0.4587871228422193,EL_to_HTH_[NG]
NG,MA,KE,,56.199258380494946,4.1247652972234044e-07,EL_to_NH3_[NG]
NG,MA,KE,,56.199258380494946,0.00067093184058544,NH3_Storage_[NG]
NG,MA,KE,,56.199258380494946,4.557241432901586e-07,NH3_to_EL_[NG]
NG,MA,KE,,56.199258380494946,0.0003548674389743167,NH3_to_HTH_[NG]
NG,MA,KE,,56.199258380494946,4.035037102542687,FF_to_HTH_[NG]
NG,MA,KE,,56.199258380494946,0.0,EL_Demand_[NG]
NG,MA,KE,,56.199258380494946,0.0,HTH_Demand_[NG]
NG,MA,KE,,56.199258380494946,1.05029569042555e-06,EL_Transport_[KE-MA]
NG,MA,KE,,56.199258380494946,1.6266726468947563e-09,NH3_Transport_[KE-MA]
NG,MA,KE,,56.199258380494946,1.1361020026946826,EL_Transport_[KE-NG]
NG,MA,KE,,56.199258380494946,9.520737707574523e-09,NH3_Transport_[KE-NG]
NG,MA,KE,,56.199258380494946,0.9909422286143493,EL_Transport_[MA-NG]
NG,MA,KE,,56.199258380494946,8.80115670130155e-06,NH3_Transport_[MA-NG]
NG,MA,KE,,56.199258380494946,1.5664716213597558,RE_WIND_Onshore_Lim_[KE]
NG,MA,KE,,56.199258380494946,2.155923691883816,RE_WIND_Onshore_Lim_[MA]
NG,MA,KE,,56.199258380494946,8.382196048931759,RE_WIND_Onshore_Lim_[NG]
NG,MA,KE,,56.199258380494946,0.0,RE_WIND_Offshore_Lim_[KE]
NG,MA,KE,,56.199258380494946,0.0,RE_WIND_Offshore_Lim_[MA]
NG,MA,KE,,56.199258380494946,0.0,RE_WIND_Offshore_Lim_[NG]
NG,MA,KE,,55.000000246129325,0.0,RE_PV_Openfield_Lim_[KE]
NG,MA,KE,,55.000000246129325,0.0,RE_PV_Rooftop_Lim_[KE]
NG,MA,KE,,55.000000246129325,0.01585046961685134,HYDRO_[KE]
NG,MA,KE,,55.000000246129325,5.89896213460401e-07,PP_CO2_[KE]
NG,MA,KE,,55.000000246129325,0.02286190999436326,BESS_[KE]
NG,MA,KE,,55.000000246129325,0.06337782642813182,EL_to_HTH_[KE]
NG,MA,KE,,55.000000246129325,5.077544489303982e-07,EL_to_NH3_[KE]
NG,MA,KE,,55.000000246129325,6.190034692182917e-07,NH3_Storage_[KE]
