country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
ZA,NG,KE,,0.0,0.8,33.8,RE_PV_Openfield_Lim_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
ZA,NG,KE,,0.0,1.4,22.6,RE_WIND_Onshore_Lim_0_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[KE]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[KE]
ZA,NG,KE,,0.0,0.0,0.6,HYDRO_[KE]
ZA,NG,KE,,0.0,0.0,0.0,PP_CO2_[KE]
ZA,NG,KE,,0.0,0.7,36.5,BESS_[KE]
ZA,NG,KE,,0.0,0.1,5.7,EL_to_HTH_[KE]
ZA,NG,KE,,0.0,0.3,4.5,EL_to_NH3_[KE]
ZA,NG,KE,,0.0,0.7,43.3,NH3_Storage_[KE]
ZA,NG,KE,,0.0,0.1,0.8,NH3_to_EL_[KE]
ZA,NG,KE,,0.0,0.0,1.1,NH3_to_HTH_[KE]
ZA,NG,KE,,0.0,0.0,0.0,FF_to_HTH_[KE]
ZA,NG,KE,,0.0,0.0,12.2,EL_Demand_[KE]
ZA,NG,KE,,0.0,0.0,5.8,HTH_Demand_[KE]
ZA,NG,KE,,0.0,6.4,267.3,RE_PV_Openfield_Lim_[NG]
ZA,NG,KE,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[NG]
ZA,NG,KE,,0.0,17.7,291.0,RE_WIND_Onshore_Lim_0_[NG]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[NG]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[NG]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[NG]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[NG]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[NG]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[NG]
ZA,NG,KE,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[NG]
