country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,KH,VN,,0.0,0.0,RE_PV_Openfield_Lim_[KH]
SG,KH,VN,,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
SG,KH,VN,,0.0,1.0,RE_WIND_Onshore_Lim_0_[KH]
SG,KH,VN,,0.0,0.5,RE_WIND_Onshore_Lim_1_[KH]
SG,KH,VN,,0.0,0.0,RE_WIND_Onshore_Lim_2_[KH]
SG,KH,VN,,0.0,0.0,RE_WIND_Onshore_Lim_3_[KH]
SG,KH,VN,,0.0,0.0,RE_WIND_Onshore_Lim_4_[KH]
SG,KH,VN,,0.0,0.0,RE_WIND_Onshore_Lim_5_[KH]
SG,KH,VN,,0.0,0.0,RE_WIND_Onshore_Lim_6_[KH]
SG,KH,VN,,0.0,0.0,RE_WIND_Onshore_Lim_7_[KH]
SG,KH,VN,,0.0,0.0,RE_WIND_Onshore_Lim_8_[KH]
SG,KH,VN,,0.0,0.0,RE_WIND_Onshore_Lim_9_[KH]
SG,KH,VN,,0.0,0.0,RE_WIND_Offshore_Lim_0_[KH]
SG,KH,VN,,0.0,0.0,RE_WIND_Offshore_Lim_1_[KH]
SG,KH,VN,,0.0,0.0,RE_WIND_Offshore_Lim_2_[KH]
SG,KH,VN,,0.0,0.0,RE_WIND_Offshore_Lim_3_[KH]
SG,KH,VN,,0.0,0.0,RE_WIND_Offshore_Lim_4_[KH]
SG,KH,VN,,0.0,0.0,RE_WIND_Offshore_Lim_5_[KH]
SG,KH,VN,,0.0,0.0,RE_WIND_Offshore_Lim_6_[KH]
SG,KH,VN,,0.0,0.0,RE_WIND_Offshore_Lim_7_[KH]
SG,KH,VN,,0.0,0.0,RE_WIND_Offshore_Lim_8_[KH]
SG,KH,VN,,0.0,0.0,RE_WIND_Offshore_Lim_9_[KH]
SG,KH,VN,,0.0,0.0,HYDRO_[KH]
SG,KH,VN,,0.0,0.0,PP_CO2_[KH]
SG,KH,VN,,0.0,0.0,BESS_[KH]
SG,KH,VN,,0.0,0.1,EL_to_HTH_[KH]
