country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,KH,,,8.576576550593555e-10,1.072951970800908,RE_PV_Openfield_Lim_[KH]
SG,KH,,,8.576576550593555e-10,1.582825521469542e-10,RE_PV_Rooftop_Lim_[KH]
SG,KH,,,8.576576550593555e-10,0.439619812885971,RE_WIND_Onshore_Lim_0_[KH]
SG,KH,,,8.576576550593555e-10,2.3751563811172223,RE_WIND_Onshore_Lim_1_[KH]
SG,KH,,,8.576576550593555e-10,4.726701376131391e-10,RE_WIND_Onshore_Lim_2_[KH]
SG,KH,,,8.576576550593555e-10,3.436442539273425e-10,RE_WIND_Onshore_Lim_3_[KH]
SG,KH,,,8.576576550593555e-10,3.0956108454037915e-10,RE_WIND_Onshore_Lim_4_[KH]
SG,KH,,,8.576576550593555e-10,2.0162562956998497e-10,RE_WIND_Onshore_Lim_5_[KH]
SG,KH,,,8.576576550593555e-10,1.689384303212699e-10,RE_WIND_Onshore_Lim_6_[KH]
SG,KH,,,8.576576550593555e-10,1.1453565800695998e-10,RE_WIND_Onshore_Lim_7_[KH]
SG,KH,,,8.576576550593555e-10,7.737958821917301e-11,RE_WIND_Onshore_Lim_8_[KH]
SG,KH,,,8.576576550593555e-10,3.6852968367518894e-11,RE_WIND_Onshore_Lim_9_[KH]
SG,KH,,,8.576576550593555e-10,0.0,RE_WIND_Offshore_Lim_0_[KH]
SG,KH,,,8.576576550593555e-10,0.0,RE_WIND_Offshore_Lim_1_[KH]
SG,KH,,,8.576576550593555e-10,0.0,RE_WIND_Offshore_Lim_2_[KH]
SG,KH,,,8.576576550593555e-10,0.0,RE_WIND_Offshore_Lim_3_[KH]
SG,KH,,,8.576576550593555e-10,0.0,RE_WIND_Offshore_Lim_4_[KH]
SG,KH,,,8.576576550593555e-10,0.0,RE_WIND_Offshore_Lim_5_[KH]
SG,KH,,,8.576576550593555e-10,0.0,RE_WIND_Offshore_Lim_6_[KH]
SG,KH,,,8.576576550593555e-10,0.0,RE_WIND_Offshore_Lim_7_[KH]
SG,KH,,,8.576576550593555e-10,0.0,RE_WIND_Offshore_Lim_8_[KH]
SG,KH,,,8.576576550593555e-10,0.0,RE_WIND_Offshore_Lim_9_[KH]
SG,KH,,,8.576576550593555e-10,0.030112271547501426,HYDRO_[KH]
SG,KH,,,8.576576550593555e-10,0.0,PP_CO2_[KH]
SG,KH,,,8.576576550593555e-10,0.4042821358606081,BESS_[KH]
SG,KH,,,8.576576550593555e-10,0.1258557703060364,EL_to_HTH_[KH]
SG,KH,,,8.576576550593555e-10,0.3819735063561848,EL_to_NH3_[KH]
SG,KH,,,8.576576550593555e-10,0.7158605645304118,NH3_Storage_[KH]
SG,KH,,,8.576576550593555e-10,8.362342709795186e-07,NH3_to_EL_[KH]
