country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,KH,,,0.0,1.1,RE_PV_Openfield_Lim_[KH]
SG,KH,,,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
SG,KH,,,0.0,0.4,RE_WIND_Onshore_Lim_0_[KH]
SG,KH,,,0.0,2.4,RE_WIND_Onshore_Lim_1_[KH]
SG,KH,,,0.0,0.0,RE_WIND_Onshore_Lim_2_[KH]
SG,KH,,,0.0,0.0,RE_WIND_Onshore_Lim_3_[KH]
SG,KH,,,0.0,0.0,RE_WIND_Onshore_Lim_4_[KH]
SG,KH,,,0.0,0.0,RE_WIND_Onshore_Lim_5_[KH]
SG,KH,,,0.0,0.0,RE_WIND_Onshore_Lim_6_[KH]
SG,KH,,,0.0,0.0,RE_WIND_Onshore_Lim_7_[KH]
SG,KH,,,0.0,0.0,RE_WIND_Onshore_Lim_8_[KH]
SG,KH,,,0.0,0.0,RE_WIND_Onshore_Lim_9_[KH]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_0_[KH]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_1_[KH]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_2_[KH]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_3_[KH]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_4_[KH]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_5_[KH]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_6_[KH]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_7_[KH]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_8_[KH]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_9_[KH]
SG,KH,,,0.0,0.0,HYDRO_[KH]
SG,KH,,,0.0,0.0,PP_CO2_[KH]
SG,KH,,,0.0,0.4,BESS_[KH]
SG,KH,,,0.0,0.1,EL_to_HTH_[KH]
SG,KH,,,0.0,0.4,EL_to_NH3_[KH]
SG,KH,,,0.0,0.7,NH3_Storage_[KH]
SG,KH,,,0.0,0.0,NH3_to_EL_[KH]
SG,KH,,,0.0,0.0,NH3_to_HTH_[KH]
SG,KH,,,0.0,0.0,FF_to_HTH_[KH]
SG,KH,,,0.0,0.0,EL_Demand_[KH]
SG,KH,,,0.0,0.0,HTH_Demand_[KH]
SG,KH,,,0.0,0.0,RE_PV_Openfield_Lim_[SG]
SG,KH,,,0.0,0.1,RE_PV_Rooftop_Lim_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Onshore_Lim_0_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Onshore_Lim_1_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Onshore_Lim_2_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Onshore_Lim_3_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Onshore_Lim_4_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Onshore_Lim_5_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Onshore_Lim_6_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Onshore_Lim_7_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Onshore_Lim_8_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Onshore_Lim_9_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_0_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_1_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_2_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_3_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_4_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_5_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_6_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_7_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_8_[SG]
SG,KH,,,0.0,0.0,RE_WIND_Offshore_Lim_9_[SG]
SG,KH,,,0.0,0.0,HYDRO_[SG]
SG,KH,,,0.0,0.0,PP_CO2_[SG]
SG,KH,,,0.0,0.1,BESS_[SG]
SG,KH,,,0.0,0.1,EL_to_HTH_[SG]
SG,KH,,,0.0,0.0,EL_to_NH3_[SG]
SG,KH,,,0.0,0.7,NH3_Storage_[SG]
SG,KH,,,0.0,0.1,NH3_to_EL_[SG]
SG,KH,,,0.0,0.0,NH3_to_HTH_[SG]
SG,KH,,,0.0,0.0,FF_to_HTH_[SG]
SG,KH,,,0.0,0.0,EL_Demand_[SG]
SG,KH,,,0.0,0.0,HTH_Demand_[SG]
SG,KH,,,0.0,0.8,EL_Transport_[KH-SG]
SG,KH,,,0.0,0.0,NH3_Transport_[KH-SG]
SG,KH,,,18.4,0.4,RE_PV_Openfield_Lim_[KH]
SG,KH,,,18.4,0.0,RE_PV_Rooftop_Lim_[KH]
SG,KH,,,18.4,1.2,RE_WIND_Onshore_Lim_0_[KH]
SG,KH,,,18.4,0.0,RE_WIND_Onshore_Lim_1_[KH]
SG,KH,,,18.4,0.0,RE_WIND_Onshore_Lim_2_[KH]
SG,KH,,,18.4,0.0,RE_WIND_Onshore_Lim_3_[KH]
SG,KH,,,18.4,0.0,RE_WIND_Onshore_Lim_4_[KH]
SG,KH,,,18.4,0.0,RE_WIND_Onshore_Lim_5_[KH]
SG,KH,,,18.4,0.0,RE_WIND_Onshore_Lim_6_[KH]
SG,KH,,,18.4,0.0,RE_WIND_Onshore_Lim_7_[KH]
SG,KH,,,18.4,0.0,RE_WIND_Onshore_Lim_8_[KH]
SG,KH,,,18.4,0.0,RE_WIND_Onshore_Lim_9_[KH]
SG,KH,,,18.4,0.0,RE_WIND_Offshore_Lim_0_[KH]
