country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
TH,VN,LA,KR,2.3179298505134154e-07,3.1479314061584565,RE_PV_Openfield_Lim_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,1.3323704973277302,RE_PV_Rooftop_Lim_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,8.425035073322537,RE_WIND_Onshore_Lim_0_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_1_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_2_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_3_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_4_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_5_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_6_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_7_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_8_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_9_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_0_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_1_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_2_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,8.759464966816935e-10,RE_WIND_Offshore_Lim_3_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_4_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,11.386870499980535,RE_WIND_Offshore_Lim_5_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_6_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_7_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_8_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_9_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.1314641632092357,HYDRO_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,6.254374831648043e-10,PP_CO2_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,6.272719662318492,BESS_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.26300107111881693,EL_to_HTH_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,2.36293034053064,EL_to_NH3_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,6.2849752651277315,NH3_Storage_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.5597357841874938,NH3_to_EL_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.07046132086978979,NH3_to_HTH_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,9.200288454067202e-08,FF_to_HTH_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,EL_Demand_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,HTH_Demand_[KR]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_PV_Openfield_Lim_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_PV_Rooftop_Lim_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_0_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_1_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_2_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_3_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_4_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_5_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_6_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_7_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_8_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_9_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_0_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_1_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_2_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_3_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_4_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_5_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_6_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_7_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_8_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_9_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.08115662832743324,HYDRO_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,PP_CO2_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,5.589335439024456e-07,BESS_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0033123910028994906,EL_to_HTH_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,1.6150071205232768e-06,EL_to_NH3_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,7.576753044231101e-06,NH3_Storage_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,1.476641608442574e-08,NH3_to_EL_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,2.3066644564029553e-06,NH3_to_HTH_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,2.2854447087695705e-09,FF_to_HTH_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,EL_Demand_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,HTH_Demand_[LA]
TH,VN,LA,KR,2.3179298505134154e-07,3.7715650509999183,RE_PV_Openfield_Lim_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,1.1175682396845695e-10,RE_PV_Rooftop_Lim_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,1.1000785598819227e-10,RE_WIND_Onshore_Lim_0_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,1.3469097139218132e-09,RE_WIND_Onshore_Lim_1_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,11.224896934131602,RE_WIND_Onshore_Lim_2_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,3.086499451105541e-11,RE_WIND_Onshore_Lim_3_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_4_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_5_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_6_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_7_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_8_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Onshore_Lim_9_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_0_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_1_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_2_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_3_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_4_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_5_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_6_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_7_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_8_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.0,RE_WIND_Offshore_Lim_9_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.03902081961359019,HYDRO_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,3.1669215127102436e-10,PP_CO2_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,3.335473771606258,BESS_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.3724577591268863,EL_to_HTH_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.32362617826411183,EL_to_NH3_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,2.819524645420941,NH3_Storage_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.15288323315697402,NH3_to_EL_[TH]
TH,VN,LA,KR,2.3179298505134154e-07,0.06706416842672658,NH3_to_HTH_[TH]
