country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,TH,LA,,4.188415943608008e-09,3.1479314055764225,RE_PV_Openfield_Lim_[KR]
KR,TH,LA,,4.188415943608008e-09,1.3888017058205661e-09,RE_PV_Rooftop_Lim_[KR]
KR,TH,LA,,4.188415943608008e-09,8.425035063188977,RE_WIND_Onshore_Lim_0_[KR]
KR,TH,LA,,4.188415943608008e-09,1.0179360366989788e-10,RE_WIND_Onshore_Lim_1_[KR]
KR,TH,LA,,4.188415943608008e-09,5.897689862651275e-11,RE_WIND_Onshore_Lim_2_[KR]
KR,TH,LA,,4.188415943608008e-09,1.1942609604450702e-11,RE_WIND_Onshore_Lim_3_[KR]
KR,TH,LA,,4.188415943608008e-09,8.295244636894678e-12,RE_WIND_Onshore_Lim_4_[KR]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Onshore_Lim_5_[KR]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Onshore_Lim_6_[KR]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Onshore_Lim_7_[KR]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Onshore_Lim_8_[KR]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Onshore_Lim_9_[KR]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Offshore_Lim_0_[KR]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Offshore_Lim_1_[KR]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Offshore_Lim_2_[KR]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Offshore_Lim_3_[KR]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Offshore_Lim_4_[KR]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Offshore_Lim_5_[KR]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Offshore_Lim_6_[KR]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Offshore_Lim_7_[KR]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Offshore_Lim_8_[KR]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Offshore_Lim_9_[KR]
KR,TH,LA,,4.188415943608008e-09,0.13146416322194937,HYDRO_[KR]
KR,TH,LA,,4.188415943608008e-09,0.0,PP_CO2_[KR]
KR,TH,LA,,4.188415943608008e-09,3.620227343776175,BESS_[KR]
KR,TH,LA,,4.188415943608008e-09,0.26231752958990445,EL_to_HTH_[KR]
KR,TH,LA,,4.188415943608008e-09,1.1085397387960805,EL_to_NH3_[KR]
KR,TH,LA,,4.188415943608008e-09,3.4215788386972403,NH3_Storage_[KR]
KR,TH,LA,,4.188415943608008e-09,0.6733089807373045,NH3_to_EL_[KR]
KR,TH,LA,,4.188415943608008e-09,0.06914068636206351,NH3_to_HTH_[KR]
KR,TH,LA,,4.188415943608008e-09,1.4851007853507746e-10,FF_to_HTH_[KR]
KR,TH,LA,,4.188415943608008e-09,0.0,EL_Demand_[KR]
KR,TH,LA,,4.188415943608008e-09,0.0,HTH_Demand_[KR]
KR,TH,LA,,4.188415943608008e-09,0.05186582033132272,RE_PV_Openfield_Lim_[LA]
KR,TH,LA,,4.188415943608008e-09,1.7551765600125555e-10,RE_PV_Rooftop_Lim_[LA]
KR,TH,LA,,4.188415943608008e-09,1.0903474912981583,RE_WIND_Onshore_Lim_0_[LA]
KR,TH,LA,,4.188415943608008e-09,2.8972133370966557e-10,RE_WIND_Onshore_Lim_1_[LA]
KR,TH,LA,,4.188415943608008e-09,2.530981648005606e-10,RE_WIND_Onshore_Lim_2_[LA]
KR,TH,LA,,4.188415943608008e-09,1.2668407763910985e-10,RE_WIND_Onshore_Lim_3_[LA]
KR,TH,LA,,4.188415943608008e-09,6.777908186359178e-11,RE_WIND_Onshore_Lim_4_[LA]
KR,TH,LA,,4.188415943608008e-09,3.41828516870839e-11,RE_WIND_Onshore_Lim_5_[LA]
KR,TH,LA,,4.188415943608008e-09,1.4484538782836286e-11,RE_WIND_Onshore_Lim_6_[LA]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Onshore_Lim_7_[LA]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Onshore_Lim_8_[LA]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Onshore_Lim_9_[LA]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Offshore_Lim_0_[LA]
KR,TH,LA,,4.188415943608008e-09,0.0,RE_WIND_Offshore_Lim_1_[LA]
